Entity,Code,Year,colonizer_grouped
Afghanistan,AFG,1834,zzz. Not colonized
Algeria,DZA,1834,zzz. Not colonized
Angola,AGO,1834,Portugal
Antigua and Barbuda,ATG,1834,United Kingdom
Argentina,ARG,1834,zzzz. No longer colonized
Armenia,ARM,1834,zzz. Not colonized
Australia,AUS,1834,United Kingdom
Azerbaijan,AZE,1834,zzz. Not colonized
Bahamas,BHS,1834,United Kingdom
Bahrain,BHR,1834,zzz. Not colonized
Bangladesh,BGD,1834,zzz. Not colonized
Barbados,BRB,1834,United Kingdom
Belgium,BEL,1834,zz. Colonizer
Belize,BLZ,1834,z. Multiple colonizers
Benin,BEN,1834,zzz. Not colonized
Bhutan,BTN,1834,zzz. Not colonized
Bolivia,BOL,1834,zzzz. No longer colonized
Botswana,BWA,1834,zzz. Not colonized
Brazil,BRA,1834,zzzz. No longer colonized
Brunei,BRN,1834,zzz. Not colonized
Burkina Faso,BFA,1834,zzz. Not colonized
Burundi,BDI,1834,zzz. Not colonized
Cambodia,KHM,1834,zzz. Not colonized
Cameroon,CMR,1834,zzz. Not colonized
Canada,CAN,1834,United Kingdom
Cape Verde,CPV,1834,Portugal
Central African Republic,CAF,1834,zzz. Not colonized
Chad,TCD,1834,zzz. Not colonized
Chile,CHL,1834,zzzz. No longer colonized
China,CHN,1834,zzz. Not colonized
Colombia,COL,1834,zzzz. No longer colonized
Comoros,COM,1834,zzz. Not colonized
Congo,COG,1834,zzz. Not colonized
Costa Rica,CRI,1834,zzzz. No longer colonized
Cote d'Ivoire,CIV,1834,zzz. Not colonized
Cuba,CUB,1834,Spain
Democratic Republic of Congo,COD,1834,zzz. Not colonized
Djibouti,DJI,1834,zzz. Not colonized
Dominica,DMA,1834,United Kingdom
Dominican Republic,DOM,1834,Spain
East Timor,TLS,1834,Portugal
Ecuador,ECU,1834,zzzz. No longer colonized
Egypt,EGY,1834,zzz. Not colonized
El Salvador,SLV,1834,zzzz. No longer colonized
Equatorial Guinea,GNQ,1834,United Kingdom
Eritrea,ERI,1834,zzz. Not colonized
Eswatini,SWZ,1834,zzz. Not colonized
Ethiopia,ETH,1834,zzz. Not colonized
Fiji,FJI,1834,zzz. Not colonized
France,FRA,1834,zz. Colonizer
Gabon,GAB,1834,zzz. Not colonized
Gambia,GMB,1834,zzz. Not colonized
Georgia,GEO,1834,zzz. Not colonized
Germany,DEU,1834,zz. Colonizer
Ghana,GHA,1834,zzzz. No longer colonized
Grenada,GRD,1834,United Kingdom
Guatemala,GTM,1834,zzzz. No longer colonized
Guinea,GIN,1834,zzz. Not colonized
Guinea-Bissau,GNB,1834,zzz. Not colonized
Guyana,GUY,1834,United Kingdom
Haiti,HTI,1834,zzzz. No longer colonized
Honduras,HND,1834,zzzz. No longer colonized
India,IND,1834,zzz. Not colonized
Indonesia,IDN,1834,Netherlands
Iran,IRN,1834,zzz. Not colonized
Iraq,IRQ,1834,zzz. Not colonized
Israel,ISR,1834,zzz. Not colonized
Italy,ITA,1834,zz. Colonizer
Jamaica,JAM,1834,United Kingdom
Japan,JPN,1834,zzz. Not colonized
Jordan,JOR,1834,zzz. Not colonized
Kazakhstan,KAZ,1834,zzz. Not colonized
Kenya,KEN,1834,zzz. Not colonized
Kiribati,KIR,1834,zzz. Not colonized
Kuwait,KWT,1834,zzz. Not colonized
Kyrgyzstan,KGZ,1834,zzz. Not colonized
Laos,LAO,1834,zzz. Not colonized
Lebanon,LBN,1834,zzz. Not colonized
Lesotho,LSO,1834,zzz. Not colonized
Liberia,LBR,1834,zzz. Not colonized
Libya,LBY,1834,zzz. Not colonized
Madagascar,MDG,1834,zzz. Not colonized
Malawi,MWI,1834,zzz. Not colonized
Malaysia,MYS,1834,zzzz. No longer colonized
Maldives,MDV,1834,zzz. Not colonized
Mali,MLI,1834,zzz. Not colonized
Marshall Islands,MHL,1834,zzz. Not colonized
Mauritania,MRT,1834,zzz. Not colonized
Mauritius,MUS,1834,United Kingdom
Mexico,MEX,1834,zzzz. No longer colonized
Micronesia (country),FSM,1834,Spain
Mongolia,MNG,1834,zzz. Not colonized
Morocco,MAR,1834,zzz. Not colonized
Mozambique,MOZ,1834,zzz. Not colonized
Myanmar,MMR,1834,zzz. Not colonized
Namibia,NAM,1834,zzz. Not colonized
Nauru,NRU,1834,zzz. Not colonized
Nepal,NPL,1834,zzz. Not colonized
Netherlands,NLD,1834,zz. Colonizer
New Zealand,NZL,1834,zzz. Not colonized
Nicaragua,NIC,1834,zzzz. No longer colonized
Niger,NER,1834,zzz. Not colonized
Nigeria,NGA,1834,zzz. Not colonized
North Korea,PRK,1834,zzz. Not colonized
Oman,OMN,1834,zzz. Not colonized
Pakistan,PAK,1834,zzz. Not colonized
Palau,PLW,1834,zzz. Not colonized
Panama,PAN,1834,zzzz. No longer colonized
Papua New Guinea,PNG,1834,zzz. Not colonized
Paraguay,PRY,1834,zzzz. No longer colonized
Peru,PER,1834,zzzz. No longer colonized
Philippines,PHL,1834,Spain
Portugal,PRT,1834,zz. Colonizer
Qatar,QAT,1834,zzz. Not colonized
Rwanda,RWA,1834,zzz. Not colonized
Saint Kitts and Nevis,KNA,1834,United Kingdom
Saint Lucia,LCA,1834,United Kingdom
Saint Vincent and the Grenadines,VCT,1834,United Kingdom
Samoa,WSM,1834,zzz. Not colonized
Sao Tome and Principe,STP,1834,Portugal
Saudi Arabia,SAU,1834,zzz. Not colonized
Senegal,SEN,1834,zzzz. No longer colonized
Seychelles,SYC,1834,United Kingdom
Sierra Leone,SLE,1834,zzz. Not colonized
Singapore,SGP,1834,United Kingdom
Solomon Islands,SLB,1834,zzz. Not colonized
Somalia,SOM,1834,zzz. Not colonized
South Africa,ZAF,1834,United Kingdom
South Korea,KOR,1834,zzz. Not colonized
South Sudan,SSD,1834,zzz. Not colonized
Spain,ESP,1834,zz. Colonizer
Sri Lanka,LKA,1834,United Kingdom
Sudan,SDN,1834,zzz. Not colonized
Suriname,SUR,1834,Netherlands
Syria,SYR,1834,zzz. Not colonized
Taiwan,TWN,1834,zzz. Not colonized
Tajikistan,TJK,1834,zzz. Not colonized
Tanzania,TZA,1834,zzz. Not colonized
Thailand,THA,1834,zzz. Not colonized
Togo,TGO,1834,zzz. Not colonized
Tonga,TON,1834,zzz. Not colonized
Trinidad and Tobago,TTO,1834,United Kingdom
Tunisia,TUN,1834,zzz. Not colonized
Turkey,TUR,1834,zzz. Not colonized
Turkmenistan,TKM,1834,zzz. Not colonized
Tuvalu,TUV,1834,zzz. Not colonized
Uganda,UGA,1834,zzz. Not colonized
United Arab Emirates,ARE,1834,zzz. Not colonized
United Kingdom,GBR,1834,zz. Colonizer
United States,USA,1834,zzzz. No longer colonized
Uruguay,URY,1834,zzzz. No longer colonized
Uzbekistan,UZB,1834,zzz. Not colonized
Vanuatu,VUT,1834,zzz. Not colonized
Venezuela,VEN,1834,zzzz. No longer colonized
Vietnam,VNM,1834,zzz. Not colonized
Yemen,YEM,1834,zzz. Not colonized
Zambia,ZMB,1834,zzz. Not colonized
Zimbabwe,ZWE,1834,zzz. Not colonized
