Entity,Code,Year,colonizer_grouped
Afghanistan,AFG,1529,zzz. Not colonized
Algeria,DZA,1529,zzz. Not colonized
Angola,AGO,1529,zzz. Not colonized
Antigua and Barbuda,ATG,1529,zzz. Not colonized
Argentina,ARG,1529,zzz. Not colonized
Armenia,ARM,1529,zzz. Not colonized
Australia,AUS,1529,zzz. Not colonized
Azerbaijan,AZE,1529,zzz. Not colonized
Bahamas,BHS,1529,zzz. Not colonized
Bahrain,BHR,1529,zzz. Not colonized
Bangladesh,BGD,1529,zzz. Not colonized
Barbados,BRB,1529,zzz. Not colonized
Belgium,BEL,1529,zz. Colonizer
Belize,BLZ,1529,Spain
Benin,BEN,1529,zzz. Not colonized
Bhutan,BTN,1529,zzz. Not colonized
Bolivia,BOL,1529,zzz. Not colonized
Botswana,BWA,1529,zzz. Not colonized
Brazil,BRA,1529,zzz. Not colonized
Brunei,BRN,1529,zzz. Not colonized
Burkina Faso,BFA,1529,zzz. Not colonized
Burundi,BDI,1529,zzz. Not colonized
Cambodia,KHM,1529,zzz. Not colonized
Cameroon,CMR,1529,zzz. Not colonized
Canada,CAN,1529,zzz. Not colonized
Cape Verde,CPV,1529,Portugal
Central African Republic,CAF,1529,zzz. Not colonized
Chad,TCD,1529,zzz. Not colonized
Chile,CHL,1529,zzz. Not colonized
China,CHN,1529,zzz. Not colonized
Colombia,COL,1529,Spain
Comoros,COM,1529,zzz. Not colonized
Congo,COG,1529,zzz. Not colonized
Costa Rica,CRI,1529,Spain
Cote d'Ivoire,CIV,1529,zzz. Not colonized
Cuba,CUB,1529,Spain
Democratic Republic of Congo,COD,1529,zzz. Not colonized
Djibouti,DJI,1529,zzz. Not colonized
Dominica,DMA,1529,zzz. Not colonized
Dominican Republic,DOM,1529,Spain
East Timor,TLS,1529,zzz. Not colonized
Ecuador,ECU,1529,zzz. Not colonized
Egypt,EGY,1529,zzz. Not colonized
El Salvador,SLV,1529,Spain
Equatorial Guinea,GNQ,1529,zzz. Not colonized
Eritrea,ERI,1529,zzz. Not colonized
Eswatini,SWZ,1529,zzz. Not colonized
Ethiopia,ETH,1529,zzz. Not colonized
Fiji,FJI,1529,zzz. Not colonized
France,FRA,1529,zz. Colonizer
Gabon,GAB,1529,zzz. Not colonized
Gambia,GMB,1529,zzz. Not colonized
Georgia,GEO,1529,zzz. Not colonized
Germany,DEU,1529,zz. Colonizer
Ghana,GHA,1529,Portugal
