Entity,Code,Year,colonizer_grouped
Afghanistan,AFG,1772,zzz. Not colonized
Algeria,DZA,1772,zzz. Not colonized
Angola,AGO,1772,Portugal
Antigua and Barbuda,ATG,1772,United Kingdom
Argentina,ARG,1772,Spain
Armenia,ARM,1772,zzz. Not colonized
Australia,AUS,1772,zzz. Not colonized
Azerbaijan,AZE,1772,zzz. Not colonized
Bahamas,BHS,1772,zzz. Not colonized
Bahrain,BHR,1772,zzz. Not colonized
Bangladesh,BGD,1772,zzz. Not colonized
Barbados,BRB,1772,United Kingdom
Belgium,BEL,1772,zz. Colonizer
Belize,BLZ,1772,Spain
Benin,BEN,1772,zzz. Not colonized
Bhutan,BTN,1772,zzz. Not colonized
Bolivia,BOL,1772,Spain
Botswana,BWA,1772,zzz. Not colonized
Brazil,BRA,1772,Portugal
Brunei,BRN,1772,zzz. Not colonized
Burkina Faso,BFA,1772,zzz. Not colonized
Burundi,BDI,1772,zzz. Not colonized
Cambodia,KHM,1772,zzz. Not colonized
Cameroon,CMR,1772,zzz. Not colonized
Canada,CAN,1772,United Kingdom
Cape Verde,CPV,1772,Portugal
Central African Republic,CAF,1772,zzz. Not colonized
Chad,TCD,1772,zzz. Not colonized
Chile,CHL,1772,Spain
China,CHN,1772,zzz. Not colonized
Colombia,COL,1772,Spain
Comoros,COM,1772,zzz. Not colonized
Congo,COG,1772,zzz. Not colonized
Costa Rica,CRI,1772,Spain
Cote d'Ivoire,CIV,1772,zzz. Not colonized
Cuba,CUB,1772,Spain
Democratic Republic of Congo,COD,1772,zzz. Not colonized
Djibouti,DJI,1772,zzz. Not colonized
Dominica,DMA,1772,zzzz. No longer colonized
Dominican Republic,DOM,1772,Spain
East Timor,TLS,1772,Portugal
Ecuador,ECU,1772,Spain
Egypt,EGY,1772,zzz. Not colonized
El Salvador,SLV,1772,Spain
Equatorial Guinea,GNQ,1772,zzz. Not colonized
Eritrea,ERI,1772,zzz. Not colonized
Eswatini,SWZ,1772,zzz. Not colonized
Ethiopia,ETH,1772,zzz. Not colonized
Fiji,FJI,1772,zzz. Not colonized
France,FRA,1772,zz. Colonizer
Gabon,GAB,1772,zzz. Not colonized
Gambia,GMB,1772,zzz. Not colonized
Georgia,GEO,1772,zzz. Not colonized
Germany,DEU,1772,zz. Colonizer
Ghana,GHA,1772,Portugal
Grenada,GRD,1772,United Kingdom
Guatemala,GTM,1772,Spain
Guinea,GIN,1772,zzz. Not colonized
Guinea-Bissau,GNB,1772,zzz. Not colonized
Guyana,GUY,1772,Netherlands
Haiti,HTI,1772,France
Honduras,HND,1772,Spain
India,IND,1772,zzz. Not colonized
Indonesia,IDN,1772,Netherlands
Iran,IRN,1772,zzz. Not colonized
Iraq,IRQ,1772,zzz. Not colonized
Israel,ISR,1772,zzz. Not colonized
Italy,ITA,1772,zz. Colonizer
Jamaica,JAM,1772,United Kingdom
Japan,JPN,1772,zzz. Not colonized
Jordan,JOR,1772,zzz. Not colonized
Kazakhstan,KAZ,1772,zzz. Not colonized
