Entity,Code,Year,colonizer_grouped
Afghanistan,AFG,1639,zzz. Not colonized
Algeria,DZA,1639,zzz. Not colonized
Angola,AGO,1639,Portugal
Antigua and Barbuda,ATG,1639,United Kingdom
Argentina,ARG,1639,Spain
Armenia,ARM,1639,zzz. Not colonized
Australia,AUS,1639,zzz. Not colonized
Azerbaijan,AZE,1639,zzz. Not colonized
Bahamas,BHS,1639,zzz. Not colonized
Bahrain,BHR,1639,zzz. Not colonized
Bangladesh,BGD,1639,zzz. Not colonized
Barbados,BRB,1639,United Kingdom
Belgium,BEL,1639,zz. Colonizer
Belize,BLZ,1639,Spain
Benin,BEN,1639,zzz. Not colonized
Bhutan,BTN,1639,zzz. Not colonized
Bolivia,BOL,1639,Spain
Botswana,BWA,1639,zzz. Not colonized
Brazil,BRA,1639,Portugal
Brunei,BRN,1639,zzz. Not colonized
Burkina Faso,BFA,1639,zzz. Not colonized
Burundi,BDI,1639,zzz. Not colonized
Cambodia,KHM,1639,zzz. Not colonized
Cameroon,CMR,1639,zzz. Not colonized
Canada,CAN,1639,France
Cape Verde,CPV,1639,Portugal
Central African Republic,CAF,1639,zzz. Not colonized
Chad,TCD,1639,zzz. Not colonized
Chile,CHL,1639,Spain
China,CHN,1639,zzz. Not colonized
Colombia,COL,1639,Spain
Comoros,COM,1639,zzz. Not colonized
Congo,COG,1639,zzz. Not colonized
Costa Rica,CRI,1639,Spain
Cote d'Ivoire,CIV,1639,zzz. Not colonized
Cuba,CUB,1639,Spain
Democratic Republic of Congo,COD,1639,zzz. Not colonized
Djibouti,DJI,1639,zzz. Not colonized
Dominica,DMA,1639,France
Dominican Republic,DOM,1639,Spain
East Timor,TLS,1639,zzz. Not colonized
Ecuador,ECU,1639,Spain
Egypt,EGY,1639,zzz. Not colonized
El Salvador,SLV,1639,Spain
Equatorial Guinea,GNQ,1639,zzz. Not colonized
Eritrea,ERI,1639,zzz. Not colonized
Eswatini,SWZ,1639,zzz. Not colonized
Ethiopia,ETH,1639,zzz. Not colonized
Fiji,FJI,1639,zzz. Not colonized
France,FRA,1639,zz. Colonizer
Gabon,GAB,1639,zzz. Not colonized
Gambia,GMB,1639,zzz. Not colonized
Georgia,GEO,1639,zzz. Not colonized
Germany,DEU,1639,zz. Colonizer
Ghana,GHA,1639,Portugal
Grenada,GRD,1639,zzz. Not colonized
Guatemala,GTM,1639,Spain
Guinea,GIN,1639,zzz. Not colonized
Guinea-Bissau,GNB,1639,zzz. Not colonized
Guyana,GUY,1639,Netherlands
Haiti,HTI,1639,zzz. Not colonized
Honduras,HND,1639,Spain
India,IND,1639,zzz. Not colonized
Indonesia,IDN,1639,Netherlands
Iran,IRN,1639,zzz. Not colonized
Iraq,IRQ,1639,zzz. Not colonized
Israel,ISR,1639,zzz. Not colonized
Italy,ITA,1639,zz. Colonizer
Jamaica,JAM,1639,Spain
Japan,JPN,1639,zzz. Not colonized
Jordan,JOR,1639,zzz. Not colonized
Kazakhstan,KAZ,1639,zzz. Not colonized
Kenya,KEN,1639,zzz. Not colonized
Kiribati,KIR,1639,zzz. Not colonized
Kuwait,KWT,1639,zzz. Not colonized
Kyrgyzstan,KGZ,1639,zzz. Not colonized
Laos,LAO,1639,zzz. Not colonized
Lebanon,LBN,1639,zzz. Not colonized
