Entity,Code,Year,colonizer_grouped
Afghanistan,AFG,1531,zzz. Not colonized
Algeria,DZA,1531,zzz. Not colonized
Angola,AGO,1531,zzz. Not colonized
Antigua and Barbuda,ATG,1531,zzz. Not colonized
Argentina,ARG,1531,zzz. Not colonized
Armenia,ARM,1531,zzz. Not colonized
Australia,AUS,1531,zzz. Not colonized
Azerbaijan,AZE,1531,zzz. Not colonized
Bahamas,BHS,1531,zzz. Not colonized
Bahrain,BHR,1531,zzz. Not colonized
Bangladesh,BGD,1531,zzz. Not colonized
Barbados,BRB,1531,zzz. Not colonized
Belgium,BEL,1531,zz. Colonizer
Belize,BLZ,1531,Spain
Benin,BEN,1531,zzz. Not colonized
Bhutan,BTN,1531,zzz. Not colonized
Bolivia,BOL,1531,zzz. Not colonized
Botswana,BWA,1531,zzz. Not colonized
Brazil,BRA,1531,zzz. Not colonized
Brunei,BRN,1531,zzz. Not colonized
Burkina Faso,BFA,1531,zzz. Not colonized
Burundi,BDI,1531,zzz. Not colonized
Cambodia,KHM,1531,zzz. Not colonized
Cameroon,CMR,1531,zzz. Not colonized
Canada,CAN,1531,zzz. Not colonized
Cape Verde,CPV,1531,Portugal
Central African Republic,CAF,1531,zzz. Not colonized
Chad,TCD,1531,zzz. Not colonized
Chile,CHL,1531,zzz. Not colonized
China,CHN,1531,zzz. Not colonized
Colombia,COL,1531,Spain
Comoros,COM,1531,zzz. Not colonized
Congo,COG,1531,zzz. Not colonized
Costa Rica,CRI,1531,Spain
Cote d'Ivoire,CIV,1531,zzz. Not colonized
Cuba,CUB,1531,Spain
Democratic Republic of Congo,COD,1531,zzz. Not colonized
Djibouti,DJI,1531,zzz. Not colonized
Dominica,DMA,1531,zzz. Not colonized
Dominican Republic,DOM,1531,Spain
East Timor,TLS,1531,zzz. Not colonized
Ecuador,ECU,1531,zzz. Not colonized
Egypt,EGY,1531,zzz. Not colonized
El Salvador,SLV,1531,Spain
Equatorial Guinea,GNQ,1531,zzz. Not colonized
Eritrea,ERI,1531,zzz. Not colonized
Eswatini,SWZ,1531,zzz. Not colonized
Ethiopia,ETH,1531,zzz. Not colonized
Fiji,FJI,1531,zzz. Not colonized
France,FRA,1531,zz. Colonizer
Gabon,GAB,1531,zzz. Not colonized
Gambia,GMB,1531,zzz. Not colonized
Georgia,GEO,1531,zzz. Not colonized
Germany,DEU,1531,zz. Colonizer
Ghana,GHA,1531,Portugal
Grenada,GRD,1531,zzz. Not colonized
Guatemala,GTM,1531,Spain
Guinea,GIN,1531,zzz. Not colonized
Guinea-Bissau,GNB,1531,zzz. Not colonized
Guyana,GUY,1531,zzz. Not colonized
Haiti,HTI,1531,zzz. Not colonized
Honduras,HND,1531,Spain
India,IND,1531,zzz. Not colonized
Indonesia,IDN,1531,zzz. Not colonized
Iran,IRN,1531,zzz. Not colonized
Iraq,IRQ,1531,zzz. Not colonized
Israel,ISR,1531,zzz. Not colonized
Italy,ITA,1531,zz. Colonizer
Jamaica,JAM,1531,Spain
Japan,JPN,1531,zzz. Not colonized
Jordan,JOR,1531,zzz. Not colonized
Kazakhstan,KAZ,1531,zzz. Not colonized
Kenya,KEN,1531,zzz. Not colonized
Kiribati,KIR,1531,zzz. Not colonized
Kuwait,KWT,1531,zzz. Not colonized
Kyrgyzstan,KGZ,1531,zzz. Not colonized
Laos,LAO,1531,zzz. Not colonized
Lebanon,LBN,1531,zzz. Not colonized
Lesotho,LSO,1531,zzz. Not colonized
Liberia,LBR,1531,zzz. Not colonized
Libya,LBY,1531,zzz. Not colonized
Madagascar,MDG,1531,zzz. Not colonized
Malawi,MWI,1531,zzz. Not colonized
Malaysia,MYS,1531,Portugal
Maldives,MDV,1531,zzz. Not colonized
Mali,MLI,1531,zzz. Not colonized
Marshall Islands,MHL,1531,zzz. Not colonized
Mauritania,MRT,1531,zzz. Not colonized
Mauritius,MUS,1531,zzz. Not colonized
Mexico,MEX,1531,Spain
Micronesia (country),FSM,1531,zzz. Not colonized
Mongolia,MNG,1531,zzz. Not colonized
Morocco,MAR,1531,zzz. Not colonized
Mozambique,MOZ,1531,zzz. Not colonized
Myanmar,MMR,1531,zzz. Not colonized
Namibia,NAM,1531,zzz. Not colonized
Nauru,NRU,1531,zzz. Not colonized
Nepal,NPL,1531,zzz. Not colonized
Netherlands,NLD,1531,zz. Colonizer
New Zealand,NZL,1531,zzz. Not colonized
Nicaragua,NIC,1531,Spain
Niger,NER,1531,zzz. Not colonized
Nigeria,NGA,1531,zzz. Not colonized
North Korea,PRK,1531,zzz. Not colonized
Oman,OMN,1531,zzz. Not colonized
Pakistan,PAK,1531,zzz. Not colonized
Palau,PLW,1531,zzz. Not colonized
Panama,PAN,1531,Spain
Papua New Guinea,PNG,1531,zzz. Not colonized
Paraguay,PRY,1531,zzz. Not colonized
Peru,PER,1531,zzz. Not colonized
Philippines,PHL,1531,zzz. Not colonized
Portugal,PRT,1531,zz. Colonizer
Qatar,QAT,1531,zzz. Not colonized
Rwanda,RWA,1531,zzz. Not colonized
Saint Kitts and Nevis,KNA,1531,zzz. Not colonized
Saint Lucia,LCA,1531,zzz. Not colonized
Saint Vincent and the Grenadines,VCT,1531,zzz. Not colonized
Samoa,WSM,1531,zzz. Not colonized
Sao Tome and Principe,STP,1531,Portugal
Saudi Arabia,SAU,1531,zzz. Not colonized
Senegal,SEN,1531,zzz. Not colonized
Seychelles,SYC,1531,zzz. Not colonized
Sierra Leone,SLE,1531,zzz. Not colonized
Singapore,SGP,1531,zzz. Not colonized
Solomon Islands,SLB,1531,zzz. Not colonized
Somalia,SOM,1531,zzz. Not colonized
South Africa,ZAF,1531,zzz. Not colonized
South Korea,KOR,1531,zzz. Not colonized
South Sudan,SSD,1531,zzz. Not colonized
Spain,ESP,1531,zz. Colonizer
Sri Lanka,LKA,1531,zzz. Not colonized
Sudan,SDN,1531,zzz. Not colonized
Suriname,SUR,1531,zzz. Not colonized
Syria,SYR,1531,zzz. Not colonized
Taiwan,TWN,1531,zzz. Not colonized
Tajikistan,TJK,1531,zzz. Not colonized
Tanzania,TZA,1531,zzz. Not colonized
Thailand,THA,1531,zzz. Not colonized
Togo,TGO,1531,zzz. Not colonized
Tonga,TON,1531,zzz. Not colonized
Trinidad and Tobago,TTO,1531,zzz. Not colonized
Tunisia,TUN,1531,zzz. Not colonized
Turkey,TUR,1531,zzz. Not colonized
Turkmenistan,TKM,1531,zzz. Not colonized
Tuvalu,TUV,1531,zzz. Not colonized
Uganda,UGA,1531,zzz. Not colonized
United Arab Emirates,ARE,1531,zzz. Not colonized
United Kingdom,GBR,1531,zz. Colonizer
United States,USA,1531,zzz. Not colonized
Uruguay,URY,1531,zzz. Not colonized
Uzbekistan,UZB,1531,zzz. Not colonized
Vanuatu,VUT,1531,zzz. Not colonized
Venezuela,VEN,1531,zzz. Not colonized
Vietnam,VNM,1531,zzz. Not colonized
Yemen,YEM,1531,zzz. Not colonized
Zambia,ZMB,1531,zzz. Not colonized
Zimbabwe,ZWE,1531,zzz. Not colonized
