Entity,Code,Year,colonizer_grouped
Afghanistan,AFG,1965,zzz. Not colonized
Algeria,DZA,1965,zzzz. No longer colonized
Angola,AGO,1965,Portugal
Antigua and Barbuda,ATG,1965,United Kingdom
Argentina,ARG,1965,zzzz. No longer colonized
Armenia,ARM,1965,zzz. Not colonized
Australia,AUS,1965,zzzz. No longer colonized
Azerbaijan,AZE,1965,zzz. Not colonized
Bahamas,BHS,1965,United Kingdom
Bahrain,BHR,1965,United Kingdom
Bangladesh,BGD,1965,zzzz. No longer colonized
Barbados,BRB,1965,United Kingdom
Belgium,BEL,1965,zz. Colonizer
Belize,BLZ,1965,United Kingdom
Benin,BEN,1965,zzzz. No longer colonized
Bhutan,BTN,1965,zzzz. No longer colonized
Bolivia,BOL,1965,zzzz. No longer colonized
Botswana,BWA,1965,United Kingdom
Brazil,BRA,1965,zzzz. No longer colonized
Brunei,BRN,1965,United Kingdom
Burkina Faso,BFA,1965,zzzz. No longer colonized
Burundi,BDI,1965,zzzz. No longer colonized
Cambodia,KHM,1965,zzzz. No longer colonized
Cameroon,CMR,1965,zzzz. No longer colonized
Canada,CAN,1965,zzzz. No longer colonized
Cape Verde,CPV,1965,Portugal
Central African Republic,CAF,1965,zzzz. No longer colonized
Chad,TCD,1965,zzzz. No longer colonized
Chile,CHL,1965,zzzz. No longer colonized
China,CHN,1965,zzz. Not colonized
Colombia,COL,1965,zzzz. No longer colonized
Comoros,COM,1965,France
Congo,COG,1965,zzzz. No longer colonized
Costa Rica,CRI,1965,zzzz. No longer colonized
Cote d'Ivoire,CIV,1965,zzzz. No longer colonized
Cuba,CUB,1965,zzzz. No longer colonized
Cyprus,CYP,1965,zzzz. No longer colonized
Democratic Republic of Congo,COD,1965,zzzz. No longer colonized
Djibouti,DJI,1965,France
Dominica,DMA,1965,United Kingdom
Dominican Republic,DOM,1965,zzzz. No longer colonized
East Timor,TLS,1965,Portugal
Ecuador,ECU,1965,zzzz. No longer colonized
Egypt,EGY,1965,zzzz. No longer colonized
El Salvador,SLV,1965,zzzz. No longer colonized
Equatorial Guinea,GNQ,1965,Spain
Eritrea,ERI,1965,zzzz. No longer colonized
Eswatini,SWZ,1965,United Kingdom
Ethiopia,ETH,1965,zzz. Not colonized
Fiji,FJI,1965,United Kingdom
France,FRA,1965,zz. Colonizer
Gabon,GAB,1965,zzzz. No longer colonized
Gambia,GMB,1965,United Kingdom
Georgia,GEO,1965,zzz. Not colonized
Germany,DEU,1965,zz. Colonizer
Ghana,GHA,1965,zzzz. No longer colonized
Grenada,GRD,1965,United Kingdom
Guatemala,GTM,1965,zzzz. No longer colonized
