Entity,Code,Year,colonizer_grouped
Afghanistan,AFG,1835,zzz. Not colonized
Algeria,DZA,1835,zzz. Not colonized
Angola,AGO,1835,Portugal
Antigua and Barbuda,ATG,1835,United Kingdom
Argentina,ARG,1835,zzzz. No longer colonized
Armenia,ARM,1835,zzz. Not colonized
Australia,AUS,1835,United Kingdom
Azerbaijan,AZE,1835,zzz. Not colonized
Bahamas,BHS,1835,United Kingdom
Bahrain,BHR,1835,zzz. Not colonized
Bangladesh,BGD,1835,zzz. Not colonized
Barbados,BRB,1835,United Kingdom
Belgium,BEL,1835,zz. Colonizer
Belize,BLZ,1835,z. Multiple colonizers
Benin,BEN,1835,zzz. Not colonized
Bhutan,BTN,1835,zzz. Not colonized
Bolivia,BOL,1835,zzzz. No longer colonized
Botswana,BWA,1835,zzz. Not colonized
Brazil,BRA,1835,zzzz. No longer colonized
Brunei,BRN,1835,zzz. Not colonized
Burkina Faso,BFA,1835,zzz. Not colonized
Burundi,BDI,1835,zzz. Not colonized
Cambodia,KHM,1835,zzz. Not colonized
Cameroon,CMR,1835,zzz. Not colonized
Canada,CAN,1835,United Kingdom
Cape Verde,CPV,1835,Portugal
Central African Republic,CAF,1835,zzz. Not colonized
Chad,TCD,1835,zzz. Not colonized
Chile,CHL,1835,zzzz. No longer colonized
China,CHN,1835,zzz. Not colonized
Colombia,COL,1835,zzzz. No longer colonized
Comoros,COM,1835,zzz. Not colonized
Congo,COG,1835,zzz. Not colonized
Costa Rica,CRI,1835,zzzz. No longer colonized
Cote d'Ivoire,CIV,1835,zzz. Not colonized
Cuba,CUB,1835,Spain
Democratic Republic of Congo,COD,1835,zzz. Not colonized
Djibouti,DJI,1835,zzz. Not colonized
Dominica,DMA,1835,United Kingdom
Dominican Republic,DOM,1835,Spain
East Timor,TLS,1835,Portugal
Ecuador,ECU,1835,zzzz. No longer colonized
Egypt,EGY,1835,zzz. Not colonized
El Salvador,SLV,1835,zzzz. No longer colonized
Equatorial Guinea,GNQ,1835,United Kingdom
Eritrea,ERI,1835,zzz. Not colonized
Eswatini,SWZ,1835,zzz. Not colonized
Ethiopia,ETH,1835,zzz. Not colonized
Fiji,FJI,1835,zzz. Not colonized
France,FRA,1835,zz. Colonizer
Gabon,GAB,1835,zzz. Not colonized
Gambia,GMB,1835,zzz. Not colonized
Georgia,GEO,1835,zzz. Not colonized
Germany,DEU,1835,zz. Colonizer
Ghana,GHA,1835,zzzz. No longer colonized
Grenada,GRD,1835,United Kingdom
Guatemala,GTM,1835,zzzz. No longer colonized
Guinea,GIN,1835,zzz. Not colonized
Guinea-Bissau,GNB,1835,zzz. Not colonized
Guyana,GUY,1835,United Kingdom
Haiti,HTI,1835,zzzz. No longer colonized
Honduras,HND,1835,zzzz. No longer colonized
India,IND,1835,zzz. Not colonized
Indonesia,IDN,1835,Netherlands
Iran,IRN,1835,zzz. Not colonized
Iraq,IRQ,1835,zzz. Not colonized
Israel,ISR,1835,zzz. Not colonized
Italy,ITA,1835,zz. Colonizer
Jamaica,JAM,1835,United Kingdom
Japan,JPN,1835,zzz. Not colonized
Jordan,JOR,1835,zzz. Not colonized
Kazakhstan,KAZ,1835,zzz. Not colonized
Kenya,KEN,1835,zzz. Not colonized
Kiribati,KIR,1835,zzz. Not colonized
Kuwait,KWT,1835,zzz. Not colonized
Kyrgyzstan,KGZ,1835,zzz. Not colonized
Laos,LAO,1835,zzz. Not colonized
Lebanon,LBN,1835,zzz. Not colonized
Lesotho,LSO,1835,zzz. Not colonized
Liberia,LBR,1835,zzz. Not colonized
Libya,LBY,1835,zzz. Not colonized
Madagascar,MDG,1835,zzz. Not colonized
Malawi,MWI,1835,zzz. Not colonized
Malaysia,MYS,1835,zzzz. No longer colonized
Maldives,MDV,1835,zzz. Not colonized
Mali,MLI,1835,zzz. Not colonized
Marshall Islands,MHL,1835,zzz. Not colonized
Mauritania,MRT,1835,zzz. Not colonized
Mauritius,MUS,1835,United Kingdom
Mexico,MEX,1835,zzzz. No longer colonized
Micronesia (country),FSM,1835,Spain
Mongolia,MNG,1835,zzz. Not colonized
Morocco,MAR,1835,zzz. Not colonized
Mozambique,MOZ,1835,zzz. Not colonized
Myanmar,MMR,1835,zzz. Not colonized
Namibia,NAM,1835,zzz. Not colonized
Nauru,NRU,1835,zzz. Not colonized
Nepal,NPL,1835,zzz. Not colonized
Netherlands,NLD,1835,zz. Colonizer
New Zealand,NZL,1835,zzz. Not colonized
Nicaragua,NIC,1835,zzzz. No longer colonized
Niger,NER,1835,zzz. Not colonized
Nigeria,NGA,1835,zzz. Not colonized
North Korea,PRK,1835,zzz. Not colonized
Oman,OMN,1835,zzz. Not colonized
Pakistan,PAK,1835,zzz. Not colonized
Palau,PLW,1835,zzz. Not colonized
Panama,PAN,1835,zzzz. No longer colonized
Papua New Guinea,PNG,1835,zzz. Not colonized
Paraguay,PRY,1835,zzzz. No longer colonized
Peru,PER,1835,zzzz. No longer colonized
Philippines,PHL,1835,Spain
Portugal,PRT,1835,zz. Colonizer
Qatar,QAT,1835,zzz. Not colonized
Rwanda,RWA,1835,zzz. Not colonized
Saint Kitts and Nevis,KNA,1835,United Kingdom
Saint Lucia,LCA,1835,United Kingdom
Saint Vincent and the Grenadines,VCT,1835,United Kingdom
Samoa,WSM,1835,zzz. Not colonized
Sao Tome and Principe,STP,1835,Portugal
Saudi Arabia,SAU,1835,zzz. Not colonized
Senegal,SEN,1835,zzzz. No longer colonized
Seychelles,SYC,1835,United Kingdom
Sierra Leone,SLE,1835,zzz. Not colonized
Singapore,SGP,1835,United Kingdom
Solomon Islands,SLB,1835,zzz. Not colonized
Somalia,SOM,1835,zzz. Not colonized
South Africa,ZAF,1835,United Kingdom
South Korea,KOR,1835,zzz. Not colonized
South Sudan,SSD,1835,zzz. Not colonized
Spain,ESP,1835,zz. Colonizer
Sri Lanka,LKA,1835,United Kingdom
Sudan,SDN,1835,zzz. Not colonized
Suriname,SUR,1835,Netherlands
Syria,SYR,1835,zzz. Not colonized
Taiwan,TWN,1835,zzz. Not colonized
Tajikistan,TJK,1835,zzz. Not colonized
Tanzania,TZA,1835,zzz. Not colonized
Thailand,THA,1835,zzz. Not colonized
Togo,TGO,1835,zzz. Not colonized
Tonga,TON,1835,zzz. Not colonized
Trinidad and Tobago,TTO,1835,United Kingdom
Tunisia,TUN,1835,zzz. Not colonized
Turkey,TUR,1835,zzz. Not colonized
Turkmenistan,TKM,1835,zzz. Not colonized
Tuvalu,TUV,1835,zzz. Not colonized
Uganda,UGA,1835,zzz. Not colonized
