Entity,Code,Year,colonizer_grouped
Afghanistan,AFG,1477,zzz. Not colonized
Algeria,DZA,1477,zzz. Not colonized
Angola,AGO,1477,zzz. Not colonized
Antigua and Barbuda,ATG,1477,zzz. Not colonized
Argentina,ARG,1477,zzz. Not colonized
Armenia,ARM,1477,zzz. Not colonized
Australia,AUS,1477,zzz. Not colonized
Azerbaijan,AZE,1477,zzz. Not colonized
Bahamas,BHS,1477,zzz. Not colonized
Bahrain,BHR,1477,zzz. Not colonized
Bangladesh,BGD,1477,zzz. Not colonized
Barbados,BRB,1477,zzz. Not colonized
Belgium,BEL,1477,zz. Colonizer
Belize,BLZ,1477,zzz. Not colonized
Benin,BEN,1477,zzz. Not colonized
Bhutan,BTN,1477,zzz. Not colonized
Bolivia,BOL,1477,zzz. Not colonized
Botswana,BWA,1477,zzz. Not colonized
Brazil,BRA,1477,zzz. Not colonized
Brunei,BRN,1477,zzz. Not colonized
Burkina Faso,BFA,1477,zzz. Not colonized
Burundi,BDI,1477,zzz. Not colonized
Cambodia,KHM,1477,zzz. Not colonized
Cameroon,CMR,1477,zzz. Not colonized
Canada,CAN,1477,zzz. Not colonized
Cape Verde,CPV,1477,Portugal
Central African Republic,CAF,1477,zzz. Not colonized
Chad,TCD,1477,zzz. Not colonized
Chile,CHL,1477,zzz. Not colonized
China,CHN,1477,zzz. Not colonized
Colombia,COL,1477,zzz. Not colonized
Comoros,COM,1477,zzz. Not colonized
Congo,COG,1477,zzz. Not colonized
Costa Rica,CRI,1477,zzz. Not colonized
Cote d'Ivoire,CIV,1477,zzz. Not colonized
Cuba,CUB,1477,zzz. Not colonized
Democratic Republic of Congo,COD,1477,zzz. Not colonized
Djibouti,DJI,1477,zzz. Not colonized
Dominica,DMA,1477,zzz. Not colonized
Dominican Republic,DOM,1477,zzz. Not colonized
East Timor,TLS,1477,zzz. Not colonized
Ecuador,ECU,1477,zzz. Not colonized
Egypt,EGY,1477,zzz. Not colonized
El Salvador,SLV,1477,zzz. Not colonized
Equatorial Guinea,GNQ,1477,zzz. Not colonized
Eritrea,ERI,1477,zzz. Not colonized
Eswatini,SWZ,1477,zzz. Not colonized
Ethiopia,ETH,1477,zzz. Not colonized
Fiji,FJI,1477,zzz. Not colonized
France,FRA,1477,zz. Colonizer
Gabon,GAB,1477,zzz. Not colonized
Gambia,GMB,1477,zzz. Not colonized
Georgia,GEO,1477,zzz. Not colonized
Germany,DEU,1477,zz. Colonizer
Ghana,GHA,1477,zzz. Not colonized
Grenada,GRD,1477,zzz. Not colonized
Guatemala,GTM,1477,zzz. Not colonized
Guinea,GIN,1477,zzz. Not colonized
Guinea-Bissau,GNB,1477,zzz. Not colonized
Guyana,GUY,1477,zzz. Not colonized
Haiti,HTI,1477,zzz. Not colonized
Honduras,HND,1477,zzz. Not colonized
India,IND,1477,zzz. Not colonized
Indonesia,IDN,1477,zzz. Not colonized
Iran,IRN,1477,zzz. Not colonized
Iraq,IRQ,1477,zzz. Not colonized
Israel,ISR,1477,zzz. Not colonized
Italy,ITA,1477,zz. Colonizer
