Entity,Code,Year,colonizer_grouped
Afghanistan,AFG,1671,zzz. Not colonized
Algeria,DZA,1671,zzz. Not colonized
Angola,AGO,1671,Portugal
Antigua and Barbuda,ATG,1671,United Kingdom
Argentina,ARG,1671,Spain
Armenia,ARM,1671,zzz. Not colonized
Australia,AUS,1671,zzz. Not colonized
Azerbaijan,AZE,1671,zzz. Not colonized
Bahamas,BHS,1671,zzz. Not colonized
Bahrain,BHR,1671,zzz. Not colonized
Bangladesh,BGD,1671,zzz. Not colonized
Barbados,BRB,1671,United Kingdom
Belgium,BEL,1671,zz. Colonizer
Belize,BLZ,1671,Spain
Benin,BEN,1671,zzz. Not colonized
Bhutan,BTN,1671,zzz. Not colonized
Bolivia,BOL,1671,Spain
Botswana,BWA,1671,zzz. Not colonized
Brazil,BRA,1671,Portugal
Brunei,BRN,1671,zzz. Not colonized
Burkina Faso,BFA,1671,zzz. Not colonized
Burundi,BDI,1671,zzz. Not colonized
Cambodia,KHM,1671,zzz. Not colonized
Cameroon,CMR,1671,zzz. Not colonized
Canada,CAN,1671,France
Cape Verde,CPV,1671,Portugal
Central African Republic,CAF,1671,zzz. Not colonized
Chad,TCD,1671,zzz. Not colonized
Chile,CHL,1671,Spain
China,CHN,1671,zzz. Not colonized
Colombia,COL,1671,Spain
Comoros,COM,1671,zzz. Not colonized
Congo,COG,1671,zzz. Not colonized
Costa Rica,CRI,1671,Spain
Cote d'Ivoire,CIV,1671,zzz. Not colonized
Cuba,CUB,1671,Spain
Democratic Republic of Congo,COD,1671,zzz. Not colonized
Djibouti,DJI,1671,zzz. Not colonized
Dominica,DMA,1671,France
Dominican Republic,DOM,1671,Spain
East Timor,TLS,1671,Portugal
Ecuador,ECU,1671,Spain
Egypt,EGY,1671,zzz. Not colonized
El Salvador,SLV,1671,Spain
Equatorial Guinea,GNQ,1671,zzz. Not colonized
Eritrea,ERI,1671,zzz. Not colonized
Eswatini,SWZ,1671,zzz. Not colonized
Ethiopia,ETH,1671,zzz. Not colonized
Fiji,FJI,1671,zzz. Not colonized
France,FRA,1671,zz. Colonizer
Gabon,GAB,1671,zzz. Not colonized
Gambia,GMB,1671,zzz. Not colonized
Georgia,GEO,1671,zzz. Not colonized
Germany,DEU,1671,zz. Colonizer
Ghana,GHA,1671,Portugal
Grenada,GRD,1671,France
Guatemala,GTM,1671,Spain
Guinea,GIN,1671,zzz. Not colonized
Guinea-Bissau,GNB,1671,zzz. Not colonized
Guyana,GUY,1671,Netherlands
Haiti,HTI,1671,France
Honduras,HND,1671,Spain
India,IND,1671,zzz. Not colonized
Indonesia,IDN,1671,Netherlands
Iran,IRN,1671,zzz. Not colonized
Iraq,IRQ,1671,zzz. Not colonized
Israel,ISR,1671,zzz. Not colonized
Italy,ITA,1671,zz. Colonizer
Jamaica,JAM,1671,United Kingdom
Japan,JPN,1671,zzz. Not colonized
Jordan,JOR,1671,zzz. Not colonized
Kazakhstan,KAZ,1671,zzz. Not colonized
Kenya,KEN,1671,zzz. Not colonized
Kiribati,KIR,1671,zzz. Not colonized
Kuwait,KWT,1671,zzz. Not colonized
Kyrgyzstan,KGZ,1671,zzz. Not colonized
Laos,LAO,1671,zzz. Not colonized
Lebanon,LBN,1671,zzz. Not colonized
Lesotho,LSO,1671,zzz. Not colonized
Liberia,LBR,1671,zzz. Not colonized
Libya,LBY,1671,zzz. Not colonized
Madagascar,MDG,1671,zzz. Not colonized
Malawi,MWI,1671,zzz. Not colonized
Malaysia,MYS,1671,zzzz. No longer colonized
Maldives,MDV,1671,zzz. Not colonized
Mali,MLI,1671,zzz. Not colonized
Marshall Islands,MHL,1671,zzz. Not colonized
Mauritania,MRT,1671,zzz. Not colonized
Mauritius,MUS,1671,zzz. Not colonized
Mexico,MEX,1671,Spain
Micronesia (country),FSM,1671,Spain
Mongolia,MNG,1671,zzz. Not colonized
Morocco,MAR,1671,zzz. Not colonized
Mozambique,MOZ,1671,zzz. Not colonized
Myanmar,MMR,1671,zzz. Not colonized
Namibia,NAM,1671,zzz. Not colonized
Nauru,NRU,1671,zzz. Not colonized
Nepal,NPL,1671,zzz. Not colonized
Netherlands,NLD,1671,zz. Colonizer
New Zealand,NZL,1671,zzz. Not colonized
Nicaragua,NIC,1671,Spain
Niger,NER,1671,zzz. Not colonized
Nigeria,NGA,1671,zzz. Not colonized
North Korea,PRK,1671,zzz. Not colonized
Oman,OMN,1671,zzz. Not colonized
Pakistan,PAK,1671,zzz. Not colonized
Palau,PLW,1671,zzz. Not colonized
Panama,PAN,1671,Spain
Papua New Guinea,PNG,1671,zzz. Not colonized
Paraguay,PRY,1671,Spain
Peru,PER,1671,Spain
Philippines,PHL,1671,Spain
Portugal,PRT,1671,zz. Colonizer
Qatar,QAT,1671,zzz. Not colonized
Rwanda,RWA,1671,zzz. Not colonized
Saint Kitts and Nevis,KNA,1671,United Kingdom
Saint Lucia,LCA,1671,France
Saint Vincent and the Grenadines,VCT,1671,zzz. Not colonized
Samoa,WSM,1671,zzz. Not colonized
Sao Tome and Principe,STP,1671,Portugal
Saudi Arabia,SAU,1671,zzz. Not colonized
Senegal,SEN,1671,zzz. Not colonized
Seychelles,SYC,1671,zzz. Not colonized
Sierra Leone,SLE,1671,zzz. Not colonized
Singapore,SGP,1671,zzz. Not colonized
Solomon Islands,SLB,1671,zzz. Not colonized
Somalia,SOM,1671,zzz. Not colonized
South Africa,ZAF,1671,Netherlands
South Korea,KOR,1671,zzz. Not colonized
South Sudan,SSD,1671,zzz. Not colonized
Spain,ESP,1671,zz. Colonizer
Sri Lanka,LKA,1671,zzzz. No longer colonized
Sudan,SDN,1671,zzz. Not colonized
Suriname,SUR,1671,Netherlands
Syria,SYR,1671,zzz. Not colonized
Taiwan,TWN,1671,zzz. Not colonized
Tajikistan,TJK,1671,zzz. Not colonized
Tanzania,TZA,1671,zzz. Not colonized
Thailand,THA,1671,zzz. Not colonized
Togo,TGO,1671,zzz. Not colonized
Tonga,TON,1671,zzz. Not colonized
Trinidad and Tobago,TTO,1671,Spain
Tunisia,TUN,1671,zzz. Not colonized
Turkey,TUR,1671,zzz. Not colonized
Turkmenistan,TKM,1671,zzz. Not colonized
Tuvalu,TUV,1671,zzz. Not colonized
Uganda,UGA,1671,zzz. Not colonized
United Arab Emirates,ARE,1671,zzz. Not colonized
United Kingdom,GBR,1671,zz. Colonizer
United States,USA,1671,United Kingdom
Uruguay,URY,1671,Spain
Uzbekistan,UZB,1671,zzz. Not colonized
Vanuatu,VUT,1671,zzz. Not colonized
Venezuela,VEN,1671,Spain
Vietnam,VNM,1671,zzz. Not colonized
Yemen,YEM,1671,zzz. Not colonized
Zambia,ZMB,1671,zzz. Not colonized
Zimbabwe,ZWE,1671,zzz. Not colonized
