Entity,Code,Year,colonizer_grouped
Afghanistan,AFG,1972,zzz. Not colonized
Algeria,DZA,1972,zzzz. No longer colonized
Angola,AGO,1972,Portugal
Antigua and Barbuda,ATG,1972,United Kingdom
Argentina,ARG,1972,zzzz. No longer colonized
Armenia,ARM,1972,zzz. Not colonized
Australia,AUS,1972,zzzz. No longer colonized
Azerbaijan,AZE,1972,zzz. Not colonized
Bahamas,BHS,1972,United Kingdom
Bahrain,BHR,1972,zzzz. No longer colonized
Bangladesh,BGD,1972,zzzz. No longer colonized
Barbados,BRB,1972,zzzz. No longer colonized
Belgium,BEL,1972,zz. Colonizer
Belize,BLZ,1972,United Kingdom
Benin,BEN,1972,zzzz. No longer colonized
Bhutan,BTN,1972,zzzz. No longer colonized
Bolivia,BOL,1972,zzzz. No longer colonized
Botswana,BWA,1972,zzzz. No longer colonized
Brazil,BRA,1972,zzzz. No longer colonized
Brunei,BRN,1972,United Kingdom
Burkina Faso,BFA,1972,zzzz. No longer colonized
Burundi,BDI,1972,zzzz. No longer colonized
Cambodia,KHM,1972,zzzz. No longer colonized
Cameroon,CMR,1972,zzzz. No longer colonized
Canada,CAN,1972,zzzz. No longer colonized
Cape Verde,CPV,1972,Portugal
Central African Republic,CAF,1972,zzzz. No longer colonized
Chad,TCD,1972,zzzz. No longer colonized
Chile,CHL,1972,zzzz. No longer colonized
China,CHN,1972,zzz. Not colonized
Colombia,COL,1972,zzzz. No longer colonized
Comoros,COM,1972,France
Congo,COG,1972,zzzz. No longer colonized
Costa Rica,CRI,1972,zzzz. No longer colonized
Cote d'Ivoire,CIV,1972,zzzz. No longer colonized
Cuba,CUB,1972,zzzz. No longer colonized
Cyprus,CYP,1972,zzzz. No longer colonized
Democratic Republic of Congo,COD,1972,zzzz. No longer colonized
Djibouti,DJI,1972,France
Dominica,DMA,1972,United Kingdom
Dominican Republic,DOM,1972,zzzz. No longer colonized
East Timor,TLS,1972,Portugal
Ecuador,ECU,1972,zzzz. No longer colonized
Egypt,EGY,1972,zzzz. No longer colonized
El Salvador,SLV,1972,zzzz. No longer colonized
Equatorial Guinea,GNQ,1972,zzzz. No longer colonized
Eritrea,ERI,1972,zzzz. No longer colonized
Eswatini,SWZ,1972,zzzz. No longer colonized
Ethiopia,ETH,1972,zzz. Not colonized
Fiji,FJI,1972,zzzz. No longer colonized
France,FRA,1972,zz. Colonizer
Gabon,GAB,1972,zzzz. No longer colonized
Gambia,GMB,1972,zzzz. No longer colonized
Georgia,GEO,1972,zzz. Not colonized
Germany,DEU,1972,zz. Colonizer
Ghana,GHA,1972,zzzz. No longer colonized
Grenada,GRD,1972,United Kingdom
Guatemala,GTM,1972,zzzz. No longer colonized
Guinea,GIN,1972,zzzz. No longer colonized
Guinea-Bissau,GNB,1972,Portugal
Guyana,GUY,1972,zzzz. No longer colonized
Haiti,HTI,1972,zzzz. No longer colonized
Honduras,HND,1972,zzzz. No longer colonized
India,IND,1972,zzzz. No longer colonized
Indonesia,IDN,1972,zzzz. No longer colonized
Iran,IRN,1972,zzz. Not colonized
Iraq,IRQ,1972,zzzz. No longer colonized
Israel,ISR,1972,zzzz. No longer colonized
Italy,ITA,1972,zz. Colonizer
Jamaica,JAM,1972,zzzz. No longer colonized
Japan,JPN,1972,zzz. Not colonized
Jordan,JOR,1972,zzzz. No longer colonized
Kazakhstan,KAZ,1972,zzz. Not colonized
Kenya,KEN,1972,zzzz. No longer colonized
Kiribati,KIR,1972,United Kingdom
Kuwait,KWT,1972,zzzz. No longer colonized
Kyrgyzstan,KGZ,1972,zzz. Not colonized
Laos,LAO,1972,zzzz. No longer colonized
Lebanon,LBN,1972,zzzz. No longer colonized
Lesotho,LSO,1972,zzzz. No longer colonized
Liberia,LBR,1972,zzz. Not colonized
Libya,LBY,1972,zzzz. No longer colonized
Madagascar,MDG,1972,zzzz. No longer colonized
Malawi,MWI,1972,zzzz. No longer colonized
Malaysia,MYS,1972,zzzz. No longer colonized
Maldives,MDV,1972,zzzz. No longer colonized
Mali,MLI,1972,zzzz. No longer colonized
Marshall Islands,MHL,1972,zzzz. No longer colonized
Mauritania,MRT,1972,zzzz. No longer colonized
Mauritius,MUS,1972,zzzz. No longer colonized
Mexico,MEX,1972,zzzz. No longer colonized
Micronesia (country),FSM,1972,zzzz. No longer colonized
Mongolia,MNG,1972,zzz. Not colonized
Morocco,MAR,1972,Spain
Mozambique,MOZ,1972,Portugal
Myanmar,MMR,1972,zzzz. No longer colonized
Namibia,NAM,1972,zzzz. No longer colonized
Nauru,NRU,1972,zzzz. No longer colonized
Nepal,NPL,1972,zzz. Not colonized
Netherlands,NLD,1972,zz. Colonizer
New Zealand,NZL,1972,zzzz. No longer colonized
Nicaragua,NIC,1972,zzzz. No longer colonized
Niger,NER,1972,zzzz. No longer colonized
Nigeria,NGA,1972,zzzz. No longer colonized
North Korea,PRK,1972,zzz. Not colonized
Oman,OMN,1972,zzz. Not colonized
Pakistan,PAK,1972,zzzz. No longer colonized
Palau,PLW,1972,zzzz. No longer colonized
Panama,PAN,1972,zzzz. No longer colonized
Papua New Guinea,PNG,1972,zzzz. No longer colonized
Paraguay,PRY,1972,zzzz. No longer colonized
Peru,PER,1972,zzzz. No longer colonized
Philippines,PHL,1972,zzzz. No longer colonized
Portugal,PRT,1972,zz. Colonizer
Qatar,QAT,1972,zzzz. No longer colonized
Rwanda,RWA,1972,zzzz. No longer colonized
Saint Kitts and Nevis,KNA,1972,United Kingdom
Saint Lucia,LCA,1972,United Kingdom
Saint Vincent and the Grenadines,VCT,1972,United Kingdom
Samoa,WSM,1972,zzzz. No longer colonized
Sao Tome and Principe,STP,1972,Portugal
Saudi Arabia,SAU,1972,zzz. Not colonized
Senegal,SEN,1972,zzzz. No longer colonized
Seychelles,SYC,1972,United Kingdom
Sierra Leone,SLE,1972,zzzz. No longer colonized
Singapore,SGP,1972,zzzz. No longer colonized
Solomon Islands,SLB,1972,United Kingdom
Somalia,SOM,1972,zzzz. No longer colonized
South Africa,ZAF,1972,zzzz. No longer colonized
South Korea,KOR,1972,zzz. Not colonized
South Sudan,SSD,1972,zzz. Not colonized
Spain,ESP,1972,zz. Colonizer
Sri Lanka,LKA,1972,zzzz. No longer colonized
Sudan,SDN,1972,zzzz. No longer colonized
Suriname,SUR,1972,Netherlands
Syria,SYR,1972,zzzz. No longer colonized
Taiwan,TWN,1972,zzz. Not colonized
Tajikistan,TJK,1972,zzz. Not colonized
Tanzania,TZA,1972,zzzz. No longer colonized
Thailand,THA,1972,zzz. Not colonized
Togo,TGO,1972,zzzz. No longer colonized
Tonga,TON,1972,zzzz. No longer colonized
Trinidad and Tobago,TTO,1972,zzzz. No longer colonized
Tunisia,TUN,1972,zzzz. No longer colonized
Turkey,TUR,1972,zzz. Not colonized
Turkmenistan,TKM,1972,zzz. Not colonized
Tuvalu,TUV,1972,United Kingdom
Uganda,UGA,1972,zzzz. No longer colonized
United Arab Emirates,ARE,1972,zzzz. No longer colonized
United Kingdom,GBR,1972,zz. Colonizer
United States,USA,1972,zzzz. No longer colonized
Uruguay,URY,1972,zzzz. No longer colonized
Uzbekistan,UZB,1972,zzz. Not colonized
Vanuatu,VUT,1972,z. Multiple colonizers
Venezuela,VEN,1972,zzzz. No longer colonized
Vietnam,VNM,1972,zzzz. No longer colonized
