Entity,Code,Year,colonizer_grouped
Afghanistan,AFG,1997,zzz. Not colonized
Algeria,DZA,1997,zzzz. No longer colonized
Angola,AGO,1997,zzzz. No longer colonized
Antigua and Barbuda,ATG,1997,zzzz. No longer colonized
Argentina,ARG,1997,zzzz. No longer colonized
Armenia,ARM,1997,zzz. Not colonized
Australia,AUS,1997,zzzz. No longer colonized
Azerbaijan,AZE,1997,zzz. Not colonized
Bahamas,BHS,1997,zzzz. No longer colonized
Bahrain,BHR,1997,zzzz. No longer colonized
Bangladesh,BGD,1997,zzzz. No longer colonized
Barbados,BRB,1997,zzzz. No longer colonized
Belgium,BEL,1997,zz. Colonizer
Belize,BLZ,1997,zzzz. No longer colonized
Benin,BEN,1997,zzzz. No longer colonized
Bhutan,BTN,1997,zzzz. No longer colonized
Bolivia,BOL,1997,zzzz. No longer colonized
Botswana,BWA,1997,zzzz. No longer colonized
Brazil,BRA,1997,zzzz. No longer colonized
Brunei,BRN,1997,zzzz. No longer colonized
Burkina Faso,BFA,1997,zzzz. No longer colonized
Burundi,BDI,1997,zzzz. No longer colonized
Cambodia,KHM,1997,zzzz. No longer colonized
Cameroon,CMR,1997,zzzz. No longer colonized
Canada,CAN,1997,zzzz. No longer colonized
Cape Verde,CPV,1997,zzzz. No longer colonized
Central African Republic,CAF,1997,zzzz. No longer colonized
Chad,TCD,1997,zzzz. No longer colonized
Chile,CHL,1997,zzzz. No longer colonized
China,CHN,1997,zzz. Not colonized
Colombia,COL,1997,zzzz. No longer colonized
Comoros,COM,1997,zzzz. No longer colonized
Congo,COG,1997,zzzz. No longer colonized
Costa Rica,CRI,1997,zzzz. No longer colonized
Cote d'Ivoire,CIV,1997,zzzz. No longer colonized
Cuba,CUB,1997,zzzz. No longer colonized
Cyprus,CYP,1997,zzzz. No longer colonized
Democratic Republic of Congo,COD,1997,zzzz. No longer colonized
Djibouti,DJI,1997,zzzz. No longer colonized
Dominica,DMA,1997,zzzz. No longer colonized
Dominican Republic,DOM,1997,zzzz. No longer colonized
East Timor,TLS,1997,zzzz. No longer colonized
Ecuador,ECU,1997,zzzz. No longer colonized
Egypt,EGY,1997,zzzz. No longer colonized
El Salvador,SLV,1997,zzzz. No longer colonized
Equatorial Guinea,GNQ,1997,zzzz. No longer colonized
Eritrea,ERI,1997,zzzz. No longer colonized
Eswatini,SWZ,1997,zzzz. No longer colonized
Ethiopia,ETH,1997,zzz. Not colonized
Fiji,FJI,1997,zzzz. No longer colonized
France,FRA,1997,zz. Colonizer
Gabon,GAB,1997,zzzz. No longer colonized
Gambia,GMB,1997,zzzz. No longer colonized
Georgia,GEO,1997,zzz. Not colonized
Germany,DEU,1997,zz. Colonizer
Ghana,GHA,1997,zzzz. No longer colonized
Grenada,GRD,1997,zzzz. No longer colonized
Guatemala,GTM,1997,zzzz. No longer colonized
Guinea,GIN,1997,zzzz. No longer colonized
Guinea-Bissau,GNB,1997,zzzz. No longer colonized
Guyana,GUY,1997,zzzz. No longer colonized
Haiti,HTI,1997,zzzz. No longer colonized
Honduras,HND,1997,zzzz. No longer colonized
India,IND,1997,zzzz. No longer colonized
Indonesia,IDN,1997,zzzz. No longer colonized
Iran,IRN,1997,zzz. Not colonized
Iraq,IRQ,1997,zzzz. No longer colonized
Israel,ISR,1997,zzzz. No longer colonized
Italy,ITA,1997,zz. Colonizer
Jamaica,JAM,1997,zzzz. No longer colonized
Japan,JPN,1997,zzz. Not colonized
Jordan,JOR,1997,zzzz. No longer colonized
Kazakhstan,KAZ,1997,zzz. Not colonized
Kenya,KEN,1997,zzzz. No longer colonized
Kiribati,KIR,1997,zzzz. No longer colonized
Kuwait,KWT,1997,zzzz. No longer colonized
Kyrgyzstan,KGZ,1997,zzz. Not colonized
Laos,LAO,1997,zzzz. No longer colonized
Lebanon,LBN,1997,zzzz. No longer colonized
Lesotho,LSO,1997,zzzz. No longer colonized
Liberia,LBR,1997,zzz. Not colonized
Libya,LBY,1997,zzzz. No longer colonized
Madagascar,MDG,1997,zzzz. No longer colonized
Malawi,MWI,1997,zzzz. No longer colonized
Malaysia,MYS,1997,zzzz. No longer colonized
Maldives,MDV,1997,zzzz. No longer colonized
Mali,MLI,1997,zzzz. No longer colonized
Marshall Islands,MHL,1997,zzzz. No longer colonized
Mauritania,MRT,1997,zzzz. No longer colonized
Mauritius,MUS,1997,zzzz. No longer colonized
Mexico,MEX,1997,zzzz. No longer colonized
Micronesia (country),FSM,1997,zzzz. No longer colonized
Mongolia,MNG,1997,zzz. Not colonized
Morocco,MAR,1997,zzzz. No longer colonized
Mozambique,MOZ,1997,zzzz. No longer colonized
Myanmar,MMR,1997,zzzz. No longer colonized
Namibia,NAM,1997,zzzz. No longer colonized
Nauru,NRU,1997,zzzz. No longer colonized
Nepal,NPL,1997,zzz. Not colonized
Netherlands,NLD,1997,zz. Colonizer
New Zealand,NZL,1997,zzzz. No longer colonized
Nicaragua,NIC,1997,zzzz. No longer colonized
Niger,NER,1997,zzzz. No longer colonized
Nigeria,NGA,1997,zzzz. No longer colonized
North Korea,PRK,1997,zzz. Not colonized
Oman,OMN,1997,zzz. Not colonized
Pakistan,PAK,1997,zzzz. No longer colonized
Palau,PLW,1997,zzzz. No longer colonized
Panama,PAN,1997,zzzz. No longer colonized
Papua New Guinea,PNG,1997,zzzz. No longer colonized
Paraguay,PRY,1997,zzzz. No longer colonized
Peru,PER,1997,zzzz. No longer colonized
Philippines,PHL,1997,zzzz. No longer colonized
Portugal,PRT,1997,zz. Colonizer
Qatar,QAT,1997,zzzz. No longer colonized
Rwanda,RWA,1997,zzzz. No longer colonized
Saint Kitts and Nevis,KNA,1997,zzzz. No longer colonized
Saint Lucia,LCA,1997,zzzz. No longer colonized
Saint Vincent and the Grenadines,VCT,1997,zzzz. No longer colonized
Samoa,WSM,1997,zzzz. No longer colonized
Sao Tome and Principe,STP,1997,zzzz. No longer colonized
Saudi Arabia,SAU,1997,zzz. Not colonized
Senegal,SEN,1997,zzzz. No longer colonized
Seychelles,SYC,1997,zzzz. No longer colonized
Sierra Leone,SLE,1997,zzzz. No longer colonized
