Entity,Code,Year,colonizer_grouped
Afghanistan,AFG,1952,zzz. Not colonized
Algeria,DZA,1952,France
Angola,AGO,1952,Portugal
Antigua and Barbuda,ATG,1952,United Kingdom
Argentina,ARG,1952,zzzz. No longer colonized
Armenia,ARM,1952,zzz. Not colonized
Australia,AUS,1952,zzzz. No longer colonized
Azerbaijan,AZE,1952,zzz. Not colonized
Bahamas,BHS,1952,United Kingdom
Bahrain,BHR,1952,United Kingdom
Bangladesh,BGD,1952,zzzz. No longer colonized
Barbados,BRB,1952,United Kingdom
Belgium,BEL,1952,zz. Colonizer
Belize,BLZ,1952,United Kingdom
Benin,BEN,1952,France
Bhutan,BTN,1952,zzzz. No longer colonized
Bolivia,BOL,1952,zzzz. No longer colonized
Botswana,BWA,1952,United Kingdom
Brazil,BRA,1952,zzzz. No longer colonized
Brunei,BRN,1952,United Kingdom
Burkina Faso,BFA,1952,France
Burundi,BDI,1952,Belgium
Cambodia,KHM,1952,France
Cameroon,CMR,1952,France
Canada,CAN,1952,zzzz. No longer colonized
Cape Verde,CPV,1952,Portugal
Central African Republic,CAF,1952,France
Chad,TCD,1952,France
Chile,CHL,1952,zzzz. No longer colonized
China,CHN,1952,zzz. Not colonized
Colombia,COL,1952,zzzz. No longer colonized
Comoros,COM,1952,France
Congo,COG,1952,France
Costa Rica,CRI,1952,zzzz. No longer colonized
Cote d'Ivoire,CIV,1952,France
Cuba,CUB,1952,zzzz. No longer colonized
Cyprus,CYP,1952,United Kingdom
Democratic Republic of Congo,COD,1952,Belgium
Djibouti,DJI,1952,France
Dominica,DMA,1952,United Kingdom
Dominican Republic,DOM,1952,zzzz. No longer colonized
East Timor,TLS,1952,Portugal
Ecuador,ECU,1952,zzzz. No longer colonized
Egypt,EGY,1952,zzzz. No longer colonized
El Salvador,SLV,1952,zzzz. No longer colonized
Equatorial Guinea,GNQ,1952,Spain
Eritrea,ERI,1952,zzzz. No longer colonized
Eswatini,SWZ,1952,United Kingdom
Ethiopia,ETH,1952,zzz. Not colonized
Fiji,FJI,1952,United Kingdom
France,FRA,1952,zz. Colonizer
Gabon,GAB,1952,France
Gambia,GMB,1952,United Kingdom
Georgia,GEO,1952,zzz. Not colonized
Germany,DEU,1952,zz. Colonizer
Ghana,GHA,1952,United Kingdom
Grenada,GRD,1952,United Kingdom
Guatemala,GTM,1952,zzzz. No longer colonized
Guinea,GIN,1952,France
Guinea-Bissau,GNB,1952,Portugal
Guyana,GUY,1952,United Kingdom
Haiti,HTI,1952,zzzz. No longer colonized
Honduras,HND,1952,zzzz. No longer colonized
India,IND,1952,zzzz. No longer colonized
Indonesia,IDN,1952,Netherlands
Iran,IRN,1952,zzz. Not colonized
Iraq,IRQ,1952,zzzz. No longer colonized
Israel,ISR,1952,zzzz. No longer colonized
Italy,ITA,1952,zz. Colonizer
Jamaica,JAM,1952,United Kingdom
Japan,JPN,1952,zzz. Not colonized
Jordan,JOR,1952,zzzz. No longer colonized
Kazakhstan,KAZ,1952,zzz. Not colonized
Kenya,KEN,1952,United Kingdom
Kiribati,KIR,1952,United Kingdom
Kuwait,KWT,1952,United Kingdom
Kyrgyzstan,KGZ,1952,zzz. Not colonized
Laos,LAO,1952,France
Lebanon,LBN,1952,zzzz. No longer colonized
Lesotho,LSO,1952,United Kingdom
Liberia,LBR,1952,zzz. Not colonized
Libya,LBY,1952,United Kingdom
Madagascar,MDG,1952,France
Malawi,MWI,1952,United Kingdom
Malaysia,MYS,1952,United Kingdom
Maldives,MDV,1952,United Kingdom
Mali,MLI,1952,France
Marshall Islands,MHL,1952,zzzz. No longer colonized
Mauritania,MRT,1952,France
Mauritius,MUS,1952,United Kingdom
Mexico,MEX,1952,zzzz. No longer colonized
Micronesia (country),FSM,1952,zzzz. No longer colonized
Mongolia,MNG,1952,zzz. Not colonized
Morocco,MAR,1952,z. Multiple colonizers
Mozambique,MOZ,1952,Portugal
Myanmar,MMR,1952,zzzz. No longer colonized
Namibia,NAM,1952,zzzz. No longer colonized
Nauru,NRU,1952,United Kingdom
Nepal,NPL,1952,zzz. Not colonized
Netherlands,NLD,1952,zz. Colonizer
New Zealand,NZL,1952,zzzz. No longer colonized
Nicaragua,NIC,1952,zzzz. No longer colonized
Niger,NER,1952,France
Nigeria,NGA,1952,United Kingdom
North Korea,PRK,1952,zzz. Not colonized
Oman,OMN,1952,zzz. Not colonized
Pakistan,PAK,1952,zzzz. No longer colonized
Palau,PLW,1952,zzzz. No longer colonized
Panama,PAN,1952,zzzz. No longer colonized
Papua New Guinea,PNG,1952,zzzz. No longer colonized
Paraguay,PRY,1952,zzzz. No longer colonized
Peru,PER,1952,zzzz. No longer colonized
