Entity,Code,Year,colonizer_grouped
Afghanistan,AFG,2004,zzz. Not colonized
Algeria,DZA,2004,zzzz. No longer colonized
Angola,AGO,2004,zzzz. No longer colonized
Antigua and Barbuda,ATG,2004,zzzz. No longer colonized
Argentina,ARG,2004,zzzz. No longer colonized
Armenia,ARM,2004,zzz. Not colonized
Australia,AUS,2004,zzzz. No longer colonized
Azerbaijan,AZE,2004,zzz. Not colonized
Bahamas,BHS,2004,zzzz. No longer colonized
Bahrain,BHR,2004,zzzz. No longer colonized
Bangladesh,BGD,2004,zzzz. No longer colonized
Barbados,BRB,2004,zzzz. No longer colonized
Belgium,BEL,2004,zz. Colonizer
Belize,BLZ,2004,zzzz. No longer colonized
Benin,BEN,2004,zzzz. No longer colonized
Bhutan,BTN,2004,zzzz. No longer colonized
Bolivia,BOL,2004,zzzz. No longer colonized
Botswana,BWA,2004,zzzz. No longer colonized
Brazil,BRA,2004,zzzz. No longer colonized
Brunei,BRN,2004,zzzz. No longer colonized
Burkina Faso,BFA,2004,zzzz. No longer colonized
Burundi,BDI,2004,zzzz. No longer colonized
Cambodia,KHM,2004,zzzz. No longer colonized
Cameroon,CMR,2004,zzzz. No longer colonized
Canada,CAN,2004,zzzz. No longer colonized
Cape Verde,CPV,2004,zzzz. No longer colonized
Central African Republic,CAF,2004,zzzz. No longer colonized
Chad,TCD,2004,zzzz. No longer colonized
Chile,CHL,2004,zzzz. No longer colonized
China,CHN,2004,zzz. Not colonized
Colombia,COL,2004,zzzz. No longer colonized
Comoros,COM,2004,zzzz. No longer colonized
Congo,COG,2004,zzzz. No longer colonized
Costa Rica,CRI,2004,zzzz. No longer colonized
Cote d'Ivoire,CIV,2004,zzzz. No longer colonized
Cuba,CUB,2004,zzzz. No longer colonized
Cyprus,CYP,2004,zzzz. No longer colonized
Democratic Republic of Congo,COD,2004,zzzz. No longer colonized
Djibouti,DJI,2004,zzzz. No longer colonized
Dominica,DMA,2004,zzzz. No longer colonized
Dominican Republic,DOM,2004,zzzz. No longer colonized
East Timor,TLS,2004,zzzz. No longer colonized
Ecuador,ECU,2004,zzzz. No longer colonized
Egypt,EGY,2004,zzzz. No longer colonized
El Salvador,SLV,2004,zzzz. No longer colonized
Equatorial Guinea,GNQ,2004,zzzz. No longer colonized
Eritrea,ERI,2004,zzzz. No longer colonized
Eswatini,SWZ,2004,zzzz. No longer colonized
Ethiopia,ETH,2004,zzz. Not colonized
Fiji,FJI,2004,zzzz. No longer colonized
France,FRA,2004,zz. Colonizer
Gabon,GAB,2004,zzzz. No longer colonized
Gambia,GMB,2004,zzzz. No longer colonized
Georgia,GEO,2004,zzz. Not colonized
Germany,DEU,2004,zz. Colonizer
Ghana,GHA,2004,zzzz. No longer colonized
Grenada,GRD,2004,zzzz. No longer colonized
Guatemala,GTM,2004,zzzz. No longer colonized
Guinea,GIN,2004,zzzz. No longer colonized
Guinea-Bissau,GNB,2004,zzzz. No longer colonized
Guyana,GUY,2004,zzzz. No longer colonized
Haiti,HTI,2004,zzzz. No longer colonized
Honduras,HND,2004,zzzz. No longer colonized
India,IND,2004,zzzz. No longer colonized
Indonesia,IDN,2004,zzzz. No longer colonized
Iran,IRN,2004,zzz. Not colonized
Iraq,IRQ,2004,zzzz. No longer colonized
Israel,ISR,2004,zzzz. No longer colonized
Italy,ITA,2004,zz. Colonizer
Jamaica,JAM,2004,zzzz. No longer colonized
Japan,JPN,2004,zzz. Not colonized
Jordan,JOR,2004,zzzz. No longer colonized
Kazakhstan,KAZ,2004,zzz. Not colonized
Kenya,KEN,2004,zzzz. No longer colonized
Kiribati,KIR,2004,zzzz. No longer colonized
Kuwait,KWT,2004,zzzz. No longer colonized
Kyrgyzstan,KGZ,2004,zzz. Not colonized
Laos,LAO,2004,zzzz. No longer colonized
Lebanon,LBN,2004,zzzz. No longer colonized
Lesotho,LSO,2004,zzzz. No longer colonized
Liberia,LBR,2004,zzz. Not colonized
Libya,LBY,2004,zzzz. No longer colonized
Madagascar,MDG,2004,zzzz. No longer colonized
Malawi,MWI,2004,zzzz. No longer colonized
Malaysia,MYS,2004,zzzz. No longer colonized
Maldives,MDV,2004,zzzz. No longer colonized
Mali,MLI,2004,zzzz. No longer colonized
Marshall Islands,MHL,2004,zzzz. No longer colonized
Mauritania,MRT,2004,zzzz. No longer colonized
Mauritius,MUS,2004,zzzz. No longer colonized
Mexico,MEX,2004,zzzz. No longer colonized
Micronesia (country),FSM,2004,zzzz. No longer colonized
Mongolia,MNG,2004,zzz. Not colonized
Morocco,MAR,2004,zzzz. No longer colonized
Mozambique,MOZ,2004,zzzz. No longer colonized
Myanmar,MMR,2004,zzzz. No longer colonized
Namibia,NAM,2004,zzzz. No longer colonized
Nauru,NRU,2004,zzzz. No longer colonized
Nepal,NPL,2004,zzz. Not colonized
Netherlands,NLD,2004,zz. Colonizer
New Zealand,NZL,2004,zzzz. No longer colonized
Nicaragua,NIC,2004,zzzz. No longer colonized
Niger,NER,2004,zzzz. No longer colonized
Nigeria,NGA,2004,zzzz. No longer colonized
North Korea,PRK,2004,zzz. Not colonized
Oman,OMN,2004,zzz. Not colonized
Pakistan,PAK,2004,zzzz. No longer colonized
Palau,PLW,2004,zzzz. No longer colonized
Panama,PAN,2004,zzzz. No longer colonized
Papua New Guinea,PNG,2004,zzzz. No longer colonized
Paraguay,PRY,2004,zzzz. No longer colonized
Peru,PER,2004,zzzz. No longer colonized
Philippines,PHL,2004,zzzz. No longer colonized
Portugal,PRT,2004,zz. Colonizer
Qatar,QAT,2004,zzzz. No longer colonized
Rwanda,RWA,2004,zzzz. No longer colonized
Saint Kitts and Nevis,KNA,2004,zzzz. No longer colonized
Saint Lucia,LCA,2004,zzzz. No longer colonized
Saint Vincent and the Grenadines,VCT,2004,zzzz. No longer colonized
Samoa,WSM,2004,zzzz. No longer colonized
Sao Tome and Principe,STP,2004,zzzz. No longer colonized
Saudi Arabia,SAU,2004,zzz. Not colonized
Senegal,SEN,2004,zzzz. No longer colonized
Seychelles,SYC,2004,zzzz. No longer colonized
Sierra Leone,SLE,2004,zzzz. No longer colonized
Singapore,SGP,2004,zzzz. No longer colonized
Solomon Islands,SLB,2004,zzzz. No longer colonized
Somalia,SOM,2004,zzzz. No longer colonized
South Africa,ZAF,2004,zzzz. No longer colonized
South Korea,KOR,2004,zzz. Not colonized
South Sudan,SSD,2004,zzz. Not colonized
Spain,ESP,2004,zz. Colonizer
Sri Lanka,LKA,2004,zzzz. No longer colonized
Sudan,SDN,2004,zzzz. No longer colonized
Suriname,SUR,2004,zzzz. No longer colonized
Syria,SYR,2004,zzzz. No longer colonized
Taiwan,TWN,2004,zzz. Not colonized
Tajikistan,TJK,2004,zzz. Not colonized
Tanzania,TZA,2004,zzzz. No longer colonized
Thailand,THA,2004,zzz. Not colonized
Togo,TGO,2004,zzzz. No longer colonized
Tonga,TON,2004,zzzz. No longer colonized
Trinidad and Tobago,TTO,2004,zzzz. No longer colonized
Tunisia,TUN,2004,zzzz. No longer colonized
Turkey,TUR,2004,zzz. Not colonized
Turkmenistan,TKM,2004,zzz. Not colonized
Tuvalu,TUV,2004,zzzz. No longer colonized
Uganda,UGA,2004,zzzz. No longer colonized
United Arab Emirates,ARE,2004,zzzz. No longer colonized
United Kingdom,GBR,2004,zz. Colonizer
United States,USA,2004,zzzz. No longer colonized
Uruguay,URY,2004,zzzz. No longer colonized
Uzbekistan,UZB,2004,zzz. Not colonized
Vanuatu,VUT,2004,zzzz. No longer colonized
Venezuela,VEN,2004,zzzz. No longer colonized
Vietnam,VNM,2004,zzzz. No longer colonized
Yemen,YEM,2004,zzzz. No longer colonized
Zambia,ZMB,2004,zzzz. No longer colonized
Zimbabwe,ZWE,2004,zzzz. No longer colonized
