Entity,Code,Year,colonizer_grouped
Afghanistan,AFG,1830,zzz. Not colonized
Algeria,DZA,1830,zzz. Not colonized
Angola,AGO,1830,Portugal
Antigua and Barbuda,ATG,1830,United Kingdom
Argentina,ARG,1830,zzzz. No longer colonized
Armenia,ARM,1830,zzz. Not colonized
Australia,AUS,1830,United Kingdom
Azerbaijan,AZE,1830,zzz. Not colonized
Bahamas,BHS,1830,United Kingdom
Bahrain,BHR,1830,zzz. Not colonized
Bangladesh,BGD,1830,zzz. Not colonized
Barbados,BRB,1830,United Kingdom
Belgium,BEL,1830,zz. Colonizer
Belize,BLZ,1830,z. Multiple colonizers
Benin,BEN,1830,zzz. Not colonized
Bhutan,BTN,1830,zzz. Not colonized
Bolivia,BOL,1830,zzzz. No longer colonized
Botswana,BWA,1830,zzz. Not colonized
Brazil,BRA,1830,zzzz. No longer colonized
Brunei,BRN,1830,zzz. Not colonized
Burkina Faso,BFA,1830,zzz. Not colonized
Burundi,BDI,1830,zzz. Not colonized
Cambodia,KHM,1830,zzz. Not colonized
Cameroon,CMR,1830,zzz. Not colonized
Canada,CAN,1830,United Kingdom
Cape Verde,CPV,1830,Portugal
Central African Republic,CAF,1830,zzz. Not colonized
Chad,TCD,1830,zzz. Not colonized
Chile,CHL,1830,zzzz. No longer colonized
China,CHN,1830,zzz. Not colonized
Colombia,COL,1830,zzzz. No longer colonized
Comoros,COM,1830,zzz. Not colonized
Congo,COG,1830,zzz. Not colonized
Costa Rica,CRI,1830,zzzz. No longer colonized
Cote d'Ivoire,CIV,1830,zzz. Not colonized
Cuba,CUB,1830,Spain
Democratic Republic of Congo,COD,1830,zzz. Not colonized
Djibouti,DJI,1830,zzz. Not colonized
Dominica,DMA,1830,United Kingdom
Dominican Republic,DOM,1830,Spain
East Timor,TLS,1830,Portugal
Ecuador,ECU,1830,zzzz. No longer colonized
Egypt,EGY,1830,zzz. Not colonized
El Salvador,SLV,1830,zzzz. No longer colonized
Equatorial Guinea,GNQ,1830,United Kingdom
Eritrea,ERI,1830,zzz. Not colonized
Eswatini,SWZ,1830,zzz. Not colonized
Ethiopia,ETH,1830,zzz. Not colonized
Fiji,FJI,1830,zzz. Not colonized
France,FRA,1830,zz. Colonizer
Gabon,GAB,1830,zzz. Not colonized
Gambia,GMB,1830,zzz. Not colonized
Georgia,GEO,1830,zzz. Not colonized
Germany,DEU,1830,zz. Colonizer
Ghana,GHA,1830,zzzz. No longer colonized
Grenada,GRD,1830,United Kingdom
Guatemala,GTM,1830,zzzz. No longer colonized
Guinea,GIN,1830,zzz. Not colonized
Guinea-Bissau,GNB,1830,zzz. Not colonized
Guyana,GUY,1830,United Kingdom
Haiti,HTI,1830,zzzz. No longer colonized
Honduras,HND,1830,zzzz. No longer colonized
India,IND,1830,zzz. Not colonized
Indonesia,IDN,1830,Netherlands
Iran,IRN,1830,zzz. Not colonized
Iraq,IRQ,1830,zzz. Not colonized
Israel,ISR,1830,zzz. Not colonized
Italy,ITA,1830,zz. Colonizer
Jamaica,JAM,1830,United Kingdom
Japan,JPN,1830,zzz. Not colonized
Jordan,JOR,1830,zzz. Not colonized
Kazakhstan,KAZ,1830,zzz. Not colonized
Kenya,KEN,1830,zzz. Not colonized
Kiribati,KIR,1830,zzz. Not colonized
Kuwait,KWT,1830,zzz. Not colonized
Kyrgyzstan,KGZ,1830,zzz. Not colonized
Laos,LAO,1830,zzz. Not colonized
Lebanon,LBN,1830,zzz. Not colonized
Lesotho,LSO,1830,zzz. Not colonized
Liberia,LBR,1830,zzz. Not colonized
Libya,LBY,1830,zzz. Not colonized
Madagascar,MDG,1830,zzz. Not colonized
Malawi,MWI,1830,zzz. Not colonized
Malaysia,MYS,1830,zzzz. No longer colonized
Maldives,MDV,1830,zzz. Not colonized
Mali,MLI,1830,zzz. Not colonized
Marshall Islands,MHL,1830,zzz. Not colonized
Mauritania,MRT,1830,zzz. Not colonized
Mauritius,MUS,1830,United Kingdom
Mexico,MEX,1830,zzzz. No longer colonized
Micronesia (country),FSM,1830,Spain
Mongolia,MNG,1830,zzz. Not colonized
Morocco,MAR,1830,zzz. Not colonized
Mozambique,MOZ,1830,zzz. Not colonized
Myanmar,MMR,1830,zzz. Not colonized
Namibia,NAM,1830,zzz. Not colonized
Nauru,NRU,1830,zzz. Not colonized
Nepal,NPL,1830,zzz. Not colonized
Netherlands,NLD,1830,zz. Colonizer
New Zealand,NZL,1830,zzz. Not colonized
Nicaragua,NIC,1830,zzzz. No longer colonized
Niger,NER,1830,zzz. Not colonized
Nigeria,NGA,1830,zzz. Not colonized
North Korea,PRK,1830,zzz. Not colonized
Oman,OMN,1830,zzz. Not colonized
Pakistan,PAK,1830,zzz. Not colonized
Palau,PLW,1830,zzz. Not colonized
Panama,PAN,1830,zzzz. No longer colonized
Papua New Guinea,PNG,1830,zzz. Not colonized
Paraguay,PRY,1830,zzzz. No longer colonized
Peru,PER,1830,zzzz. No longer colonized
Philippines,PHL,1830,Spain
Portugal,PRT,1830,zz. Colonizer
Qatar,QAT,1830,zzz. Not colonized
Rwanda,RWA,1830,zzz. Not colonized
Saint Kitts and Nevis,KNA,1830,United Kingdom
Saint Lucia,LCA,1830,United Kingdom
Saint Vincent and the Grenadines,VCT,1830,United Kingdom
Samoa,WSM,1830,zzz. Not colonized
Sao Tome and Principe,STP,1830,Portugal
Saudi Arabia,SAU,1830,zzz. Not colonized
Senegal,SEN,1830,zzzz. No longer colonized
Seychelles,SYC,1830,United Kingdom
Sierra Leone,SLE,1830,zzz. Not colonized
Singapore,SGP,1830,United Kingdom
Solomon Islands,SLB,1830,zzz. Not colonized
Somalia,SOM,1830,zzz. Not colonized
South Africa,ZAF,1830,United Kingdom
South Korea,KOR,1830,zzz. Not colonized
South Sudan,SSD,1830,zzz. Not colonized
Spain,ESP,1830,zz. Colonizer
Sri Lanka,LKA,1830,United Kingdom
Sudan,SDN,1830,zzz. Not colonized
Suriname,SUR,1830,Netherlands
Syria,SYR,1830,zzz. Not colonized
Taiwan,TWN,1830,zzz. Not colonized
Tajikistan,TJK,1830,zzz. Not colonized
Tanzania,TZA,1830,zzz. Not colonized
Thailand,THA,1830,zzz. Not colonized
Togo,TGO,1830,zzz. Not colonized
Tonga,TON,1830,zzz. Not colonized
Trinidad and Tobago,TTO,1830,United Kingdom
Tunisia,TUN,1830,zzz. Not colonized
Turkey,TUR,1830,zzz. Not colonized
Turkmenistan,TKM,1830,zzz. Not colonized
Tuvalu,TUV,1830,zzz. Not colonized
Uganda,UGA,1830,zzz. Not colonized
United Arab Emirates,ARE,1830,zzz. Not colonized
United Kingdom,GBR,1830,zz. Colonizer
United States,USA,1830,zzzz. No longer colonized
Uruguay,URY,1830,zzzz. No longer colonized
Uzbekistan,UZB,1830,zzz. Not colonized
Vanuatu,VUT,1830,zzz. Not colonized
Venezuela,VEN,1830,zzzz. No longer colonized
Vietnam,VNM,1830,zzz. Not colonized
Yemen,YEM,1830,zzz. Not colonized
Zambia,ZMB,1830,zzz. Not colonized
Zimbabwe,ZWE,1830,zzz. Not colonized
