Entity,Code,Year,colonizer_grouped
Afghanistan,AFG,1596,zzz. Not colonized
Algeria,DZA,1596,zzz. Not colonized
Angola,AGO,1596,Portugal
Antigua and Barbuda,ATG,1596,zzz. Not colonized
Argentina,ARG,1596,Spain
Armenia,ARM,1596,zzz. Not colonized
Australia,AUS,1596,zzz. Not colonized
Azerbaijan,AZE,1596,zzz. Not colonized
Bahamas,BHS,1596,zzz. Not colonized
Bahrain,BHR,1596,zzz. Not colonized
Bangladesh,BGD,1596,zzz. Not colonized
Barbados,BRB,1596,zzz. Not colonized
Belgium,BEL,1596,zz. Colonizer
Belize,BLZ,1596,Spain
Benin,BEN,1596,zzz. Not colonized
Bhutan,BTN,1596,zzz. Not colonized
Bolivia,BOL,1596,Spain
Botswana,BWA,1596,zzz. Not colonized
Brazil,BRA,1596,Portugal
Brunei,BRN,1596,zzz. Not colonized
Burkina Faso,BFA,1596,zzz. Not colonized
Burundi,BDI,1596,zzz. Not colonized
Cambodia,KHM,1596,zzz. Not colonized
Cameroon,CMR,1596,zzz. Not colonized
Canada,CAN,1596,zzz. Not colonized
Cape Verde,CPV,1596,Portugal
Central African Republic,CAF,1596,zzz. Not colonized
Chad,TCD,1596,zzz. Not colonized
Chile,CHL,1596,Spain
China,CHN,1596,zzz. Not colonized
Colombia,COL,1596,Spain
Comoros,COM,1596,zzz. Not colonized
Congo,COG,1596,zzz. Not colonized
Costa Rica,CRI,1596,Spain
Cote d'Ivoire,CIV,1596,zzz. Not colonized
Cuba,CUB,1596,Spain
Democratic Republic of Congo,COD,1596,zzz. Not colonized
Djibouti,DJI,1596,zzz. Not colonized
Dominica,DMA,1596,zzz. Not colonized
Dominican Republic,DOM,1596,Spain
East Timor,TLS,1596,zzz. Not colonized
Ecuador,ECU,1596,Spain
Egypt,EGY,1596,zzz. Not colonized
El Salvador,SLV,1596,Spain
Equatorial Guinea,GNQ,1596,zzz. Not colonized
Eritrea,ERI,1596,zzz. Not colonized
Eswatini,SWZ,1596,zzz. Not colonized
Ethiopia,ETH,1596,zzz. Not colonized
Fiji,FJI,1596,zzz. Not colonized
France,FRA,1596,zz. Colonizer
Gabon,GAB,1596,zzz. Not colonized
Gambia,GMB,1596,zzz. Not colonized
Georgia,GEO,1596,zzz. Not colonized
Germany,DEU,1596,zz. Colonizer
Ghana,GHA,1596,Portugal
Grenada,GRD,1596,zzz. Not colonized
Guatemala,GTM,1596,Spain
Guinea,GIN,1596,zzz. Not colonized
Guinea-Bissau,GNB,1596,zzz. Not colonized
Guyana,GUY,1596,Netherlands
Haiti,HTI,1596,zzz. Not colonized
Honduras,HND,1596,Spain
India,IND,1596,zzz. Not colonized
Indonesia,IDN,1596,zzz. Not colonized
Iran,IRN,1596,zzz. Not colonized
Iraq,IRQ,1596,zzz. Not colonized
Israel,ISR,1596,zzz. Not colonized
Italy,ITA,1596,zz. Colonizer
Jamaica,JAM,1596,Spain
Japan,JPN,1596,zzz. Not colonized
Jordan,JOR,1596,zzz. Not colonized
Kazakhstan,KAZ,1596,zzz. Not colonized
Kenya,KEN,1596,zzz. Not colonized
Kiribati,KIR,1596,zzz. Not colonized
Kuwait,KWT,1596,zzz. Not colonized
Kyrgyzstan,KGZ,1596,zzz. Not colonized
Laos,LAO,1596,zzz. Not colonized
Lebanon,LBN,1596,zzz. Not colonized
Lesotho,LSO,1596,zzz. Not colonized
Liberia,LBR,1596,zzz. Not colonized
Libya,LBY,1596,zzz. Not colonized
Madagascar,MDG,1596,zzz. Not colonized
Malawi,MWI,1596,zzz. Not colonized
Malaysia,MYS,1596,Portugal
Maldives,MDV,1596,zzz. Not colonized
Mali,MLI,1596,zzz. Not colonized
Marshall Islands,MHL,1596,zzz. Not colonized
Mauritania,MRT,1596,zzz. Not colonized
Mauritius,MUS,1596,zzz. Not colonized
Mexico,MEX,1596,Spain
Micronesia (country),FSM,1596,zzz. Not colonized
Mongolia,MNG,1596,zzz. Not colonized
Morocco,MAR,1596,zzz. Not colonized
Mozambique,MOZ,1596,zzz. Not colonized
Myanmar,MMR,1596,zzz. Not colonized
Namibia,NAM,1596,zzz. Not colonized
Nauru,NRU,1596,zzz. Not colonized
Nepal,NPL,1596,zzz. Not colonized
Netherlands,NLD,1596,zz. Colonizer
New Zealand,NZL,1596,zzz. Not colonized
Nicaragua,NIC,1596,Spain
Niger,NER,1596,zzz. Not colonized
Nigeria,NGA,1596,zzz. Not colonized
North Korea,PRK,1596,zzz. Not colonized
Oman,OMN,1596,zzz. Not colonized
Pakistan,PAK,1596,zzz. Not colonized
Palau,PLW,1596,zzz. Not colonized
Panama,PAN,1596,Spain
Papua New Guinea,PNG,1596,zzz. Not colonized
Paraguay,PRY,1596,Spain
Peru,PER,1596,Spain
Philippines,PHL,1596,Spain
Portugal,PRT,1596,zz. Colonizer
Qatar,QAT,1596,zzz. Not colonized
Rwanda,RWA,1596,zzz. Not colonized
Saint Kitts and Nevis,KNA,1596,zzz. Not colonized
Saint Lucia,LCA,1596,zzz. Not colonized
Saint Vincent and the Grenadines,VCT,1596,zzz. Not colonized
Samoa,WSM,1596,zzz. Not colonized
Sao Tome and Principe,STP,1596,Portugal
Saudi Arabia,SAU,1596,zzz. Not colonized
Senegal,SEN,1596,zzz. Not colonized
Seychelles,SYC,1596,zzz. Not colonized
Sierra Leone,SLE,1596,zzz. Not colonized
Singapore,SGP,1596,zzz. Not colonized
Solomon Islands,SLB,1596,zzz. Not colonized
Somalia,SOM,1596,zzz. Not colonized
South Africa,ZAF,1596,zzz. Not colonized
South Korea,KOR,1596,zzz. Not colonized
South Sudan,SSD,1596,zzz. Not colonized
Spain,ESP,1596,zz. Colonizer
Sri Lanka,LKA,1596,zzz. Not colonized
Sudan,SDN,1596,zzz. Not colonized
Suriname,SUR,1596,zzz. Not colonized
Syria,SYR,1596,zzz. Not colonized
Taiwan,TWN,1596,zzz. Not colonized
Tajikistan,TJK,1596,zzz. Not colonized
Tanzania,TZA,1596,zzz. Not colonized
Thailand,THA,1596,zzz. Not colonized
Togo,TGO,1596,zzz. Not colonized
Tonga,TON,1596,zzz. Not colonized
Trinidad and Tobago,TTO,1596,Spain
Tunisia,TUN,1596,zzz. Not colonized
Turkey,TUR,1596,zzz. Not colonized
Turkmenistan,TKM,1596,zzz. Not colonized
Tuvalu,TUV,1596,zzz. Not colonized
Uganda,UGA,1596,zzz. Not colonized
United Arab Emirates,ARE,1596,zzz. Not colonized
United Kingdom,GBR,1596,zz. Colonizer
United States,USA,1596,zzz. Not colonized
Uruguay,URY,1596,zzz. Not colonized
Uzbekistan,UZB,1596,zzz. Not colonized
Vanuatu,VUT,1596,zzz. Not colonized
Venezuela,VEN,1596,Spain
Vietnam,VNM,1596,zzz. Not colonized
Yemen,YEM,1596,zzz. Not colonized
Zambia,ZMB,1596,zzz. Not colonized
Zimbabwe,ZWE,1596,zzz. Not colonized
