Entity,Code,Year,colonizer_grouped
Afghanistan,AFG,1986,zzz. Not colonized
Algeria,DZA,1986,zzzz. No longer colonized
Angola,AGO,1986,zzzz. No longer colonized
Antigua and Barbuda,ATG,1986,zzzz. No longer colonized
Argentina,ARG,1986,zzzz. No longer colonized
Armenia,ARM,1986,zzz. Not colonized
Australia,AUS,1986,zzzz. No longer colonized
Azerbaijan,AZE,1986,zzz. Not colonized
Bahamas,BHS,1986,zzzz. No longer colonized
Bahrain,BHR,1986,zzzz. No longer colonized
Bangladesh,BGD,1986,zzzz. No longer colonized
Barbados,BRB,1986,zzzz. No longer colonized
Belgium,BEL,1986,zz. Colonizer
Belize,BLZ,1986,zzzz. No longer colonized
Benin,BEN,1986,zzzz. No longer colonized
Bhutan,BTN,1986,zzzz. No longer colonized
Bolivia,BOL,1986,zzzz. No longer colonized
Botswana,BWA,1986,zzzz. No longer colonized
Brazil,BRA,1986,zzzz. No longer colonized
Brunei,BRN,1986,zzzz. No longer colonized
Burkina Faso,BFA,1986,zzzz. No longer colonized
Burundi,BDI,1986,zzzz. No longer colonized
Cambodia,KHM,1986,zzzz. No longer colonized
Cameroon,CMR,1986,zzzz. No longer colonized
Canada,CAN,1986,zzzz. No longer colonized
Cape Verde,CPV,1986,zzzz. No longer colonized
Central African Republic,CAF,1986,zzzz. No longer colonized
Chad,TCD,1986,zzzz. No longer colonized
Chile,CHL,1986,zzzz. No longer colonized
China,CHN,1986,zzz. Not colonized
Colombia,COL,1986,zzzz. No longer colonized
Comoros,COM,1986,zzzz. No longer colonized
Congo,COG,1986,zzzz. No longer colonized
Costa Rica,CRI,1986,zzzz. No longer colonized
Cote d'Ivoire,CIV,1986,zzzz. No longer colonized
Cuba,CUB,1986,zzzz. No longer colonized
Cyprus,CYP,1986,zzzz. No longer colonized
Democratic Republic of Congo,COD,1986,zzzz. No longer colonized
Djibouti,DJI,1986,zzzz. No longer colonized
Dominica,DMA,1986,zzzz. No longer colonized
Dominican Republic,DOM,1986,zzzz. No longer colonized
East Timor,TLS,1986,zzzz. No longer colonized
Ecuador,ECU,1986,zzzz. No longer colonized
Egypt,EGY,1986,zzzz. No longer colonized
El Salvador,SLV,1986,zzzz. No longer colonized
Equatorial Guinea,GNQ,1986,zzzz. No longer colonized
Eritrea,ERI,1986,zzzz. No longer colonized
Eswatini,SWZ,1986,zzzz. No longer colonized
Ethiopia,ETH,1986,zzz. Not colonized
Fiji,FJI,1986,zzzz. No longer colonized
France,FRA,1986,zz. Colonizer
Gabon,GAB,1986,zzzz. No longer colonized
Gambia,GMB,1986,zzzz. No longer colonized
Georgia,GEO,1986,zzz. Not colonized
Germany,DEU,1986,zz. Colonizer
Ghana,GHA,1986,zzzz. No longer colonized
Grenada,GRD,1986,zzzz. No longer colonized
Guatemala,GTM,1986,zzzz. No longer colonized
Guinea,GIN,1986,zzzz. No longer colonized
Guinea-Bissau,GNB,1986,zzzz. No longer colonized
Guyana,GUY,1986,zzzz. No longer colonized
Haiti,HTI,1986,zzzz. No longer colonized
Honduras,HND,1986,zzzz. No longer colonized
India,IND,1986,zzzz. No longer colonized
Indonesia,IDN,1986,zzzz. No longer colonized
Iran,IRN,1986,zzz. Not colonized
Iraq,IRQ,1986,zzzz. No longer colonized
Israel,ISR,1986,zzzz. No longer colonized
Italy,ITA,1986,zz. Colonizer
