Entity,Code,Year,colonizer_grouped
Afghanistan,AFG,1902,zzz. Not colonized
Algeria,DZA,1902,France
Angola,AGO,1902,Portugal
Antigua and Barbuda,ATG,1902,United Kingdom
Argentina,ARG,1902,zzzz. No longer colonized
Armenia,ARM,1902,zzz. Not colonized
Australia,AUS,1902,United Kingdom
Azerbaijan,AZE,1902,zzz. Not colonized
Bahamas,BHS,1902,United Kingdom
Bahrain,BHR,1902,United Kingdom
Bangladesh,BGD,1902,United Kingdom
Barbados,BRB,1902,United Kingdom
Belgium,BEL,1902,zz. Colonizer
Belize,BLZ,1902,United Kingdom
Benin,BEN,1902,France
Bhutan,BTN,1902,zzz. Not colonized
Bolivia,BOL,1902,zzzz. No longer colonized
Botswana,BWA,1902,United Kingdom
Brazil,BRA,1902,zzzz. No longer colonized
Brunei,BRN,1902,United Kingdom
Burkina Faso,BFA,1902,France
Burundi,BDI,1902,Germany
Cambodia,KHM,1902,France
Cameroon,CMR,1902,Germany
Canada,CAN,1902,United Kingdom
Cape Verde,CPV,1902,Portugal
Central African Republic,CAF,1902,zzz. Not colonized
Chad,TCD,1902,zzz. Not colonized
Chile,CHL,1902,zzzz. No longer colonized
China,CHN,1902,zzz. Not colonized
Colombia,COL,1902,zzzz. No longer colonized
Comoros,COM,1902,zzz. Not colonized
Congo,COG,1902,France
Costa Rica,CRI,1902,zzzz. No longer colonized
Cote d'Ivoire,CIV,1902,France
Cuba,CUB,1902,zzzz. No longer colonized
Democratic Republic of Congo,COD,1902,Belgium
Djibouti,DJI,1902,France
Dominica,DMA,1902,United Kingdom
Dominican Republic,DOM,1902,zzzz. No longer colonized
East Timor,TLS,1902,Portugal
Ecuador,ECU,1902,zzzz. No longer colonized
Egypt,EGY,1902,United Kingdom
El Salvador,SLV,1902,zzzz. No longer colonized
Equatorial Guinea,GNQ,1902,Spain
Eritrea,ERI,1902,Italy
Eswatini,SWZ,1902,zzz. Not colonized
Ethiopia,ETH,1902,zzz. Not colonized
Fiji,FJI,1902,United Kingdom
France,FRA,1902,zz. Colonizer
Gabon,GAB,1902,France
Gambia,GMB,1902,United Kingdom
Georgia,GEO,1902,zzz. Not colonized
Germany,DEU,1902,zz. Colonizer
Ghana,GHA,1902,z. Multiple colonizers
Grenada,GRD,1902,United Kingdom
Guatemala,GTM,1902,zzzz. No longer colonized
Guinea,GIN,1902,France
Guinea-Bissau,GNB,1902,Portugal
Guyana,GUY,1902,United Kingdom
Haiti,HTI,1902,zzzz. No longer colonized
Honduras,HND,1902,zzzz. No longer colonized
India,IND,1902,United Kingdom
Indonesia,IDN,1902,Netherlands
Iran,IRN,1902,zzz. Not colonized
Iraq,IRQ,1902,zzz. Not colonized
Israel,ISR,1902,zzz. Not colonized
Italy,ITA,1902,zz. Colonizer
Jamaica,JAM,1902,United Kingdom
Japan,JPN,1902,zzz. Not colonized
Jordan,JOR,1902,zzz. Not colonized
Kazakhstan,KAZ,1902,zzz. Not colonized
Kenya,KEN,1902,United Kingdom
Kiribati,KIR,1902,United Kingdom
Kuwait,KWT,1902,zzz. Not colonized
Kyrgyzstan,KGZ,1902,zzz. Not colonized
Laos,LAO,1902,France
Lebanon,LBN,1902,zzz. Not colonized
Lesotho,LSO,1902,United Kingdom
Liberia,LBR,1902,zzz. Not colonized
Libya,LBY,1902,zzz. Not colonized
Madagascar,MDG,1902,France
Malawi,MWI,1902,United Kingdom
Malaysia,MYS,1902,United Kingdom
Maldives,MDV,1902,United Kingdom
Mali,MLI,1902,zzz. Not colonized
Marshall Islands,MHL,1902,Germany
Mauritania,MRT,1902,zzz. Not colonized
Mauritius,MUS,1902,United Kingdom
Mexico,MEX,1902,zzzz. No longer colonized
Micronesia (country),FSM,1902,zzzz. No longer colonized
Mongolia,MNG,1902,zzz. Not colonized
Morocco,MAR,1902,Spain
Mozambique,MOZ,1902,Portugal
Myanmar,MMR,1902,United Kingdom
Namibia,NAM,1902,Germany
Nauru,NRU,1902,Germany
Nepal,NPL,1902,zzz. Not colonized
Netherlands,NLD,1902,zz. Colonizer
New Zealand,NZL,1902,United Kingdom
Nicaragua,NIC,1902,zzzz. No longer colonized
Niger,NER,1902,zzz. Not colonized
Nigeria,NGA,1902,United Kingdom
North Korea,PRK,1902,zzz. Not colonized
Oman,OMN,1902,zzz. Not colonized
Pakistan,PAK,1902,United Kingdom
Palau,PLW,1902,Germany
Panama,PAN,1902,zzzz. No longer colonized
Papua New Guinea,PNG,1902,United Kingdom
Paraguay,PRY,1902,zzzz. No longer colonized
Peru,PER,1902,zzzz. No longer colonized
Philippines,PHL,1902,zzzz. No longer colonized
Portugal,PRT,1902,zz. Colonizer
Qatar,QAT,1902,zzz. Not colonized
Rwanda,RWA,1902,Germany
Saint Kitts and Nevis,KNA,1902,United Kingdom
Saint Lucia,LCA,1902,United Kingdom
Saint Vincent and the Grenadines,VCT,1902,United Kingdom
Samoa,WSM,1902,Germany
Sao Tome and Principe,STP,1902,Portugal
Saudi Arabia,SAU,1902,zzz. Not colonized
Senegal,SEN,1902,France
Seychelles,SYC,1902,United Kingdom
Sierra Leone,SLE,1902,United Kingdom
Singapore,SGP,1902,United Kingdom
Solomon Islands,SLB,1902,z. Multiple colonizers
Somalia,SOM,1902,United Kingdom
South Africa,ZAF,1902,United Kingdom
South Korea,KOR,1902,zzz. Not colonized
South Sudan,SSD,1902,zzz. Not colonized
Spain,ESP,1902,zz. Colonizer
Sri Lanka,LKA,1902,United Kingdom
Sudan,SDN,1902,United Kingdom
Suriname,SUR,1902,Netherlands
Syria,SYR,1902,zzz. Not colonized
Taiwan,TWN,1902,zzz. Not colonized
Tajikistan,TJK,1902,zzz. Not colonized
Tanzania,TZA,1902,Germany
Thailand,THA,1902,zzz. Not colonized
Togo,TGO,1902,Germany
Tonga,TON,1902,United Kingdom
Trinidad and Tobago,TTO,1902,United Kingdom
Tunisia,TUN,1902,France
Turkey,TUR,1902,zzz. Not colonized
Turkmenistan,TKM,1902,zzz. Not colonized
Tuvalu,TUV,1902,United Kingdom
Uganda,UGA,1902,United Kingdom
United Arab Emirates,ARE,1902,United Kingdom
United Kingdom,GBR,1902,zz. Colonizer
United States,USA,1902,zzzz. No longer colonized
Uruguay,URY,1902,zzzz. No longer colonized
Uzbekistan,UZB,1902,zzz. Not colonized
Vanuatu,VUT,1902,France
Venezuela,VEN,1902,zzzz. No longer colonized
Vietnam,VNM,1902,France
Yemen,YEM,1902,zzz. Not colonized
Zambia,ZMB,1902,zzz. Not colonized
Zimbabwe,ZWE,1902,zzz. Not colonized
