Entity,Code,Year,colonizer_grouped
Afghanistan,AFG,1896,zzz. Not colonized
Algeria,DZA,1896,France
Angola,AGO,1896,Portugal
Antigua and Barbuda,ATG,1896,United Kingdom
Argentina,ARG,1896,zzzz. No longer colonized
Armenia,ARM,1896,zzz. Not colonized
Australia,AUS,1896,United Kingdom
Azerbaijan,AZE,1896,zzz. Not colonized
Bahamas,BHS,1896,United Kingdom
Bahrain,BHR,1896,United Kingdom
Bangladesh,BGD,1896,United Kingdom
Barbados,BRB,1896,United Kingdom
Belgium,BEL,1896,zz. Colonizer
Belize,BLZ,1896,United Kingdom
Benin,BEN,1896,France
Bhutan,BTN,1896,zzz. Not colonized
Bolivia,BOL,1896,zzzz. No longer colonized
Botswana,BWA,1896,United Kingdom
Brazil,BRA,1896,zzzz. No longer colonized
Brunei,BRN,1896,United Kingdom
Burkina Faso,BFA,1896,France
Burundi,BDI,1896,zzz. Not colonized
Cambodia,KHM,1896,France
Cameroon,CMR,1896,Germany
Canada,CAN,1896,United Kingdom
Cape Verde,CPV,1896,Portugal
Central African Republic,CAF,1896,zzz. Not colonized
Chad,TCD,1896,zzz. Not colonized
Chile,CHL,1896,zzzz. No longer colonized
China,CHN,1896,zzz. Not colonized
Colombia,COL,1896,zzzz. No longer colonized
Comoros,COM,1896,zzz. Not colonized
Congo,COG,1896,France
Costa Rica,CRI,1896,zzzz. No longer colonized
Cote d'Ivoire,CIV,1896,France
Cuba,CUB,1896,Spain
Democratic Republic of Congo,COD,1896,Belgium
Djibouti,DJI,1896,France
Dominica,DMA,1896,United Kingdom
Dominican Republic,DOM,1896,zzzz. No longer colonized
East Timor,TLS,1896,Portugal
Ecuador,ECU,1896,zzzz. No longer colonized
Egypt,EGY,1896,United Kingdom
El Salvador,SLV,1896,zzzz. No longer colonized
Equatorial Guinea,GNQ,1896,Spain
Eritrea,ERI,1896,Italy
Eswatini,SWZ,1896,zzz. Not colonized
Ethiopia,ETH,1896,zzz. Not colonized
Fiji,FJI,1896,United Kingdom
France,FRA,1896,zz. Colonizer
Gabon,GAB,1896,France
Gambia,GMB,1896,United Kingdom
Georgia,GEO,1896,zzz. Not colonized
Germany,DEU,1896,zz. Colonizer
Ghana,GHA,1896,z. Multiple colonizers
Grenada,GRD,1896,United Kingdom
Guatemala,GTM,1896,zzzz. No longer colonized
Guinea,GIN,1896,France
Guinea-Bissau,GNB,1896,Portugal
Guyana,GUY,1896,United Kingdom
Haiti,HTI,1896,zzzz. No longer colonized
Honduras,HND,1896,zzzz. No longer colonized
India,IND,1896,United Kingdom
Indonesia,IDN,1896,Netherlands
Iran,IRN,1896,zzz. Not colonized
Iraq,IRQ,1896,zzz. Not colonized
Israel,ISR,1896,zzz. Not colonized
Italy,ITA,1896,zz. Colonizer
Jamaica,JAM,1896,United Kingdom
Japan,JPN,1896,zzz. Not colonized
Jordan,JOR,1896,zzz. Not colonized
Kazakhstan,KAZ,1896,zzz. Not colonized
Kenya,KEN,1896,United Kingdom
Kiribati,KIR,1896,United Kingdom
Kuwait,KWT,1896,zzz. Not colonized
Kyrgyzstan,KGZ,1896,zzz. Not colonized
Laos,LAO,1896,France
Lebanon,LBN,1896,zzz. Not colonized
Lesotho,LSO,1896,United Kingdom
Liberia,LBR,1896,zzz. Not colonized
Libya,LBY,1896,zzz. Not colonized
Madagascar,MDG,1896,France
Malawi,MWI,1896,United Kingdom
Malaysia,MYS,1896,United Kingdom
Maldives,MDV,1896,United Kingdom
Mali,MLI,1896,zzz. Not colonized
