Entity,Code,Year,colonizer_grouped
Afghanistan,AFG,1988,zzz. Not colonized
Algeria,DZA,1988,zzzz. No longer colonized
Angola,AGO,1988,zzzz. No longer colonized
Antigua and Barbuda,ATG,1988,zzzz. No longer colonized
Argentina,ARG,1988,zzzz. No longer colonized
Armenia,ARM,1988,zzz. Not colonized
Australia,AUS,1988,zzzz. No longer colonized
Azerbaijan,AZE,1988,zzz. Not colonized
Bahamas,BHS,1988,zzzz. No longer colonized
Bahrain,BHR,1988,zzzz. No longer colonized
Bangladesh,BGD,1988,zzzz. No longer colonized
Barbados,BRB,1988,zzzz. No longer colonized
Belgium,BEL,1988,zz. Colonizer
Belize,BLZ,1988,zzzz. No longer colonized
Benin,BEN,1988,zzzz. No longer colonized
Bhutan,BTN,1988,zzzz. No longer colonized
Bolivia,BOL,1988,zzzz. No longer colonized
Botswana,BWA,1988,zzzz. No longer colonized
Brazil,BRA,1988,zzzz. No longer colonized
Brunei,BRN,1988,zzzz. No longer colonized
Burkina Faso,BFA,1988,zzzz. No longer colonized
Burundi,BDI,1988,zzzz. No longer colonized
Cambodia,KHM,1988,zzzz. No longer colonized
Cameroon,CMR,1988,zzzz. No longer colonized
Canada,CAN,1988,zzzz. No longer colonized
Cape Verde,CPV,1988,zzzz. No longer colonized
Central African Republic,CAF,1988,zzzz. No longer colonized
Chad,TCD,1988,zzzz. No longer colonized
Chile,CHL,1988,zzzz. No longer colonized
China,CHN,1988,zzz. Not colonized
Colombia,COL,1988,zzzz. No longer colonized
Comoros,COM,1988,zzzz. No longer colonized
Congo,COG,1988,zzzz. No longer colonized
Costa Rica,CRI,1988,zzzz. No longer colonized
Cote d'Ivoire,CIV,1988,zzzz. No longer colonized
Cuba,CUB,1988,zzzz. No longer colonized
Cyprus,CYP,1988,zzzz. No longer colonized
Democratic Republic of Congo,COD,1988,zzzz. No longer colonized
Djibouti,DJI,1988,zzzz. No longer colonized
Dominica,DMA,1988,zzzz. No longer colonized
Dominican Republic,DOM,1988,zzzz. No longer colonized
East Timor,TLS,1988,zzzz. No longer colonized
Ecuador,ECU,1988,zzzz. No longer colonized
Egypt,EGY,1988,zzzz. No longer colonized
El Salvador,SLV,1988,zzzz. No longer colonized
Equatorial Guinea,GNQ,1988,zzzz. No longer colonized
Eritrea,ERI,1988,zzzz. No longer colonized
Eswatini,SWZ,1988,zzzz. No longer colonized
Ethiopia,ETH,1988,zzz. Not colonized
Fiji,FJI,1988,zzzz. No longer colonized
France,FRA,1988,zz. Colonizer
Gabon,GAB,1988,zzzz. No longer colonized
Gambia,GMB,1988,zzzz. No longer colonized
Georgia,GEO,1988,zzz. Not colonized
Germany,DEU,1988,zz. Colonizer
Ghana,GHA,1988,zzzz. No longer colonized
Grenada,GRD,1988,zzzz. No longer colonized
Guatemala,GTM,1988,zzzz. No longer colonized
Guinea,GIN,1988,zzzz. No longer colonized
Guinea-Bissau,GNB,1988,zzzz. No longer colonized
Guyana,GUY,1988,zzzz. No longer colonized
Haiti,HTI,1988,zzzz. No longer colonized
Honduras,HND,1988,zzzz. No longer colonized
India,IND,1988,zzzz. No longer colonized
Indonesia,IDN,1988,zzzz. No longer colonized
Iran,IRN,1988,zzz. Not colonized
Iraq,IRQ,1988,zzzz. No longer colonized
Israel,ISR,1988,zzzz. No longer colonized
Italy,ITA,1988,zz. Colonizer
Jamaica,JAM,1988,zzzz. No longer colonized
Japan,JPN,1988,zzz. Not colonized
Jordan,JOR,1988,zzzz. No longer colonized
Kazakhstan,KAZ,1988,zzz. Not colonized
Kenya,KEN,1988,zzzz. No longer colonized
Kiribati,KIR,1988,zzzz. No longer colonized
Kuwait,KWT,1988,zzzz. No longer colonized
Kyrgyzstan,KGZ,1988,zzz. Not colonized
Laos,LAO,1988,zzzz. No longer colonized
Lebanon,LBN,1988,zzzz. No longer colonized
Lesotho,LSO,1988,zzzz. No longer colonized
Liberia,LBR,1988,zzz. Not colonized
Libya,LBY,1988,zzzz. No longer colonized
Madagascar,MDG,1988,zzzz. No longer colonized
Malawi,MWI,1988,zzzz. No longer colonized
Malaysia,MYS,1988,zzzz. No longer colonized
Maldives,MDV,1988,zzzz. No longer colonized
Mali,MLI,1988,zzzz. No longer colonized
Marshall Islands,MHL,1988,zzzz. No longer colonized
Mauritania,MRT,1988,zzzz. No longer colonized
Mauritius,MUS,1988,zzzz. No longer colonized
Mexico,MEX,1988,zzzz. No longer colonized
Micronesia (country),FSM,1988,zzzz. No longer colonized
Mongolia,MNG,1988,zzz. Not colonized
Morocco,MAR,1988,zzzz. No longer colonized
Mozambique,MOZ,1988,zzzz. No longer colonized
Myanmar,MMR,1988,zzzz. No longer colonized
Namibia,NAM,1988,zzzz. No longer colonized
Nauru,NRU,1988,zzzz. No longer colonized
Nepal,NPL,1988,zzz. Not colonized
Netherlands,NLD,1988,zz. Colonizer
New Zealand,NZL,1988,zzzz. No longer colonized
Nicaragua,NIC,1988,zzzz. No longer colonized
Niger,NER,1988,zzzz. No longer colonized
Nigeria,NGA,1988,zzzz. No longer colonized
North Korea,PRK,1988,zzz. Not colonized
Oman,OMN,1988,zzz. Not colonized
Pakistan,PAK,1988,zzzz. No longer colonized
Palau,PLW,1988,zzzz. No longer colonized
Panama,PAN,1988,zzzz. No longer colonized
Papua New Guinea,PNG,1988,zzzz. No longer colonized
Paraguay,PRY,1988,zzzz. No longer colonized
Peru,PER,1988,zzzz. No longer colonized
Philippines,PHL,1988,zzzz. No longer colonized
Portugal,PRT,1988,zz. Colonizer
Qatar,QAT,1988,zzzz. No longer colonized
Rwanda,RWA,1988,zzzz. No longer colonized
Saint Kitts and Nevis,KNA,1988,zzzz. No longer colonized
Saint Lucia,LCA,1988,zzzz. No longer colonized
Saint Vincent and the Grenadines,VCT,1988,zzzz. No longer colonized
Samoa,WSM,1988,zzzz. No longer colonized
Sao Tome and Principe,STP,1988,zzzz. No longer colonized
Saudi Arabia,SAU,1988,zzz. Not colonized
Senegal,SEN,1988,zzzz. No longer colonized
Seychelles,SYC,1988,zzzz. No longer colonized
Sierra Leone,SLE,1988,zzzz. No longer colonized
Singapore,SGP,1988,zzzz. No longer colonized
Solomon Islands,SLB,1988,zzzz. No longer colonized
Somalia,SOM,1988,zzzz. No longer colonized
South Africa,ZAF,1988,zzzz. No longer colonized
South Korea,KOR,1988,zzz. Not colonized
South Sudan,SSD,1988,zzz. Not colonized
Spain,ESP,1988,zz. Colonizer
Sri Lanka,LKA,1988,zzzz. No longer colonized
Sudan,SDN,1988,zzzz. No longer colonized
Suriname,SUR,1988,zzzz. No longer colonized
Syria,SYR,1988,zzzz. No longer colonized
Taiwan,TWN,1988,zzz. Not colonized
Tajikistan,TJK,1988,zzz. Not colonized
Tanzania,TZA,1988,zzzz. No longer colonized
Thailand,THA,1988,zzz. Not colonized
Togo,TGO,1988,zzzz. No longer colonized
Tonga,TON,1988,zzzz. No longer colonized
Trinidad and Tobago,TTO,1988,zzzz. No longer colonized
Tunisia,TUN,1988,zzzz. No longer colonized
Turkey,TUR,1988,zzz. Not colonized
Turkmenistan,TKM,1988,zzz. Not colonized
Tuvalu,TUV,1988,zzzz. No longer colonized
Uganda,UGA,1988,zzzz. No longer colonized
United Arab Emirates,ARE,1988,zzzz. No longer colonized
United Kingdom,GBR,1988,zz. Colonizer
United States,USA,1988,zzzz. No longer colonized
Uruguay,URY,1988,zzzz. No longer colonized
Uzbekistan,UZB,1988,zzz. Not colonized
Vanuatu,VUT,1988,zzzz. No longer colonized
Venezuela,VEN,1988,zzzz. No longer colonized
Vietnam,VNM,1988,zzzz. No longer colonized
Yemen,YEM,1988,zzzz. No longer colonized
Zambia,ZMB,1988,zzzz. No longer colonized
Zimbabwe,ZWE,1988,zzzz. No longer colonized
