Entity,Code,Year,colonizer_grouped
Afghanistan,AFG,1690,zzz. Not colonized
Algeria,DZA,1690,zzz. Not colonized
Angola,AGO,1690,Portugal
Antigua and Barbuda,ATG,1690,United Kingdom
Argentina,ARG,1690,Spain
Armenia,ARM,1690,zzz. Not colonized
Australia,AUS,1690,zzz. Not colonized
Azerbaijan,AZE,1690,zzz. Not colonized
Bahamas,BHS,1690,zzz. Not colonized
Bahrain,BHR,1690,zzz. Not colonized
Bangladesh,BGD,1690,zzz. Not colonized
Barbados,BRB,1690,United Kingdom
Belgium,BEL,1690,zz. Colonizer
Belize,BLZ,1690,Spain
Benin,BEN,1690,zzz. Not colonized
Bhutan,BTN,1690,zzz. Not colonized
Bolivia,BOL,1690,Spain
Botswana,BWA,1690,zzz. Not colonized
Brazil,BRA,1690,Portugal
Brunei,BRN,1690,zzz. Not colonized
Burkina Faso,BFA,1690,zzz. Not colonized
Burundi,BDI,1690,zzz. Not colonized
Cambodia,KHM,1690,zzz. Not colonized
Cameroon,CMR,1690,zzz. Not colonized
Canada,CAN,1690,France
Cape Verde,CPV,1690,Portugal
Central African Republic,CAF,1690,zzz. Not colonized
Chad,TCD,1690,zzz. Not colonized
Chile,CHL,1690,Spain
China,CHN,1690,zzz. Not colonized
Colombia,COL,1690,Spain
Comoros,COM,1690,zzz. Not colonized
Congo,COG,1690,zzz. Not colonized
Costa Rica,CRI,1690,Spain
Cote d'Ivoire,CIV,1690,zzz. Not colonized
Cuba,CUB,1690,Spain
Democratic Republic of Congo,COD,1690,zzz. Not colonized
Djibouti,DJI,1690,zzz. Not colonized
Dominica,DMA,1690,France
Dominican Republic,DOM,1690,Spain
East Timor,TLS,1690,Portugal
Ecuador,ECU,1690,Spain
Egypt,EGY,1690,zzz. Not colonized
El Salvador,SLV,1690,Spain
Equatorial Guinea,GNQ,1690,zzz. Not colonized
Eritrea,ERI,1690,zzz. Not colonized
Eswatini,SWZ,1690,zzz. Not colonized
Ethiopia,ETH,1690,zzz. Not colonized
Fiji,FJI,1690,zzz. Not colonized
France,FRA,1690,zz. Colonizer
Gabon,GAB,1690,zzz. Not colonized
Gambia,GMB,1690,zzz. Not colonized
Georgia,GEO,1690,zzz. Not colonized
Germany,DEU,1690,zz. Colonizer
Ghana,GHA,1690,Portugal
Grenada,GRD,1690,France
Guatemala,GTM,1690,Spain
Guinea,GIN,1690,zzz. Not colonized
Guinea-Bissau,GNB,1690,zzz. Not colonized
Guyana,GUY,1690,Netherlands
Haiti,HTI,1690,France
Honduras,HND,1690,Spain
India,IND,1690,zzz. Not colonized
Indonesia,IDN,1690,Netherlands
Iran,IRN,1690,zzz. Not colonized
Iraq,IRQ,1690,zzz. Not colonized
Israel,ISR,1690,zzz. Not colonized
Italy,ITA,1690,zz. Colonizer
Jamaica,JAM,1690,United Kingdom
Japan,JPN,1690,zzz. Not colonized
Jordan,JOR,1690,zzz. Not colonized
Kazakhstan,KAZ,1690,zzz. Not colonized
Kenya,KEN,1690,zzz. Not colonized
Kiribati,KIR,1690,zzz. Not colonized
Kuwait,KWT,1690,zzz. Not colonized
Kyrgyzstan,KGZ,1690,zzz. Not colonized
Laos,LAO,1690,zzz. Not colonized
Lebanon,LBN,1690,zzz. Not colonized
Lesotho,LSO,1690,zzz. Not colonized
Liberia,LBR,1690,zzz. Not colonized
Libya,LBY,1690,zzz. Not colonized
Madagascar,MDG,1690,zzz. Not colonized
Malawi,MWI,1690,zzz. Not colonized
Malaysia,MYS,1690,zzzz. No longer colonized
Maldives,MDV,1690,zzz. Not colonized
Mali,MLI,1690,zzz. Not colonized
Marshall Islands,MHL,1690,zzz. Not colonized
Mauritania,MRT,1690,zzz. Not colonized
Mauritius,MUS,1690,zzz. Not colonized
Mexico,MEX,1690,Spain
Micronesia (country),FSM,1690,Spain
Mongolia,MNG,1690,zzz. Not colonized
Morocco,MAR,1690,zzz. Not colonized
Mozambique,MOZ,1690,zzz. Not colonized
Myanmar,MMR,1690,zzz. Not colonized
Namibia,NAM,1690,zzz. Not colonized
