Entity,Code,Year,colonizer_grouped
Afghanistan,AFG,1960,zzz. Not colonized
Algeria,DZA,1960,France
Angola,AGO,1960,Portugal
Antigua and Barbuda,ATG,1960,United Kingdom
Argentina,ARG,1960,zzzz. No longer colonized
Armenia,ARM,1960,zzz. Not colonized
Australia,AUS,1960,zzzz. No longer colonized
Azerbaijan,AZE,1960,zzz. Not colonized
Bahamas,BHS,1960,United Kingdom
Bahrain,BHR,1960,United Kingdom
Bangladesh,BGD,1960,zzzz. No longer colonized
Barbados,BRB,1960,United Kingdom
Belgium,BEL,1960,zz. Colonizer
Belize,BLZ,1960,United Kingdom
Benin,BEN,1960,France
Bhutan,BTN,1960,zzzz. No longer colonized
Bolivia,BOL,1960,zzzz. No longer colonized
Botswana,BWA,1960,United Kingdom
Brazil,BRA,1960,zzzz. No longer colonized
Brunei,BRN,1960,United Kingdom
Burkina Faso,BFA,1960,France
Burundi,BDI,1960,Belgium
Cambodia,KHM,1960,zzzz. No longer colonized
Cameroon,CMR,1960,France
Canada,CAN,1960,zzzz. No longer colonized
Cape Verde,CPV,1960,Portugal
Central African Republic,CAF,1960,France
Chad,TCD,1960,France
Chile,CHL,1960,zzzz. No longer colonized
China,CHN,1960,zzz. Not colonized
Colombia,COL,1960,zzzz. No longer colonized
Comoros,COM,1960,France
Congo,COG,1960,France
Costa Rica,CRI,1960,zzzz. No longer colonized
Cote d'Ivoire,CIV,1960,France
Cuba,CUB,1960,zzzz. No longer colonized
Cyprus,CYP,1960,United Kingdom
Democratic Republic of Congo,COD,1960,Belgium
Djibouti,DJI,1960,France
Dominica,DMA,1960,United Kingdom
Dominican Republic,DOM,1960,zzzz. No longer colonized
East Timor,TLS,1960,Portugal
Ecuador,ECU,1960,zzzz. No longer colonized
Egypt,EGY,1960,zzzz. No longer colonized
El Salvador,SLV,1960,zzzz. No longer colonized
Equatorial Guinea,GNQ,1960,Spain
Eritrea,ERI,1960,zzzz. No longer colonized
Eswatini,SWZ,1960,United Kingdom
Ethiopia,ETH,1960,zzz. Not colonized
Fiji,FJI,1960,United Kingdom
France,FRA,1960,zz. Colonizer
Gabon,GAB,1960,France
Gambia,GMB,1960,United Kingdom
Georgia,GEO,1960,zzz. Not colonized
Germany,DEU,1960,zz. Colonizer
Ghana,GHA,1960,zzzz. No longer colonized
Grenada,GRD,1960,United Kingdom
Guatemala,GTM,1960,zzzz. No longer colonized
Guinea,GIN,1960,zzzz. No longer colonized
Guinea-Bissau,GNB,1960,Portugal
Guyana,GUY,1960,United Kingdom
Haiti,HTI,1960,zzzz. No longer colonized
Honduras,HND,1960,zzzz. No longer colonized
India,IND,1960,zzzz. No longer colonized
Indonesia,IDN,1960,Netherlands
Iran,IRN,1960,zzz. Not colonized
Iraq,IRQ,1960,zzzz. No longer colonized
Israel,ISR,1960,zzzz. No longer colonized
Italy,ITA,1960,zz. Colonizer
Jamaica,JAM,1960,United Kingdom
Japan,JPN,1960,zzz. Not colonized
Jordan,JOR,1960,zzzz. No longer colonized
Kazakhstan,KAZ,1960,zzz. Not colonized
Kenya,KEN,1960,United Kingdom
Kiribati,KIR,1960,United Kingdom
Kuwait,KWT,1960,United Kingdom
Kyrgyzstan,KGZ,1960,zzz. Not colonized
Laos,LAO,1960,zzzz. No longer colonized
Lebanon,LBN,1960,zzzz. No longer colonized
Lesotho,LSO,1960,United Kingdom
Liberia,LBR,1960,zzz. Not colonized
Libya,LBY,1960,zzzz. No longer colonized
Madagascar,MDG,1960,France
Malawi,MWI,1960,United Kingdom
Malaysia,MYS,1960,United Kingdom
Maldives,MDV,1960,United Kingdom
Mali,MLI,1960,France
Marshall Islands,MHL,1960,zzzz. No longer colonized
Mauritania,MRT,1960,France
Mauritius,MUS,1960,United Kingdom
Mexico,MEX,1960,zzzz. No longer colonized
Micronesia (country),FSM,1960,zzzz. No longer colonized
Mongolia,MNG,1960,zzz. Not colonized
Morocco,MAR,1960,Spain
Mozambique,MOZ,1960,Portugal
Myanmar,MMR,1960,zzzz. No longer colonized
Namibia,NAM,1960,zzzz. No longer colonized
Nauru,NRU,1960,United Kingdom
Nepal,NPL,1960,zzz. Not colonized
Netherlands,NLD,1960,zz. Colonizer
New Zealand,NZL,1960,zzzz. No longer colonized
Nicaragua,NIC,1960,zzzz. No longer colonized
Niger,NER,1960,France
Nigeria,NGA,1960,United Kingdom
North Korea,PRK,1960,zzz. Not colonized
Oman,OMN,1960,zzz. Not colonized
Pakistan,PAK,1960,zzzz. No longer colonized
Palau,PLW,1960,zzzz. No longer colonized
Panama,PAN,1960,zzzz. No longer colonized
Papua New Guinea,PNG,1960,zzzz. No longer colonized
Paraguay,PRY,1960,zzzz. No longer colonized
Peru,PER,1960,zzzz. No longer colonized
Philippines,PHL,1960,zzzz. No longer colonized
Portugal,PRT,1960,zz. Colonizer
Qatar,QAT,1960,United Kingdom
Rwanda,RWA,1960,Belgium
Saint Kitts and Nevis,KNA,1960,United Kingdom
