Entity,Code,Year,colonizer_grouped
Afghanistan,AFG,1920,zzz. Not colonized
Algeria,DZA,1920,France
Angola,AGO,1920,Portugal
Antigua and Barbuda,ATG,1920,United Kingdom
Argentina,ARG,1920,zzzz. No longer colonized
Armenia,ARM,1920,zzz. Not colonized
Australia,AUS,1920,zzzz. No longer colonized
Azerbaijan,AZE,1920,zzz. Not colonized
Bahamas,BHS,1920,United Kingdom
Bahrain,BHR,1920,United Kingdom
Bangladesh,BGD,1920,United Kingdom
Barbados,BRB,1920,United Kingdom
Belgium,BEL,1920,zz. Colonizer
Belize,BLZ,1920,United Kingdom
Benin,BEN,1920,France
Bhutan,BTN,1920,United Kingdom
Bolivia,BOL,1920,zzzz. No longer colonized
Botswana,BWA,1920,United Kingdom
Brazil,BRA,1920,zzzz. No longer colonized
Brunei,BRN,1920,United Kingdom
Burkina Faso,BFA,1920,France
Burundi,BDI,1920,Germany
Cambodia,KHM,1920,France
Cameroon,CMR,1920,zzzz. No longer colonized
Canada,CAN,1920,zzzz. No longer colonized
Cape Verde,CPV,1920,Portugal
Central African Republic,CAF,1920,France
Chad,TCD,1920,France
Chile,CHL,1920,zzzz. No longer colonized
China,CHN,1920,zzz. Not colonized
Colombia,COL,1920,zzzz. No longer colonized
Comoros,COM,1920,France
Congo,COG,1920,France
Costa Rica,CRI,1920,zzzz. No longer colonized
Cote d'Ivoire,CIV,1920,France
Cuba,CUB,1920,zzzz. No longer colonized
Cyprus,CYP,1920,United Kingdom
Democratic Republic of Congo,COD,1920,Belgium
Djibouti,DJI,1920,France
Dominica,DMA,1920,United Kingdom
Dominican Republic,DOM,1920,zzzz. No longer colonized
East Timor,TLS,1920,Portugal
Ecuador,ECU,1920,zzzz. No longer colonized
Egypt,EGY,1920,United Kingdom
El Salvador,SLV,1920,zzzz. No longer colonized
Equatorial Guinea,GNQ,1920,Spain
Eritrea,ERI,1920,Italy
Eswatini,SWZ,1920,United Kingdom
Ethiopia,ETH,1920,zzz. Not colonized
Fiji,FJI,1920,United Kingdom
France,FRA,1920,zz. Colonizer
Gabon,GAB,1920,France
Gambia,GMB,1920,United Kingdom
Georgia,GEO,1920,zzz. Not colonized
Germany,DEU,1920,zz. Colonizer
Ghana,GHA,1920,United Kingdom
Grenada,GRD,1920,United Kingdom
Guatemala,GTM,1920,zzzz. No longer colonized
Guinea,GIN,1920,France
Guinea-Bissau,GNB,1920,Portugal
Guyana,GUY,1920,United Kingdom
Haiti,HTI,1920,zzzz. No longer colonized
Honduras,HND,1920,zzzz. No longer colonized
India,IND,1920,United Kingdom
Indonesia,IDN,1920,Netherlands
Iran,IRN,1920,zzz. Not colonized
Iraq,IRQ,1920,United Kingdom
Israel,ISR,1920,zzz. Not colonized
Italy,ITA,1920,zz. Colonizer
Jamaica,JAM,1920,United Kingdom
Japan,JPN,1920,zzz. Not colonized
Jordan,JOR,1920,zzz. Not colonized
Kazakhstan,KAZ,1920,zzz. Not colonized
Kenya,KEN,1920,United Kingdom
Kiribati,KIR,1920,United Kingdom
Kuwait,KWT,1920,United Kingdom
Kyrgyzstan,KGZ,1920,zzz. Not colonized
Laos,LAO,1920,France
Lebanon,LBN,1920,zzz. Not colonized
Lesotho,LSO,1920,United Kingdom
Liberia,LBR,1920,zzz. Not colonized
Libya,LBY,1920,Italy
Madagascar,MDG,1920,France
Malawi,MWI,1920,United Kingdom
Malaysia,MYS,1920,United Kingdom
Maldives,MDV,1920,United Kingdom
Mali,MLI,1920,France
Marshall Islands,MHL,1920,zzzz. No longer colonized
Mauritania,MRT,1920,France
Mauritius,MUS,1920,United Kingdom
Mexico,MEX,1920,zzzz. No longer colonized
Micronesia (country),FSM,1920,zzzz. No longer colonized
Mongolia,MNG,1920,zzz. Not colonized
Morocco,MAR,1920,z. Multiple colonizers
Mozambique,MOZ,1920,Portugal
Myanmar,MMR,1920,United Kingdom
Namibia,NAM,1920,United Kingdom
Nauru,NRU,1920,United Kingdom
Nepal,NPL,1920,zzz. Not colonized
Netherlands,NLD,1920,zz. Colonizer
New Zealand,NZL,1920,United Kingdom
Nicaragua,NIC,1920,zzzz. No longer colonized
Niger,NER,1920,zzz. Not colonized
Nigeria,NGA,1920,United Kingdom
North Korea,PRK,1920,zzz. Not colonized
Oman,OMN,1920,zzz. Not colonized
Pakistan,PAK,1920,United Kingdom
Palau,PLW,1920,zzzz. No longer colonized
Panama,PAN,1920,zzzz. No longer colonized
Papua New Guinea,PNG,1920,United Kingdom
Paraguay,PRY,1920,zzzz. No longer colonized
Peru,PER,1920,zzzz. No longer colonized
Philippines,PHL,1920,zzzz. No longer colonized
Portugal,PRT,1920,zz. Colonizer
Qatar,QAT,1920,United Kingdom
Rwanda,RWA,1920,zzzz. No longer colonized
Saint Kitts and Nevis,KNA,1920,United Kingdom
Saint Lucia,LCA,1920,United Kingdom
