Entity,Code,Year,colonizer_grouped
Afghanistan,AFG,1612,zzz. Not colonized
Algeria,DZA,1612,zzz. Not colonized
Angola,AGO,1612,Portugal
Antigua and Barbuda,ATG,1612,zzz. Not colonized
Argentina,ARG,1612,Spain
Armenia,ARM,1612,zzz. Not colonized
Australia,AUS,1612,zzz. Not colonized
Azerbaijan,AZE,1612,zzz. Not colonized
Bahamas,BHS,1612,zzz. Not colonized
Bahrain,BHR,1612,zzz. Not colonized
Bangladesh,BGD,1612,zzz. Not colonized
Barbados,BRB,1612,zzz. Not colonized
Belgium,BEL,1612,zz. Colonizer
Belize,BLZ,1612,Spain
Benin,BEN,1612,zzz. Not colonized
Bhutan,BTN,1612,zzz. Not colonized
Bolivia,BOL,1612,Spain
Botswana,BWA,1612,zzz. Not colonized
Brazil,BRA,1612,Portugal
Brunei,BRN,1612,zzz. Not colonized
Burkina Faso,BFA,1612,zzz. Not colonized
Burundi,BDI,1612,zzz. Not colonized
Cambodia,KHM,1612,zzz. Not colonized
Cameroon,CMR,1612,zzz. Not colonized
Canada,CAN,1612,France
Cape Verde,CPV,1612,Portugal
Central African Republic,CAF,1612,zzz. Not colonized
Chad,TCD,1612,zzz. Not colonized
Chile,CHL,1612,Spain
China,CHN,1612,zzz. Not colonized
Colombia,COL,1612,Spain
Comoros,COM,1612,zzz. Not colonized
Congo,COG,1612,zzz. Not colonized
Costa Rica,CRI,1612,Spain
Cote d'Ivoire,CIV,1612,zzz. Not colonized
Cuba,CUB,1612,Spain
Democratic Republic of Congo,COD,1612,zzz. Not colonized
Djibouti,DJI,1612,zzz. Not colonized
Dominica,DMA,1612,zzz. Not colonized
Dominican Republic,DOM,1612,Spain
East Timor,TLS,1612,zzz. Not colonized
Ecuador,ECU,1612,Spain
Egypt,EGY,1612,zzz. Not colonized
El Salvador,SLV,1612,Spain
Equatorial Guinea,GNQ,1612,zzz. Not colonized
Eritrea,ERI,1612,zzz. Not colonized
Eswatini,SWZ,1612,zzz. Not colonized
Ethiopia,ETH,1612,zzz. Not colonized
Fiji,FJI,1612,zzz. Not colonized
France,FRA,1612,zz. Colonizer
Gabon,GAB,1612,zzz. Not colonized
Gambia,GMB,1612,zzz. Not colonized
Georgia,GEO,1612,zzz. Not colonized
Germany,DEU,1612,zz. Colonizer
Ghana,GHA,1612,Portugal
Grenada,GRD,1612,zzz. Not colonized
Guatemala,GTM,1612,Spain
Guinea,GIN,1612,zzz. Not colonized
Guinea-Bissau,GNB,1612,zzz. Not colonized
Guyana,GUY,1612,Netherlands
Haiti,HTI,1612,zzz. Not colonized
Honduras,HND,1612,Spain
India,IND,1612,zzz. Not colonized
Indonesia,IDN,1612,zzz. Not colonized
Iran,IRN,1612,zzz. Not colonized
Iraq,IRQ,1612,zzz. Not colonized
Israel,ISR,1612,zzz. Not colonized
Italy,ITA,1612,zz. Colonizer
Jamaica,JAM,1612,Spain
Japan,JPN,1612,zzz. Not colonized
Jordan,JOR,1612,zzz. Not colonized
Kazakhstan,KAZ,1612,zzz. Not colonized
Kenya,KEN,1612,zzz. Not colonized
Kiribati,KIR,1612,zzz. Not colonized
Kuwait,KWT,1612,zzz. Not colonized
Kyrgyzstan,KGZ,1612,zzz. Not colonized
Laos,LAO,1612,zzz. Not colonized
Lebanon,LBN,1612,zzz. Not colonized
Lesotho,LSO,1612,zzz. Not colonized
Liberia,LBR,1612,zzz. Not colonized
Libya,LBY,1612,zzz. Not colonized
Madagascar,MDG,1612,zzz. Not colonized
Malawi,MWI,1612,zzz. Not colonized
Malaysia,MYS,1612,Portugal
Maldives,MDV,1612,zzz. Not colonized
Mali,MLI,1612,zzz. Not colonized
Marshall Islands,MHL,1612,zzz. Not colonized
Mauritania,MRT,1612,zzz. Not colonized
Mauritius,MUS,1612,zzz. Not colonized
Mexico,MEX,1612,Spain
Micronesia (country),FSM,1612,zzz. Not colonized
Mongolia,MNG,1612,zzz. Not colonized
Morocco,MAR,1612,zzz. Not colonized
Mozambique,MOZ,1612,zzz. Not colonized
Myanmar,MMR,1612,zzz. Not colonized
Namibia,NAM,1612,zzz. Not colonized
Nauru,NRU,1612,zzz. Not colonized
Nepal,NPL,1612,zzz. Not colonized
Netherlands,NLD,1612,zz. Colonizer
New Zealand,NZL,1612,zzz. Not colonized
Nicaragua,NIC,1612,Spain
Niger,NER,1612,zzz. Not colonized
Nigeria,NGA,1612,zzz. Not colonized
North Korea,PRK,1612,zzz. Not colonized
Oman,OMN,1612,zzz. Not colonized
Pakistan,PAK,1612,zzz. Not colonized
Palau,PLW,1612,zzz. Not colonized
Panama,PAN,1612,Spain
Papua New Guinea,PNG,1612,zzz. Not colonized
Paraguay,PRY,1612,Spain
Peru,PER,1612,Spain
Philippines,PHL,1612,Spain
Portugal,PRT,1612,zz. Colonizer
Qatar,QAT,1612,zzz. Not colonized
Rwanda,RWA,1612,zzz. Not colonized
Saint Kitts and Nevis,KNA,1612,zzz. Not colonized
Saint Lucia,LCA,1612,zzz. Not colonized
Saint Vincent and the Grenadines,VCT,1612,zzz. Not colonized
Samoa,WSM,1612,zzz. Not colonized
Sao Tome and Principe,STP,1612,Portugal
