Entity,Code,Year,colonizer_grouped
Afghanistan,AFG,1782,zzz. Not colonized
Algeria,DZA,1782,zzz. Not colonized
Angola,AGO,1782,Portugal
Antigua and Barbuda,ATG,1782,United Kingdom
Argentina,ARG,1782,Spain
Armenia,ARM,1782,zzz. Not colonized
Australia,AUS,1782,zzz. Not colonized
Azerbaijan,AZE,1782,zzz. Not colonized
Bahamas,BHS,1782,zzz. Not colonized
Bahrain,BHR,1782,zzz. Not colonized
Bangladesh,BGD,1782,zzz. Not colonized
Barbados,BRB,1782,United Kingdom
Belgium,BEL,1782,zz. Colonizer
Belize,BLZ,1782,Spain
Benin,BEN,1782,zzz. Not colonized
Bhutan,BTN,1782,zzz. Not colonized
Bolivia,BOL,1782,Spain
Botswana,BWA,1782,zzz. Not colonized
Brazil,BRA,1782,Portugal
Brunei,BRN,1782,zzz. Not colonized
Burkina Faso,BFA,1782,zzz. Not colonized
Burundi,BDI,1782,zzz. Not colonized
Cambodia,KHM,1782,zzz. Not colonized
Cameroon,CMR,1782,zzz. Not colonized
Canada,CAN,1782,United Kingdom
Cape Verde,CPV,1782,Portugal
Central African Republic,CAF,1782,zzz. Not colonized
Chad,TCD,1782,zzz. Not colonized
Chile,CHL,1782,Spain
China,CHN,1782,zzz. Not colonized
Colombia,COL,1782,Spain
Comoros,COM,1782,zzz. Not colonized
Congo,COG,1782,zzz. Not colonized
Costa Rica,CRI,1782,Spain
Cote d'Ivoire,CIV,1782,zzz. Not colonized
Cuba,CUB,1782,Spain
Democratic Republic of Congo,COD,1782,zzz. Not colonized
Djibouti,DJI,1782,zzz. Not colonized
Dominica,DMA,1782,zzzz. No longer colonized
Dominican Republic,DOM,1782,Spain
East Timor,TLS,1782,Portugal
Ecuador,ECU,1782,Spain
Egypt,EGY,1782,zzz. Not colonized
El Salvador,SLV,1782,Spain
Equatorial Guinea,GNQ,1782,zzzz. No longer colonized
Eritrea,ERI,1782,zzz. Not colonized
Eswatini,SWZ,1782,zzz. Not colonized
Ethiopia,ETH,1782,zzz. Not colonized
Fiji,FJI,1782,zzz. Not colonized
France,FRA,1782,zz. Colonizer
Gabon,GAB,1782,zzz. Not colonized
Gambia,GMB,1782,zzz. Not colonized
Georgia,GEO,1782,zzz. Not colonized
Germany,DEU,1782,zz. Colonizer
Ghana,GHA,1782,Portugal
Grenada,GRD,1782,United Kingdom
Guatemala,GTM,1782,Spain
Guinea,GIN,1782,zzz. Not colonized
Guinea-Bissau,GNB,1782,zzz. Not colonized
Guyana,GUY,1782,Netherlands
Haiti,HTI,1782,France
Honduras,HND,1782,Spain
India,IND,1782,zzz. Not colonized
Indonesia,IDN,1782,Netherlands
Iran,IRN,1782,zzz. Not colonized
Iraq,IRQ,1782,zzz. Not colonized
Israel,ISR,1782,zzz. Not colonized
Italy,ITA,1782,zz. Colonizer
Jamaica,JAM,1782,United Kingdom
Japan,JPN,1782,zzz. Not colonized
Jordan,JOR,1782,zzz. Not colonized
Kazakhstan,KAZ,1782,zzz. Not colonized
Kenya,KEN,1782,zzz. Not colonized
Kiribati,KIR,1782,zzz. Not colonized
Kuwait,KWT,1782,zzz. Not colonized
Kyrgyzstan,KGZ,1782,zzz. Not colonized
Laos,LAO,1782,zzz. Not colonized
Lebanon,LBN,1782,zzz. Not colonized
Lesotho,LSO,1782,zzz. Not colonized
Liberia,LBR,1782,zzz. Not colonized
Libya,LBY,1782,zzz. Not colonized
Madagascar,MDG,1782,zzz. Not colonized
Malawi,MWI,1782,zzz. Not colonized
Malaysia,MYS,1782,zzzz. No longer colonized
Maldives,MDV,1782,zzz. Not colonized
Mali,MLI,1782,zzz. Not colonized
Marshall Islands,MHL,1782,zzz. Not colonized
Mauritania,MRT,1782,zzz. Not colonized
Mauritius,MUS,1782,France
Mexico,MEX,1782,Spain
Micronesia (country),FSM,1782,Spain
Mongolia,MNG,1782,zzz. Not colonized
Morocco,MAR,1782,zzz. Not colonized
Mozambique,MOZ,1782,zzz. Not colonized
Myanmar,MMR,1782,zzz. Not colonized
Namibia,NAM,1782,zzz. Not colonized
Nauru,NRU,1782,zzz. Not colonized
Nepal,NPL,1782,zzz. Not colonized
Netherlands,NLD,1782,zz. Colonizer
New Zealand,NZL,1782,zzz. Not colonized
Nicaragua,NIC,1782,Spain
Niger,NER,1782,zzz. Not colonized
Nigeria,NGA,1782,zzz. Not colonized
North Korea,PRK,1782,zzz. Not colonized
Oman,OMN,1782,zzz. Not colonized
Pakistan,PAK,1782,zzz. Not colonized
Palau,PLW,1782,zzz. Not colonized
Panama,PAN,1782,Spain
Papua New Guinea,PNG,1782,zzz. Not colonized
Paraguay,PRY,1782,Spain
Peru,PER,1782,Spain
Philippines,PHL,1782,Spain
Portugal,PRT,1782,zz. Colonizer
Qatar,QAT,1782,zzz. Not colonized
Rwanda,RWA,1782,zzz. Not colonized
Saint Kitts and Nevis,KNA,1782,United Kingdom
Saint Lucia,LCA,1782,France
Saint Vincent and the Grenadines,VCT,1782,United Kingdom
