Entity,Code,Year,colonizer_grouped
Afghanistan,AFG,1698,zzz. Not colonized
Algeria,DZA,1698,zzz. Not colonized
Angola,AGO,1698,Portugal
Antigua and Barbuda,ATG,1698,United Kingdom
Argentina,ARG,1698,Spain
Armenia,ARM,1698,zzz. Not colonized
Australia,AUS,1698,zzz. Not colonized
Azerbaijan,AZE,1698,zzz. Not colonized
Bahamas,BHS,1698,zzz. Not colonized
Bahrain,BHR,1698,zzz. Not colonized
Bangladesh,BGD,1698,zzz. Not colonized
Barbados,BRB,1698,United Kingdom
Belgium,BEL,1698,zz. Colonizer
Belize,BLZ,1698,Spain
Benin,BEN,1698,zzz. Not colonized
Bhutan,BTN,1698,zzz. Not colonized
Bolivia,BOL,1698,Spain
Botswana,BWA,1698,zzz. Not colonized
Brazil,BRA,1698,Portugal
Brunei,BRN,1698,zzz. Not colonized
Burkina Faso,BFA,1698,zzz. Not colonized
Burundi,BDI,1698,zzz. Not colonized
Cambodia,KHM,1698,zzz. Not colonized
Cameroon,CMR,1698,zzz. Not colonized
Canada,CAN,1698,France
Cape Verde,CPV,1698,Portugal
Central African Republic,CAF,1698,zzz. Not colonized
Chad,TCD,1698,zzz. Not colonized
Chile,CHL,1698,Spain
China,CHN,1698,zzz. Not colonized
Colombia,COL,1698,Spain
Comoros,COM,1698,zzz. Not colonized
Congo,COG,1698,zzz. Not colonized
Costa Rica,CRI,1698,Spain
Cote d'Ivoire,CIV,1698,zzz. Not colonized
Cuba,CUB,1698,Spain
Democratic Republic of Congo,COD,1698,zzz. Not colonized
Djibouti,DJI,1698,zzz. Not colonized
Dominica,DMA,1698,France
Dominican Republic,DOM,1698,Spain
East Timor,TLS,1698,Portugal
Ecuador,ECU,1698,Spain
Egypt,EGY,1698,zzz. Not colonized
El Salvador,SLV,1698,Spain
Equatorial Guinea,GNQ,1698,zzz. Not colonized
Eritrea,ERI,1698,zzz. Not colonized
Eswatini,SWZ,1698,zzz. Not colonized
Ethiopia,ETH,1698,zzz. Not colonized
Fiji,FJI,1698,zzz. Not colonized
France,FRA,1698,zz. Colonizer
Gabon,GAB,1698,zzz. Not colonized
Gambia,GMB,1698,zzz. Not colonized
Georgia,GEO,1698,zzz. Not colonized
Germany,DEU,1698,zz. Colonizer
Ghana,GHA,1698,Portugal
Grenada,GRD,1698,France
Guatemala,GTM,1698,Spain
Guinea,GIN,1698,zzz. Not colonized
Guinea-Bissau,GNB,1698,zzz. Not colonized
Guyana,GUY,1698,Netherlands
Haiti,HTI,1698,France
Honduras,HND,1698,Spain
India,IND,1698,zzz. Not colonized
Indonesia,IDN,1698,Netherlands
Iran,IRN,1698,zzz. Not colonized
Iraq,IRQ,1698,zzz. Not colonized
Israel,ISR,1698,zzz. Not colonized
Italy,ITA,1698,zz. Colonizer
Jamaica,JAM,1698,United Kingdom
Japan,JPN,1698,zzz. Not colonized
Jordan,JOR,1698,zzz. Not colonized
Kazakhstan,KAZ,1698,zzz. Not colonized
Kenya,KEN,1698,zzz. Not colonized
Kiribati,KIR,1698,zzz. Not colonized
Kuwait,KWT,1698,zzz. Not colonized
Kyrgyzstan,KGZ,1698,zzz. Not colonized
Laos,LAO,1698,zzz. Not colonized
Lebanon,LBN,1698,zzz. Not colonized
Lesotho,LSO,1698,zzz. Not colonized
Liberia,LBR,1698,zzz. Not colonized
Libya,LBY,1698,zzz. Not colonized
Madagascar,MDG,1698,zzz. Not colonized
Malawi,MWI,1698,zzz. Not colonized
Malaysia,MYS,1698,zzzz. No longer colonized
Maldives,MDV,1698,zzz. Not colonized
Mali,MLI,1698,zzz. Not colonized
Marshall Islands,MHL,1698,zzz. Not colonized
Mauritania,MRT,1698,zzz. Not colonized
Mauritius,MUS,1698,zzz. Not colonized
Mexico,MEX,1698,Spain
Micronesia (country),FSM,1698,Spain
Mongolia,MNG,1698,zzz. Not colonized
Morocco,MAR,1698,zzz. Not colonized
Mozambique,MOZ,1698,zzz. Not colonized
Myanmar,MMR,1698,zzz. Not colonized
Namibia,NAM,1698,zzz. Not colonized
Nauru,NRU,1698,zzz. Not colonized
Nepal,NPL,1698,zzz. Not colonized
Netherlands,NLD,1698,zz. Colonizer
New Zealand,NZL,1698,zzz. Not colonized
Nicaragua,NIC,1698,Spain
Niger,NER,1698,zzz. Not colonized
Nigeria,NGA,1698,zzz. Not colonized
North Korea,PRK,1698,zzz. Not colonized
Oman,OMN,1698,zzz. Not colonized
Pakistan,PAK,1698,zzz. Not colonized
Palau,PLW,1698,zzz. Not colonized
Panama,PAN,1698,Spain
Papua New Guinea,PNG,1698,zzz. Not colonized
Paraguay,PRY,1698,Spain
Peru,PER,1698,Spain
Philippines,PHL,1698,Spain
Portugal,PRT,1698,zz. Colonizer
Qatar,QAT,1698,zzz. Not colonized
Rwanda,RWA,1698,zzz. Not colonized
Saint Kitts and Nevis,KNA,1698,United Kingdom
Saint Lucia,LCA,1698,France
Saint Vincent and the Grenadines,VCT,1698,zzz. Not colonized
Samoa,WSM,1698,zzz. Not colonized
Sao Tome and Principe,STP,1698,Portugal
Saudi Arabia,SAU,1698,zzz. Not colonized
Senegal,SEN,1698,United Kingdom
Seychelles,SYC,1698,zzz. Not colonized
Sierra Leone,SLE,1698,zzz. Not colonized
Singapore,SGP,1698,zzz. Not colonized
Solomon Islands,SLB,1698,zzz. Not colonized
Somalia,SOM,1698,zzz. Not colonized
South Africa,ZAF,1698,Netherlands
South Korea,KOR,1698,zzz. Not colonized
South Sudan,SSD,1698,zzz. Not colonized
Spain,ESP,1698,zz. Colonizer
Sri Lanka,LKA,1698,zzzz. No longer colonized
Sudan,SDN,1698,zzz. Not colonized
Suriname,SUR,1698,Netherlands
Syria,SYR,1698,zzz. Not colonized
Taiwan,TWN,1698,zzz. Not colonized
Tajikistan,TJK,1698,zzz. Not colonized
Tanzania,TZA,1698,zzz. Not colonized
Thailand,THA,1698,zzz. Not colonized
Togo,TGO,1698,zzz. Not colonized
Tonga,TON,1698,zzz. Not colonized
Trinidad and Tobago,TTO,1698,Spain
Tunisia,TUN,1698,zzz. Not colonized
Turkey,TUR,1698,zzz. Not colonized
Turkmenistan,TKM,1698,zzz. Not colonized
Tuvalu,TUV,1698,zzz. Not colonized
Uganda,UGA,1698,zzz. Not colonized
United Arab Emirates,ARE,1698,zzz. Not colonized
United Kingdom,GBR,1698,zz. Colonizer
United States,USA,1698,United Kingdom
Uruguay,URY,1698,z. Multiple colonizers
Uzbekistan,UZB,1698,zzz. Not colonized
Vanuatu,VUT,1698,zzz. Not colonized
Venezuela,VEN,1698,Spain
Vietnam,VNM,1698,zzz. Not colonized
Yemen,YEM,1698,zzz. Not colonized
Zambia,ZMB,1698,zzz. Not colonized
Zimbabwe,ZWE,1698,zzz. Not colonized
