Entity,Code,Year,colonizer_grouped
Afghanistan,AFG,1795,zzz. Not colonized
Algeria,DZA,1795,zzz. Not colonized
Angola,AGO,1795,Portugal
Antigua and Barbuda,ATG,1795,United Kingdom
Argentina,ARG,1795,Spain
Armenia,ARM,1795,zzz. Not colonized
Australia,AUS,1795,zzz. Not colonized
Azerbaijan,AZE,1795,zzz. Not colonized
Bahamas,BHS,1795,United Kingdom
Bahrain,BHR,1795,zzz. Not colonized
Bangladesh,BGD,1795,zzz. Not colonized
Barbados,BRB,1795,United Kingdom
Belgium,BEL,1795,zz. Colonizer
Belize,BLZ,1795,Spain
Benin,BEN,1795,zzz. Not colonized
Bhutan,BTN,1795,zzz. Not colonized
Bolivia,BOL,1795,Spain
Botswana,BWA,1795,zzz. Not colonized
Brazil,BRA,1795,Portugal
Brunei,BRN,1795,zzz. Not colonized
Burkina Faso,BFA,1795,zzz. Not colonized
Burundi,BDI,1795,zzz. Not colonized
Cambodia,KHM,1795,zzz. Not colonized
Cameroon,CMR,1795,zzz. Not colonized
Canada,CAN,1795,United Kingdom
Cape Verde,CPV,1795,Portugal
Central African Republic,CAF,1795,zzz. Not colonized
Chad,TCD,1795,zzz. Not colonized
Chile,CHL,1795,Spain
China,CHN,1795,zzz. Not colonized
Colombia,COL,1795,Spain
Comoros,COM,1795,zzz. Not colonized
Congo,COG,1795,zzz. Not colonized
Costa Rica,CRI,1795,Spain
Cote d'Ivoire,CIV,1795,zzz. Not colonized
Cuba,CUB,1795,Spain
Democratic Republic of Congo,COD,1795,zzz. Not colonized
Djibouti,DJI,1795,zzz. Not colonized
Dominica,DMA,1795,zzzz. No longer colonized
Dominican Republic,DOM,1795,Spain
East Timor,TLS,1795,Portugal
Ecuador,ECU,1795,Spain
Egypt,EGY,1795,zzz. Not colonized
El Salvador,SLV,1795,Spain
Equatorial Guinea,GNQ,1795,zzzz. No longer colonized
Eritrea,ERI,1795,zzz. Not colonized
Eswatini,SWZ,1795,zzz. Not colonized
Ethiopia,ETH,1795,zzz. Not colonized
Fiji,FJI,1795,zzz. Not colonized
France,FRA,1795,zz. Colonizer
Gabon,GAB,1795,zzz. Not colonized
Gambia,GMB,1795,zzz. Not colonized
Georgia,GEO,1795,zzz. Not colonized
Germany,DEU,1795,zz. Colonizer
Ghana,GHA,1795,Portugal
Grenada,GRD,1795,United Kingdom
Guatemala,GTM,1795,Spain
Guinea,GIN,1795,zzz. Not colonized
Guinea-Bissau,GNB,1795,zzz. Not colonized
Guyana,GUY,1795,Netherlands
Haiti,HTI,1795,France
Honduras,HND,1795,Spain
India,IND,1795,zzz. Not colonized
Indonesia,IDN,1795,Netherlands
Iran,IRN,1795,zzz. Not colonized
Iraq,IRQ,1795,zzz. Not colonized
Israel,ISR,1795,zzz. Not colonized
Italy,ITA,1795,zz. Colonizer
Jamaica,JAM,1795,United Kingdom
Japan,JPN,1795,zzz. Not colonized
Jordan,JOR,1795,zzz. Not colonized
Kazakhstan,KAZ,1795,zzz. Not colonized
Kenya,KEN,1795,zzz. Not colonized
Kiribati,KIR,1795,zzz. Not colonized
Kuwait,KWT,1795,zzz. Not colonized
Kyrgyzstan,KGZ,1795,zzz. Not colonized
Laos,LAO,1795,zzz. Not colonized
Lebanon,LBN,1795,zzz. Not colonized
Lesotho,LSO,1795,zzz. Not colonized
Liberia,LBR,1795,zzz. Not colonized
Libya,LBY,1795,zzz. Not colonized
Madagascar,MDG,1795,zzz. Not colonized
Malawi,MWI,1795,zzz. Not colonized
Malaysia,MYS,1795,zzzz. No longer colonized
Maldives,MDV,1795,zzz. Not colonized
Mali,MLI,1795,zzz. Not colonized
Marshall Islands,MHL,1795,zzz. Not colonized
Mauritania,MRT,1795,zzz. Not colonized
Mauritius,MUS,1795,France
Mexico,MEX,1795,Spain
Micronesia (country),FSM,1795,Spain
Mongolia,MNG,1795,zzz. Not colonized
Morocco,MAR,1795,zzz. Not colonized
Mozambique,MOZ,1795,zzz. Not colonized
Myanmar,MMR,1795,zzz. Not colonized
Namibia,NAM,1795,zzz. Not colonized
Nauru,NRU,1795,zzz. Not colonized
Nepal,NPL,1795,zzz. Not colonized
Netherlands,NLD,1795,zz. Colonizer
New Zealand,NZL,1795,zzz. Not colonized
Nicaragua,NIC,1795,Spain
Niger,NER,1795,zzz. Not colonized
Nigeria,NGA,1795,zzz. Not colonized
North Korea,PRK,1795,zzz. Not colonized
Oman,OMN,1795,zzz. Not colonized
Pakistan,PAK,1795,zzz. Not colonized
Palau,PLW,1795,zzz. Not colonized
Panama,PAN,1795,Spain
Papua New Guinea,PNG,1795,zzz. Not colonized
Paraguay,PRY,1795,Spain
Peru,PER,1795,Spain
Philippines,PHL,1795,Spain
Portugal,PRT,1795,zz. Colonizer
Qatar,QAT,1795,zzz. Not colonized
Rwanda,RWA,1795,zzz. Not colonized
Saint Kitts and Nevis,KNA,1795,United Kingdom
Saint Lucia,LCA,1795,France
Saint Vincent and the Grenadines,VCT,1795,United Kingdom
Samoa,WSM,1795,zzz. Not colonized
Sao Tome and Principe,STP,1795,Portugal
Saudi Arabia,SAU,1795,zzz. Not colonized
Senegal,SEN,1795,United Kingdom
Seychelles,SYC,1795,zzzz. No longer colonized
Sierra Leone,SLE,1795,zzz. Not colonized
Singapore,SGP,1795,zzz. Not colonized
Solomon Islands,SLB,1795,zzz. Not colonized
Somalia,SOM,1795,zzz. Not colonized
South Africa,ZAF,1795,Netherlands
South Korea,KOR,1795,zzz. Not colonized
South Sudan,SSD,1795,zzz. Not colonized
Spain,ESP,1795,zz. Colonizer
Sri Lanka,LKA,1795,zzzz. No longer colonized
Sudan,SDN,1795,zzz. Not colonized
Suriname,SUR,1795,Netherlands
Syria,SYR,1795,zzz. Not colonized
Taiwan,TWN,1795,zzz. Not colonized
Tajikistan,TJK,1795,zzz. Not colonized
Tanzania,TZA,1795,zzz. Not colonized
Thailand,THA,1795,zzz. Not colonized
Togo,TGO,1795,zzz. Not colonized
Tonga,TON,1795,zzz. Not colonized
Trinidad and Tobago,TTO,1795,Spain
Tunisia,TUN,1795,zzz. Not colonized
