Entity,Code,Year,colonizer_grouped
Afghanistan,AFG,1994,zzz. Not colonized
Algeria,DZA,1994,zzzz. No longer colonized
Angola,AGO,1994,zzzz. No longer colonized
Antigua and Barbuda,ATG,1994,zzzz. No longer colonized
Argentina,ARG,1994,zzzz. No longer colonized
Armenia,ARM,1994,zzz. Not colonized
Australia,AUS,1994,zzzz. No longer colonized
Azerbaijan,AZE,1994,zzz. Not colonized
Bahamas,BHS,1994,zzzz. No longer colonized
Bahrain,BHR,1994,zzzz. No longer colonized
Bangladesh,BGD,1994,zzzz. No longer colonized
Barbados,BRB,1994,zzzz. No longer colonized
Belgium,BEL,1994,zz. Colonizer
Belize,BLZ,1994,zzzz. No longer colonized
Benin,BEN,1994,zzzz. No longer colonized
Bhutan,BTN,1994,zzzz. No longer colonized
Bolivia,BOL,1994,zzzz. No longer colonized
Botswana,BWA,1994,zzzz. No longer colonized
Brazil,BRA,1994,zzzz. No longer colonized
Brunei,BRN,1994,zzzz. No longer colonized
Burkina Faso,BFA,1994,zzzz. No longer colonized
Burundi,BDI,1994,zzzz. No longer colonized
Cambodia,KHM,1994,zzzz. No longer colonized
Cameroon,CMR,1994,zzzz. No longer colonized
Canada,CAN,1994,zzzz. No longer colonized
Cape Verde,CPV,1994,zzzz. No longer colonized
Central African Republic,CAF,1994,zzzz. No longer colonized
Chad,TCD,1994,zzzz. No longer colonized
Chile,CHL,1994,zzzz. No longer colonized
China,CHN,1994,zzz. Not colonized
Colombia,COL,1994,zzzz. No longer colonized
Comoros,COM,1994,zzzz. No longer colonized
Congo,COG,1994,zzzz. No longer colonized
Costa Rica,CRI,1994,zzzz. No longer colonized
Cote d'Ivoire,CIV,1994,zzzz. No longer colonized
Cuba,CUB,1994,zzzz. No longer colonized
Cyprus,CYP,1994,zzzz. No longer colonized
Democratic Republic of Congo,COD,1994,zzzz. No longer colonized
Djibouti,DJI,1994,zzzz. No longer colonized
Dominica,DMA,1994,zzzz. No longer colonized
Dominican Republic,DOM,1994,zzzz. No longer colonized
East Timor,TLS,1994,zzzz. No longer colonized
Ecuador,ECU,1994,zzzz. No longer colonized
Egypt,EGY,1994,zzzz. No longer colonized
El Salvador,SLV,1994,zzzz. No longer colonized
Equatorial Guinea,GNQ,1994,zzzz. No longer colonized
Eritrea,ERI,1994,zzzz. No longer colonized
Eswatini,SWZ,1994,zzzz. No longer colonized
Ethiopia,ETH,1994,zzz. Not colonized
Fiji,FJI,1994,zzzz. No longer colonized
