Entity,Code,Year,colonizer_grouped
Afghanistan,AFG,1594,zzz. Not colonized
Algeria,DZA,1594,zzz. Not colonized
Angola,AGO,1594,Portugal
Antigua and Barbuda,ATG,1594,zzz. Not colonized
Argentina,ARG,1594,Spain
Armenia,ARM,1594,zzz. Not colonized
Australia,AUS,1594,zzz. Not colonized
Azerbaijan,AZE,1594,zzz. Not colonized
Bahamas,BHS,1594,zzz. Not colonized
Bahrain,BHR,1594,zzz. Not colonized
Bangladesh,BGD,1594,zzz. Not colonized
Barbados,BRB,1594,zzz. Not colonized
Belgium,BEL,1594,zz. Colonizer
Belize,BLZ,1594,Spain
Benin,BEN,1594,zzz. Not colonized
Bhutan,BTN,1594,zzz. Not colonized
Bolivia,BOL,1594,Spain
Botswana,BWA,1594,zzz. Not colonized
Brazil,BRA,1594,Portugal
Brunei,BRN,1594,zzz. Not colonized
Burkina Faso,BFA,1594,zzz. Not colonized
Burundi,BDI,1594,zzz. Not colonized
Cambodia,KHM,1594,zzz. Not colonized
Cameroon,CMR,1594,zzz. Not colonized
Canada,CAN,1594,zzz. Not colonized
Cape Verde,CPV,1594,Portugal
Central African Republic,CAF,1594,zzz. Not colonized
Chad,TCD,1594,zzz. Not colonized
Chile,CHL,1594,Spain
China,CHN,1594,zzz. Not colonized
Colombia,COL,1594,Spain
Comoros,COM,1594,zzz. Not colonized
Congo,COG,1594,zzz. Not colonized
Costa Rica,CRI,1594,Spain
Cote d'Ivoire,CIV,1594,zzz. Not colonized
Cuba,CUB,1594,Spain
Democratic Republic of Congo,COD,1594,zzz. Not colonized
Djibouti,DJI,1594,zzz. Not colonized
Dominica,DMA,1594,zzz. Not colonized
Dominican Republic,DOM,1594,Spain
East Timor,TLS,1594,zzz. Not colonized
Ecuador,ECU,1594,Spain
Egypt,EGY,1594,zzz. Not colonized
El Salvador,SLV,1594,Spain
Equatorial Guinea,GNQ,1594,zzz. Not colonized
Eritrea,ERI,1594,zzz. Not colonized
Eswatini,SWZ,1594,zzz. Not colonized
Ethiopia,ETH,1594,zzz. Not colonized
Fiji,FJI,1594,zzz. Not colonized
France,FRA,1594,zz. Colonizer
Gabon,GAB,1594,zzz. Not colonized
Gambia,GMB,1594,zzz. Not colonized
Georgia,GEO,1594,zzz. Not colonized
Germany,DEU,1594,zz. Colonizer
Ghana,GHA,1594,Portugal
Grenada,GRD,1594,zzz. Not colonized
Guatemala,GTM,1594,Spain
Guinea,GIN,1594,zzz. Not colonized
Guinea-Bissau,GNB,1594,zzz. Not colonized
Guyana,GUY,1594,Netherlands
Haiti,HTI,1594,zzz. Not colonized
Honduras,HND,1594,Spain
India,IND,1594,zzz. Not colonized
Indonesia,IDN,1594,zzz. Not colonized
Iran,IRN,1594,zzz. Not colonized
Iraq,IRQ,1594,zzz. Not colonized
Israel,ISR,1594,zzz. Not colonized
Italy,ITA,1594,zz. Colonizer
Jamaica,JAM,1594,Spain
Japan,JPN,1594,zzz. Not colonized
Jordan,JOR,1594,zzz. Not colonized
Kazakhstan,KAZ,1594,zzz. Not colonized
Kenya,KEN,1594,zzz. Not colonized
Kiribati,KIR,1594,zzz. Not colonized
Kuwait,KWT,1594,zzz. Not colonized
Kyrgyzstan,KGZ,1594,zzz. Not colonized
Laos,LAO,1594,zzz. Not colonized
Lebanon,LBN,1594,zzz. Not colonized
Lesotho,LSO,1594,zzz. Not colonized
Liberia,LBR,1594,zzz. Not colonized
Libya,LBY,1594,zzz. Not colonized
Madagascar,MDG,1594,zzz. Not colonized
Malawi,MWI,1594,zzz. Not colonized
Malaysia,MYS,1594,Portugal
Maldives,MDV,1594,zzz. Not colonized
Mali,MLI,1594,zzz. Not colonized
Marshall Islands,MHL,1594,zzz. Not colonized
Mauritania,MRT,1594,zzz. Not colonized
Mauritius,MUS,1594,zzz. Not colonized
Mexico,MEX,1594,Spain
Micronesia (country),FSM,1594,zzz. Not colonized
Mongolia,MNG,1594,zzz. Not colonized
Morocco,MAR,1594,zzz. Not colonized
Mozambique,MOZ,1594,zzz. Not colonized
Myanmar,MMR,1594,zzz. Not colonized
Namibia,NAM,1594,zzz. Not colonized
