Entity,Code,Year,colonizer_grouped
Afghanistan,AFG,1901,zzz. Not colonized
Algeria,DZA,1901,France
Angola,AGO,1901,Portugal
Antigua and Barbuda,ATG,1901,United Kingdom
Argentina,ARG,1901,zzzz. No longer colonized
Armenia,ARM,1901,zzz. Not colonized
Australia,AUS,1901,United Kingdom
Azerbaijan,AZE,1901,zzz. Not colonized
Bahamas,BHS,1901,United Kingdom
Bahrain,BHR,1901,United Kingdom
Bangladesh,BGD,1901,United Kingdom
Barbados,BRB,1901,United Kingdom
Belgium,BEL,1901,zz. Colonizer
Belize,BLZ,1901,United Kingdom
Benin,BEN,1901,France
Bhutan,BTN,1901,zzz. Not colonized
Bolivia,BOL,1901,zzzz. No longer colonized
Botswana,BWA,1901,United Kingdom
Brazil,BRA,1901,zzzz. No longer colonized
Brunei,BRN,1901,United Kingdom
Burkina Faso,BFA,1901,France
Burundi,BDI,1901,Germany
Cambodia,KHM,1901,France
Cameroon,CMR,1901,Germany
Canada,CAN,1901,United Kingdom
Cape Verde,CPV,1901,Portugal
Central African Republic,CAF,1901,zzz. Not colonized
Chad,TCD,1901,zzz. Not colonized
Chile,CHL,1901,zzzz. No longer colonized
China,CHN,1901,zzz. Not colonized
Colombia,COL,1901,zzzz. No longer colonized
Comoros,COM,1901,zzz. Not colonized
Congo,COG,1901,France
Costa Rica,CRI,1901,zzzz. No longer colonized
Cote d'Ivoire,CIV,1901,France
Cuba,CUB,1901,zzzz. No longer colonized
Democratic Republic of Congo,COD,1901,Belgium
Djibouti,DJI,1901,France
Dominica,DMA,1901,United Kingdom
Dominican Republic,DOM,1901,zzzz. No longer colonized
East Timor,TLS,1901,Portugal
Ecuador,ECU,1901,zzzz. No longer colonized
Egypt,EGY,1901,United Kingdom
El Salvador,SLV,1901,zzzz. No longer colonized
Equatorial Guinea,GNQ,1901,Spain
Eritrea,ERI,1901,Italy
Eswatini,SWZ,1901,zzz. Not colonized
Ethiopia,ETH,1901,zzz. Not colonized
Fiji,FJI,1901,United Kingdom
France,FRA,1901,zz. Colonizer
Gabon,GAB,1901,France
Gambia,GMB,1901,United Kingdom
Georgia,GEO,1901,zzz. Not colonized
Germany,DEU,1901,zz. Colonizer
Ghana,GHA,1901,z. Multiple colonizers
Grenada,GRD,1901,United Kingdom
Guatemala,GTM,1901,zzzz. No longer colonized
Guinea,GIN,1901,France
Guinea-Bissau,GNB,1901,Portugal
Guyana,GUY,1901,United Kingdom
Haiti,HTI,1901,zzzz. No longer colonized
Honduras,HND,1901,zzzz. No longer colonized
India,IND,1901,United Kingdom
Indonesia,IDN,1901,Netherlands
Iran,IRN,1901,zzz. Not colonized
Iraq,IRQ,1901,zzz. Not colonized
Israel,ISR,1901,zzz. Not colonized
Italy,ITA,1901,zz. Colonizer
Jamaica,JAM,1901,United Kingdom
Japan,JPN,1901,zzz. Not colonized
