Entity,Code,Year,colonizer_grouped
Afghanistan,AFG,1706,zzz. Not colonized
Algeria,DZA,1706,zzz. Not colonized
Angola,AGO,1706,Portugal
Antigua and Barbuda,ATG,1706,United Kingdom
Argentina,ARG,1706,Spain
Armenia,ARM,1706,zzz. Not colonized
Australia,AUS,1706,zzz. Not colonized
Azerbaijan,AZE,1706,zzz. Not colonized
Bahamas,BHS,1706,zzz. Not colonized
Bahrain,BHR,1706,zzz. Not colonized
Bangladesh,BGD,1706,zzz. Not colonized
Barbados,BRB,1706,United Kingdom
Belgium,BEL,1706,zz. Colonizer
Belize,BLZ,1706,Spain
Benin,BEN,1706,zzz. Not colonized
Bhutan,BTN,1706,zzz. Not colonized
Bolivia,BOL,1706,Spain
Botswana,BWA,1706,zzz. Not colonized
Brazil,BRA,1706,Portugal
Brunei,BRN,1706,zzz. Not colonized
Burkina Faso,BFA,1706,zzz. Not colonized
Burundi,BDI,1706,zzz. Not colonized
Cambodia,KHM,1706,zzz. Not colonized
Cameroon,CMR,1706,zzz. Not colonized
Canada,CAN,1706,France
Cape Verde,CPV,1706,Portugal
Central African Republic,CAF,1706,zzz. Not colonized
Chad,TCD,1706,zzz. Not colonized
Chile,CHL,1706,Spain
China,CHN,1706,zzz. Not colonized
Colombia,COL,1706,Spain
Comoros,COM,1706,zzz. Not colonized
Congo,COG,1706,zzz. Not colonized
Costa Rica,CRI,1706,Spain
Cote d'Ivoire,CIV,1706,zzz. Not colonized
Cuba,CUB,1706,Spain
Democratic Republic of Congo,COD,1706,zzz. Not colonized
Djibouti,DJI,1706,zzz. Not colonized
Dominica,DMA,1706,France
Dominican Republic,DOM,1706,Spain
East Timor,TLS,1706,Portugal
Ecuador,ECU,1706,Spain
Egypt,EGY,1706,zzz. Not colonized
El Salvador,SLV,1706,Spain
Equatorial Guinea,GNQ,1706,zzz. Not colonized
Eritrea,ERI,1706,zzz. Not colonized
Eswatini,SWZ,1706,zzz. Not colonized
Ethiopia,ETH,1706,zzz. Not colonized
Fiji,FJI,1706,zzz. Not colonized
France,FRA,1706,zz. Colonizer
Gabon,GAB,1706,zzz. Not colonized
Gambia,GMB,1706,zzz. Not colonized
Georgia,GEO,1706,zzz. Not colonized
Germany,DEU,1706,zz. Colonizer
Ghana,GHA,1706,Portugal
Grenada,GRD,1706,France
Guatemala,GTM,1706,Spain
Guinea,GIN,1706,zzz. Not colonized
Guinea-Bissau,GNB,1706,zzz. Not colonized
Guyana,GUY,1706,Netherlands
Haiti,HTI,1706,France
Honduras,HND,1706,Spain
India,IND,1706,zzz. Not colonized
Indonesia,IDN,1706,Netherlands
Iran,IRN,1706,zzz. Not colonized
Iraq,IRQ,1706,zzz. Not colonized
Israel,ISR,1706,zzz. Not colonized
Italy,ITA,1706,zz. Colonizer
Jamaica,JAM,1706,United Kingdom
Japan,JPN,1706,zzz. Not colonized
Jordan,JOR,1706,zzz. Not colonized
Kazakhstan,KAZ,1706,zzz. Not colonized
Kenya,KEN,1706,zzz. Not colonized
Kiribati,KIR,1706,zzz. Not colonized
Kuwait,KWT,1706,zzz. Not colonized
Kyrgyzstan,KGZ,1706,zzz. Not colonized
Laos,LAO,1706,zzz. Not colonized
Lebanon,LBN,1706,zzz. Not colonized
Lesotho,LSO,1706,zzz. Not colonized
Liberia,LBR,1706,zzz. Not colonized
Libya,LBY,1706,zzz. Not colonized
Madagascar,MDG,1706,zzz. Not colonized
Malawi,MWI,1706,zzz. Not colonized
Malaysia,MYS,1706,zzzz. No longer colonized
Maldives,MDV,1706,zzz. Not colonized
Mali,MLI,1706,zzz. Not colonized
Marshall Islands,MHL,1706,zzz. Not colonized
Mauritania,MRT,1706,zzz. Not colonized
Mauritius,MUS,1706,zzz. Not colonized
Mexico,MEX,1706,Spain
Micronesia (country),FSM,1706,Spain
Mongolia,MNG,1706,zzz. Not colonized
Morocco,MAR,1706,zzz. Not colonized
Mozambique,MOZ,1706,zzz. Not colonized
Myanmar,MMR,1706,zzz. Not colonized
Namibia,NAM,1706,zzz. Not colonized
Nauru,NRU,1706,zzz. Not colonized
Nepal,NPL,1706,zzz. Not colonized
Netherlands,NLD,1706,zz. Colonizer
New Zealand,NZL,1706,zzz. Not colonized
Nicaragua,NIC,1706,Spain
Niger,NER,1706,zzz. Not colonized
Nigeria,NGA,1706,zzz. Not colonized
North Korea,PRK,1706,zzz. Not colonized
Oman,OMN,1706,zzz. Not colonized
Pakistan,PAK,1706,zzz. Not colonized
Palau,PLW,1706,zzz. Not colonized
Panama,PAN,1706,Spain
Papua New Guinea,PNG,1706,zzz. Not colonized
Paraguay,PRY,1706,Spain
Peru,PER,1706,Spain
Philippines,PHL,1706,Spain
Portugal,PRT,1706,zz. Colonizer
Qatar,QAT,1706,zzz. Not colonized
Rwanda,RWA,1706,zzz. Not colonized
Saint Kitts and Nevis,KNA,1706,United Kingdom
Saint Lucia,LCA,1706,France
Saint Vincent and the Grenadines,VCT,1706,zzz. Not colonized
Samoa,WSM,1706,zzz. Not colonized
Sao Tome and Principe,STP,1706,Portugal
Saudi Arabia,SAU,1706,zzz. Not colonized
Senegal,SEN,1706,United Kingdom
Seychelles,SYC,1706,zzz. Not colonized
Sierra Leone,SLE,1706,zzz. Not colonized
Singapore,SGP,1706,zzz. Not colonized
Solomon Islands,SLB,1706,zzz. Not colonized
Somalia,SOM,1706,zzz. Not colonized
South Africa,ZAF,1706,Netherlands
South Korea,KOR,1706,zzz. Not colonized
South Sudan,SSD,1706,zzz. Not colonized
Spain,ESP,1706,zz. Colonizer
Sri Lanka,LKA,1706,zzzz. No longer colonized
Sudan,SDN,1706,zzz. Not colonized
Suriname,SUR,1706,Netherlands
Syria,SYR,1706,zzz. Not colonized
Taiwan,TWN,1706,zzz. Not colonized
Tajikistan,TJK,1706,zzz. Not colonized
Tanzania,TZA,1706,zzz. Not colonized
Thailand,THA,1706,zzz. Not colonized
Togo,TGO,1706,zzz. Not colonized
Tonga,TON,1706,zzz. Not colonized
Trinidad and Tobago,TTO,1706,Spain
Tunisia,TUN,1706,zzz. Not colonized
Turkey,TUR,1706,zzz. Not colonized
Turkmenistan,TKM,1706,zzz. Not colonized
Tuvalu,TUV,1706,zzz. Not colonized
Uganda,UGA,1706,zzz. Not colonized
United Arab Emirates,ARE,1706,zzz. Not colonized
United Kingdom,GBR,1706,zz. Colonizer
United States,USA,1706,United Kingdom
Uruguay,URY,1706,z. Multiple colonizers
Uzbekistan,UZB,1706,zzz. Not colonized
Vanuatu,VUT,1706,zzz. Not colonized
Venezuela,VEN,1706,Spain
Vietnam,VNM,1706,zzz. Not colonized
Yemen,YEM,1706,zzz. Not colonized
Zambia,ZMB,1706,zzz. Not colonized
Zimbabwe,ZWE,1706,zzz. Not colonized
