Entity,Code,Year,colonizer_grouped
Afghanistan,AFG,1599,zzz. Not colonized
Algeria,DZA,1599,zzz. Not colonized
Angola,AGO,1599,Portugal
Antigua and Barbuda,ATG,1599,zzz. Not colonized
Argentina,ARG,1599,Spain
Armenia,ARM,1599,zzz. Not colonized
Australia,AUS,1599,zzz. Not colonized
Azerbaijan,AZE,1599,zzz. Not colonized
Bahamas,BHS,1599,zzz. Not colonized
Bahrain,BHR,1599,zzz. Not colonized
Bangladesh,BGD,1599,zzz. Not colonized
Barbados,BRB,1599,zzz. Not colonized
Belgium,BEL,1599,zz. Colonizer
Belize,BLZ,1599,Spain
Benin,BEN,1599,zzz. Not colonized
Bhutan,BTN,1599,zzz. Not colonized
Bolivia,BOL,1599,Spain
Botswana,BWA,1599,zzz. Not colonized
Brazil,BRA,1599,Portugal
Brunei,BRN,1599,zzz. Not colonized
Burkina Faso,BFA,1599,zzz. Not colonized
Burundi,BDI,1599,zzz. Not colonized
Cambodia,KHM,1599,zzz. Not colonized
Cameroon,CMR,1599,zzz. Not colonized
Canada,CAN,1599,zzz. Not colonized
Cape Verde,CPV,1599,Portugal
Central African Republic,CAF,1599,zzz. Not colonized
Chad,TCD,1599,zzz. Not colonized
Chile,CHL,1599,Spain
China,CHN,1599,zzz. Not colonized
Colombia,COL,1599,Spain
Comoros,COM,1599,zzz. Not colonized
Congo,COG,1599,zzz. Not colonized
Costa Rica,CRI,1599,Spain
Cote d'Ivoire,CIV,1599,zzz. Not colonized
Cuba,CUB,1599,Spain
Democratic Republic of Congo,COD,1599,zzz. Not colonized
Djibouti,DJI,1599,zzz. Not colonized
Dominica,DMA,1599,zzz. Not colonized
Dominican Republic,DOM,1599,Spain
East Timor,TLS,1599,zzz. Not colonized
Ecuador,ECU,1599,Spain
Egypt,EGY,1599,zzz. Not colonized
El Salvador,SLV,1599,Spain
Equatorial Guinea,GNQ,1599,zzz. Not colonized
Eritrea,ERI,1599,zzz. Not colonized
Eswatini,SWZ,1599,zzz. Not colonized
Ethiopia,ETH,1599,zzz. Not colonized
Fiji,FJI,1599,zzz. Not colonized
France,FRA,1599,zz. Colonizer
Gabon,GAB,1599,zzz. Not colonized
Gambia,GMB,1599,zzz. Not colonized
Georgia,GEO,1599,zzz. Not colonized
Germany,DEU,1599,zz. Colonizer
Ghana,GHA,1599,Portugal
Grenada,GRD,1599,zzz. Not colonized
Guatemala,GTM,1599,Spain
Guinea,GIN,1599,zzz. Not colonized
Guinea-Bissau,GNB,1599,zzz. Not colonized
Guyana,GUY,1599,Netherlands
Haiti,HTI,1599,zzz. Not colonized
Honduras,HND,1599,Spain
India,IND,1599,zzz. Not colonized
Indonesia,IDN,1599,zzz. Not colonized
Iran,IRN,1599,zzz. Not colonized
Iraq,IRQ,1599,zzz. Not colonized
Israel,ISR,1599,zzz. Not colonized
Italy,ITA,1599,zz. Colonizer
Jamaica,JAM,1599,Spain
Japan,JPN,1599,zzz. Not colonized
Jordan,JOR,1599,zzz. Not colonized
Kazakhstan,KAZ,1599,zzz. Not colonized
Kenya,KEN,1599,zzz. Not colonized
Kiribati,KIR,1599,zzz. Not colonized
Kuwait,KWT,1599,zzz. Not colonized
Kyrgyzstan,KGZ,1599,zzz. Not colonized
Laos,LAO,1599,zzz. Not colonized
Lebanon,LBN,1599,zzz. Not colonized
Lesotho,LSO,1599,zzz. Not colonized
Liberia,LBR,1599,zzz. Not colonized
Libya,LBY,1599,zzz. Not colonized
Madagascar,MDG,1599,zzz. Not colonized
Malawi,MWI,1599,zzz. Not colonized
Malaysia,MYS,1599,Portugal
Maldives,MDV,1599,zzz. Not colonized
Mali,MLI,1599,zzz. Not colonized
Marshall Islands,MHL,1599,zzz. Not colonized
Mauritania,MRT,1599,zzz. Not colonized
Mauritius,MUS,1599,zzz. Not colonized
Mexico,MEX,1599,Spain
Micronesia (country),FSM,1599,zzz. Not colonized
Mongolia,MNG,1599,zzz. Not colonized
Morocco,MAR,1599,zzz. Not colonized
Mozambique,MOZ,1599,zzz. Not colonized
Myanmar,MMR,1599,zzz. Not colonized
Namibia,NAM,1599,zzz. Not colonized
Nauru,NRU,1599,zzz. Not colonized
Nepal,NPL,1599,zzz. Not colonized
Netherlands,NLD,1599,zz. Colonizer
New Zealand,NZL,1599,zzz. Not colonized
Nicaragua,NIC,1599,Spain
Niger,NER,1599,zzz. Not colonized
Nigeria,NGA,1599,zzz. Not colonized
North Korea,PRK,1599,zzz. Not colonized
Oman,OMN,1599,zzz. Not colonized
Pakistan,PAK,1599,zzz. Not colonized
Palau,PLW,1599,zzz. Not colonized
Panama,PAN,1599,Spain
Papua New Guinea,PNG,1599,zzz. Not colonized
Paraguay,PRY,1599,Spain
Peru,PER,1599,Spain
Philippines,PHL,1599,Spain
Portugal,PRT,1599,zz. Colonizer
Qatar,QAT,1599,zzz. Not colonized
Rwanda,RWA,1599,zzz. Not colonized
Saint Kitts and Nevis,KNA,1599,zzz. Not colonized
Saint Lucia,LCA,1599,zzz. Not colonized
Saint Vincent and the Grenadines,VCT,1599,zzz. Not colonized
Samoa,WSM,1599,zzz. Not colonized
Sao Tome and Principe,STP,1599,Portugal
Saudi Arabia,SAU,1599,zzz. Not colonized
Senegal,SEN,1599,zzz. Not colonized
Seychelles,SYC,1599,zzz. Not colonized
Sierra Leone,SLE,1599,zzz. Not colonized
Singapore,SGP,1599,zzz. Not colonized
Solomon Islands,SLB,1599,zzz. Not colonized
Somalia,SOM,1599,zzz. Not colonized
South Africa,ZAF,1599,zzz. Not colonized
South Korea,KOR,1599,zzz. Not colonized
South Sudan,SSD,1599,zzz. Not colonized
Spain,ESP,1599,zz. Colonizer
Sri Lanka,LKA,1599,zzz. Not colonized
Sudan,SDN,1599,zzz. Not colonized
Suriname,SUR,1599,zzz. Not colonized
Syria,SYR,1599,zzz. Not colonized
Taiwan,TWN,1599,zzz. Not colonized
Tajikistan,TJK,1599,zzz. Not colonized
Tanzania,TZA,1599,zzz. Not colonized
Thailand,THA,1599,zzz. Not colonized
Togo,TGO,1599,zzz. Not colonized
Tonga,TON,1599,zzz. Not colonized
Trinidad and Tobago,TTO,1599,Spain
Tunisia,TUN,1599,zzz. Not colonized
Turkey,TUR,1599,zzz. Not colonized
Turkmenistan,TKM,1599,zzz. Not colonized
Tuvalu,TUV,1599,zzz. Not colonized
Uganda,UGA,1599,zzz. Not colonized
United Arab Emirates,ARE,1599,zzz. Not colonized
United Kingdom,GBR,1599,zz. Colonizer
United States,USA,1599,zzz. Not colonized
Uruguay,URY,1599,zzz. Not colonized
Uzbekistan,UZB,1599,zzz. Not colonized
Vanuatu,VUT,1599,zzz. Not colonized
Venezuela,VEN,1599,Spain
Vietnam,VNM,1599,zzz. Not colonized
Yemen,YEM,1599,zzz. Not colonized
Zambia,ZMB,1599,zzz. Not colonized
Zimbabwe,ZWE,1599,zzz. Not colonized
