Entity,Code,Year,colonizer_grouped
Afghanistan,AFG,1797,zzz. Not colonized
Algeria,DZA,1797,zzz. Not colonized
Angola,AGO,1797,Portugal
Antigua and Barbuda,ATG,1797,United Kingdom
Argentina,ARG,1797,Spain
Armenia,ARM,1797,zzz. Not colonized
Australia,AUS,1797,zzz. Not colonized
Azerbaijan,AZE,1797,zzz. Not colonized
Bahamas,BHS,1797,United Kingdom
Bahrain,BHR,1797,zzz. Not colonized
Bangladesh,BGD,1797,zzz. Not colonized
Barbados,BRB,1797,United Kingdom
Belgium,BEL,1797,zz. Colonizer
Belize,BLZ,1797,Spain
Benin,BEN,1797,zzz. Not colonized
Bhutan,BTN,1797,zzz. Not colonized
Bolivia,BOL,1797,Spain
Botswana,BWA,1797,zzz. Not colonized
Brazil,BRA,1797,Portugal
Brunei,BRN,1797,zzz. Not colonized
Burkina Faso,BFA,1797,zzz. Not colonized
Burundi,BDI,1797,zzz. Not colonized
Cambodia,KHM,1797,zzz. Not colonized
Cameroon,CMR,1797,zzz. Not colonized
Canada,CAN,1797,United Kingdom
Cape Verde,CPV,1797,Portugal
Central African Republic,CAF,1797,zzz. Not colonized
Chad,TCD,1797,zzz. Not colonized
Chile,CHL,1797,Spain
China,CHN,1797,zzz. Not colonized
Colombia,COL,1797,Spain
Comoros,COM,1797,zzz. Not colonized
Congo,COG,1797,zzz. Not colonized
Costa Rica,CRI,1797,Spain
Cote d'Ivoire,CIV,1797,zzz. Not colonized
Cuba,CUB,1797,Spain
Democratic Republic of Congo,COD,1797,zzz. Not colonized
Djibouti,DJI,1797,zzz. Not colonized
Dominica,DMA,1797,zzzz. No longer colonized
Dominican Republic,DOM,1797,Spain
East Timor,TLS,1797,Portugal
Ecuador,ECU,1797,Spain
Egypt,EGY,1797,zzz. Not colonized
El Salvador,SLV,1797,Spain
Equatorial Guinea,GNQ,1797,zzzz. No longer colonized
Eritrea,ERI,1797,zzz. Not colonized
Eswatini,SWZ,1797,zzz. Not colonized
Ethiopia,ETH,1797,zzz. Not colonized
Fiji,FJI,1797,zzz. Not colonized
France,FRA,1797,zz. Colonizer
Gabon,GAB,1797,zzz. Not colonized
Gambia,GMB,1797,zzz. Not colonized
Georgia,GEO,1797,zzz. Not colonized
Germany,DEU,1797,zz. Colonizer
Ghana,GHA,1797,Portugal
Grenada,GRD,1797,United Kingdom
Guatemala,GTM,1797,Spain
Guinea,GIN,1797,zzz. Not colonized
Guinea-Bissau,GNB,1797,zzz. Not colonized
Guyana,GUY,1797,Netherlands
Haiti,HTI,1797,France
Honduras,HND,1797,Spain
India,IND,1797,zzz. Not colonized
Indonesia,IDN,1797,Netherlands
Iran,IRN,1797,zzz. Not colonized
Iraq,IRQ,1797,zzz. Not colonized
Israel,ISR,1797,zzz. Not colonized
Italy,ITA,1797,zz. Colonizer
Jamaica,JAM,1797,United Kingdom
Japan,JPN,1797,zzz. Not colonized
Jordan,JOR,1797,zzz. Not colonized
Kazakhstan,KAZ,1797,zzz. Not colonized
Kenya,KEN,1797,zzz. Not colonized
Kiribati,KIR,1797,zzz. Not colonized
Kuwait,KWT,1797,zzz. Not colonized
Kyrgyzstan,KGZ,1797,zzz. Not colonized
Laos,LAO,1797,zzz. Not colonized
Lebanon,LBN,1797,zzz. Not colonized
Lesotho,LSO,1797,zzz. Not colonized
Liberia,LBR,1797,zzz. Not colonized
Libya,LBY,1797,zzz. Not colonized
Madagascar,MDG,1797,zzz. Not colonized
Malawi,MWI,1797,zzz. Not colonized
Malaysia,MYS,1797,zzzz. No longer colonized
Maldives,MDV,1797,zzz. Not colonized
Mali,MLI,1797,zzz. Not colonized
Marshall Islands,MHL,1797,zzz. Not colonized
Mauritania,MRT,1797,zzz. Not colonized
Mauritius,MUS,1797,France
Mexico,MEX,1797,Spain
Micronesia (country),FSM,1797,Spain
Mongolia,MNG,1797,zzz. Not colonized
Morocco,MAR,1797,zzz. Not colonized
Mozambique,MOZ,1797,zzz. Not colonized
Myanmar,MMR,1797,zzz. Not colonized
Namibia,NAM,1797,zzz. Not colonized
Nauru,NRU,1797,zzz. Not colonized
Nepal,NPL,1797,zzz. Not colonized
Netherlands,NLD,1797,zz. Colonizer
New Zealand,NZL,1797,zzz. Not colonized
Nicaragua,NIC,1797,Spain
Niger,NER,1797,zzz. Not colonized
Nigeria,NGA,1797,zzz. Not colonized
North Korea,PRK,1797,zzz. Not colonized
Oman,OMN,1797,zzz. Not colonized
Pakistan,PAK,1797,zzz. Not colonized
Palau,PLW,1797,zzz. Not colonized
Panama,PAN,1797,Spain
Papua New Guinea,PNG,1797,zzz. Not colonized
Paraguay,PRY,1797,Spain
Peru,PER,1797,Spain
Philippines,PHL,1797,Spain
Portugal,PRT,1797,zz. Colonizer
Qatar,QAT,1797,zzz. Not colonized
Rwanda,RWA,1797,zzz. Not colonized
Saint Kitts and Nevis,KNA,1797,United Kingdom
