Entity,Code,Year,colonizer_grouped
Afghanistan,AFG,1925,zzz. Not colonized
Algeria,DZA,1925,France
Angola,AGO,1925,Portugal
Antigua and Barbuda,ATG,1925,United Kingdom
Argentina,ARG,1925,zzzz. No longer colonized
Armenia,ARM,1925,zzz. Not colonized
Australia,AUS,1925,zzzz. No longer colonized
Azerbaijan,AZE,1925,zzz. Not colonized
Bahamas,BHS,1925,United Kingdom
Bahrain,BHR,1925,United Kingdom
Bangladesh,BGD,1925,United Kingdom
Barbados,BRB,1925,United Kingdom
Belgium,BEL,1925,zz. Colonizer
Belize,BLZ,1925,United Kingdom
Benin,BEN,1925,France
Bhutan,BTN,1925,United Kingdom
Bolivia,BOL,1925,zzzz. No longer colonized
Botswana,BWA,1925,United Kingdom
Brazil,BRA,1925,zzzz. No longer colonized
Brunei,BRN,1925,United Kingdom
Burkina Faso,BFA,1925,France
Burundi,BDI,1925,Belgium
Cambodia,KHM,1925,France
Cameroon,CMR,1925,France
Canada,CAN,1925,zzzz. No longer colonized
Cape Verde,CPV,1925,Portugal
Central African Republic,CAF,1925,France
Chad,TCD,1925,France
Chile,CHL,1925,zzzz. No longer colonized
China,CHN,1925,zzz. Not colonized
Colombia,COL,1925,zzzz. No longer colonized
Comoros,COM,1925,France
Congo,COG,1925,France
Costa Rica,CRI,1925,zzzz. No longer colonized
Cote d'Ivoire,CIV,1925,France
Cuba,CUB,1925,zzzz. No longer colonized
Cyprus,CYP,1925,United Kingdom
Democratic Republic of Congo,COD,1925,Belgium
Djibouti,DJI,1925,France
Dominica,DMA,1925,United Kingdom
Dominican Republic,DOM,1925,zzzz. No longer colonized
East Timor,TLS,1925,Portugal
Ecuador,ECU,1925,zzzz. No longer colonized
Egypt,EGY,1925,United Kingdom
El Salvador,SLV,1925,zzzz. No longer colonized
Equatorial Guinea,GNQ,1925,Spain
Eritrea,ERI,1925,Italy
Eswatini,SWZ,1925,United Kingdom
Ethiopia,ETH,1925,zzz. Not colonized
Fiji,FJI,1925,United Kingdom
France,FRA,1925,zz. Colonizer
Gabon,GAB,1925,France
Gambia,GMB,1925,United Kingdom
Georgia,GEO,1925,zzz. Not colonized
Germany,DEU,1925,zz. Colonizer
Ghana,GHA,1925,United Kingdom
Grenada,GRD,1925,United Kingdom
Guatemala,GTM,1925,zzzz. No longer colonized
Guinea,GIN,1925,France
Guinea-Bissau,GNB,1925,Portugal
Guyana,GUY,1925,United Kingdom
Haiti,HTI,1925,zzzz. No longer colonized
Honduras,HND,1925,zzzz. No longer colonized
India,IND,1925,United Kingdom
Indonesia,IDN,1925,Netherlands
Iran,IRN,1925,zzz. Not colonized
Iraq,IRQ,1925,United Kingdom
Israel,ISR,1925,United Kingdom
Italy,ITA,1925,zz. Colonizer
Jamaica,JAM,1925,United Kingdom
Japan,JPN,1925,zzz. Not colonized
Jordan,JOR,1925,United Kingdom
Kazakhstan,KAZ,1925,zzz. Not colonized
Kenya,KEN,1925,United Kingdom
Kiribati,KIR,1925,United Kingdom
Kuwait,KWT,1925,United Kingdom
Kyrgyzstan,KGZ,1925,zzz. Not colonized
Laos,LAO,1925,France
Lebanon,LBN,1925,France
Lesotho,LSO,1925,United Kingdom
Liberia,LBR,1925,zzz. Not colonized
Libya,LBY,1925,Italy
Madagascar,MDG,1925,France
Malawi,MWI,1925,United Kingdom
Malaysia,MYS,1925,United Kingdom
Maldives,MDV,1925,United Kingdom
Mali,MLI,1925,France
Marshall Islands,MHL,1925,zzzz. No longer colonized
Mauritania,MRT,1925,France
Mauritius,MUS,1925,United Kingdom
Mexico,MEX,1925,zzzz. No longer colonized
Micronesia (country),FSM,1925,zzzz. No longer colonized
Mongolia,MNG,1925,zzz. Not colonized
Morocco,MAR,1925,z. Multiple colonizers
Mozambique,MOZ,1925,Portugal
Myanmar,MMR,1925,United Kingdom
Namibia,NAM,1925,zzzz. No longer colonized
Nauru,NRU,1925,United Kingdom
Nepal,NPL,1925,zzz. Not colonized
Netherlands,NLD,1925,zz. Colonizer
New Zealand,NZL,1925,zzzz. No longer colonized
Nicaragua,NIC,1925,zzzz. No longer colonized
Niger,NER,1925,France
Nigeria,NGA,1925,United Kingdom
North Korea,PRK,1925,zzz. Not colonized
Oman,OMN,1925,zzz. Not colonized
Pakistan,PAK,1925,United Kingdom
Palau,PLW,1925,zzzz. No longer colonized
Panama,PAN,1925,zzzz. No longer colonized
Papua New Guinea,PNG,1925,zzzz. No longer colonized
Paraguay,PRY,1925,zzzz. No longer colonized
Peru,PER,1925,zzzz. No longer colonized
Philippines,PHL,1925,zzzz. No longer colonized
Portugal,PRT,1925,zz. Colonizer
Qatar,QAT,1925,United Kingdom
Rwanda,RWA,1925,Belgium
Saint Kitts and Nevis,KNA,1925,United Kingdom
Saint Lucia,LCA,1925,United Kingdom
Saint Vincent and the Grenadines,VCT,1925,United Kingdom
Samoa,WSM,1925,zzzz. No longer colonized
Sao Tome and Principe,STP,1925,Portugal
Saudi Arabia,SAU,1925,zzz. Not colonized
Senegal,SEN,1925,France
Seychelles,SYC,1925,United Kingdom
Sierra Leone,SLE,1925,United Kingdom
Singapore,SGP,1925,United Kingdom
Solomon Islands,SLB,1925,United Kingdom
Somalia,SOM,1925,z. Multiple colonizers
South Africa,ZAF,1925,zzzz. No longer colonized
South Korea,KOR,1925,zzz. Not colonized
South Sudan,SSD,1925,zzz. Not colonized
Spain,ESP,1925,zz. Colonizer
Sri Lanka,LKA,1925,United Kingdom
Sudan,SDN,1925,United Kingdom
Suriname,SUR,1925,Netherlands
Syria,SYR,1925,France
Taiwan,TWN,1925,zzz. Not colonized
Tajikistan,TJK,1925,zzz. Not colonized
Tanzania,TZA,1925,United Kingdom
Thailand,THA,1925,zzz. Not colonized
Togo,TGO,1925,France
Tonga,TON,1925,United Kingdom
Trinidad and Tobago,TTO,1925,United Kingdom
Tunisia,TUN,1925,France
Turkey,TUR,1925,zzz. Not colonized
Turkmenistan,TKM,1925,zzz. Not colonized
