Entity,Code,Year,colonizer_grouped
Afghanistan,AFG,1648,zzz. Not colonized
Algeria,DZA,1648,zzz. Not colonized
Angola,AGO,1648,Portugal
Antigua and Barbuda,ATG,1648,United Kingdom
Argentina,ARG,1648,Spain
Armenia,ARM,1648,zzz. Not colonized
Australia,AUS,1648,zzz. Not colonized
Azerbaijan,AZE,1648,zzz. Not colonized
Bahamas,BHS,1648,zzz. Not colonized
Bahrain,BHR,1648,zzz. Not colonized
Bangladesh,BGD,1648,zzz. Not colonized
Barbados,BRB,1648,United Kingdom
Belgium,BEL,1648,zz. Colonizer
Belize,BLZ,1648,Spain
Benin,BEN,1648,zzz. Not colonized
Bhutan,BTN,1648,zzz. Not colonized
Bolivia,BOL,1648,Spain
Botswana,BWA,1648,zzz. Not colonized
Brazil,BRA,1648,Portugal
Brunei,BRN,1648,zzz. Not colonized
Burkina Faso,BFA,1648,zzz. Not colonized
Burundi,BDI,1648,zzz. Not colonized
Cambodia,KHM,1648,zzz. Not colonized
Cameroon,CMR,1648,zzz. Not colonized
Canada,CAN,1648,France
Cape Verde,CPV,1648,Portugal
Central African Republic,CAF,1648,zzz. Not colonized
Chad,TCD,1648,zzz. Not colonized
Chile,CHL,1648,Spain
China,CHN,1648,zzz. Not colonized
Colombia,COL,1648,Spain
Comoros,COM,1648,zzz. Not colonized
Congo,COG,1648,zzz. Not colonized
Costa Rica,CRI,1648,Spain
Cote d'Ivoire,CIV,1648,zzz. Not colonized
Cuba,CUB,1648,Spain
Democratic Republic of Congo,COD,1648,zzz. Not colonized
Djibouti,DJI,1648,zzz. Not colonized
Dominica,DMA,1648,France
Dominican Republic,DOM,1648,Spain
East Timor,TLS,1648,Portugal
Ecuador,ECU,1648,Spain
Egypt,EGY,1648,zzz. Not colonized
El Salvador,SLV,1648,Spain
Equatorial Guinea,GNQ,1648,zzz. Not colonized
Eritrea,ERI,1648,zzz. Not colonized
Eswatini,SWZ,1648,zzz. Not colonized
Ethiopia,ETH,1648,zzz. Not colonized
Fiji,FJI,1648,zzz. Not colonized
France,FRA,1648,zz. Colonizer
Gabon,GAB,1648,zzz. Not colonized
Gambia,GMB,1648,zzz. Not colonized
Georgia,GEO,1648,zzz. Not colonized
Germany,DEU,1648,zz. Colonizer
Ghana,GHA,1648,Portugal
Grenada,GRD,1648,zzz. Not colonized
Guatemala,GTM,1648,Spain
Guinea,GIN,1648,zzz. Not colonized
Guinea-Bissau,GNB,1648,zzz. Not colonized
Guyana,GUY,1648,Netherlands
Haiti,HTI,1648,zzz. Not colonized
Honduras,HND,1648,Spain
India,IND,1648,zzz. Not colonized
