Entity,Code,Year,colonizer_grouped
Afghanistan,AFG,1879,zzz. Not colonized
Algeria,DZA,1879,France
Angola,AGO,1879,Portugal
Antigua and Barbuda,ATG,1879,United Kingdom
Argentina,ARG,1879,zzzz. No longer colonized
Armenia,ARM,1879,zzz. Not colonized
Australia,AUS,1879,United Kingdom
Azerbaijan,AZE,1879,zzz. Not colonized
Bahamas,BHS,1879,United Kingdom
Bahrain,BHR,1879,United Kingdom
Bangladesh,BGD,1879,United Kingdom
Barbados,BRB,1879,United Kingdom
Belgium,BEL,1879,zz. Colonizer
Belize,BLZ,1879,United Kingdom
Benin,BEN,1879,zzz. Not colonized
Bhutan,BTN,1879,zzz. Not colonized
Bolivia,BOL,1879,zzzz. No longer colonized
Botswana,BWA,1879,zzz. Not colonized
Brazil,BRA,1879,zzzz. No longer colonized
Brunei,BRN,1879,zzz. Not colonized
Burkina Faso,BFA,1879,zzz. Not colonized
Burundi,BDI,1879,zzz. Not colonized
Cambodia,KHM,1879,zzz. Not colonized
Cameroon,CMR,1879,zzz. Not colonized
Canada,CAN,1879,United Kingdom
Cape Verde,CPV,1879,Portugal
Central African Republic,CAF,1879,zzz. Not colonized
Chad,TCD,1879,zzz. Not colonized
Chile,CHL,1879,zzzz. No longer colonized
China,CHN,1879,zzz. Not colonized
Colombia,COL,1879,zzzz. No longer colonized
Comoros,COM,1879,zzz. Not colonized
Congo,COG,1879,zzz. Not colonized
Costa Rica,CRI,1879,zzzz. No longer colonized
Cote d'Ivoire,CIV,1879,zzz. Not colonized
Cuba,CUB,1879,Spain
Democratic Republic of Congo,COD,1879,zzz. Not colonized
Djibouti,DJI,1879,zzz. Not colonized
Dominica,DMA,1879,United Kingdom
Dominican Republic,DOM,1879,zzzz. No longer colonized
East Timor,TLS,1879,Portugal
Ecuador,ECU,1879,zzzz. No longer colonized
Egypt,EGY,1879,zzz. Not colonized
El Salvador,SLV,1879,zzzz. No longer colonized
Equatorial Guinea,GNQ,1879,Spain
Eritrea,ERI,1879,zzz. Not colonized
Eswatini,SWZ,1879,zzz. Not colonized
Ethiopia,ETH,1879,zzz. Not colonized
Fiji,FJI,1879,United Kingdom
