Entity,Code,Year,colonizer_grouped
Afghanistan,AFG,1668,zzz. Not colonized
Algeria,DZA,1668,zzz. Not colonized
Angola,AGO,1668,Portugal
Antigua and Barbuda,ATG,1668,United Kingdom
Argentina,ARG,1668,Spain
Armenia,ARM,1668,zzz. Not colonized
Australia,AUS,1668,zzz. Not colonized
Azerbaijan,AZE,1668,zzz. Not colonized
Bahamas,BHS,1668,zzz. Not colonized
Bahrain,BHR,1668,zzz. Not colonized
Bangladesh,BGD,1668,zzz. Not colonized
Barbados,BRB,1668,United Kingdom
Belgium,BEL,1668,zz. Colonizer
Belize,BLZ,1668,Spain
Benin,BEN,1668,zzz. Not colonized
Bhutan,BTN,1668,zzz. Not colonized
Bolivia,BOL,1668,Spain
Botswana,BWA,1668,zzz. Not colonized
Brazil,BRA,1668,Portugal
Brunei,BRN,1668,zzz. Not colonized
Burkina Faso,BFA,1668,zzz. Not colonized
Burundi,BDI,1668,zzz. Not colonized
Cambodia,KHM,1668,zzz. Not colonized
Cameroon,CMR,1668,zzz. Not colonized
Canada,CAN,1668,France
Cape Verde,CPV,1668,Portugal
Central African Republic,CAF,1668,zzz. Not colonized
Chad,TCD,1668,zzz. Not colonized
Chile,CHL,1668,Spain
China,CHN,1668,zzz. Not colonized
Colombia,COL,1668,Spain
Comoros,COM,1668,zzz. Not colonized
Congo,COG,1668,zzz. Not colonized
Costa Rica,CRI,1668,Spain
Cote d'Ivoire,CIV,1668,zzz. Not colonized
Cuba,CUB,1668,Spain
Democratic Republic of Congo,COD,1668,zzz. Not colonized
Djibouti,DJI,1668,zzz. Not colonized
Dominica,DMA,1668,France
Dominican Republic,DOM,1668,Spain
East Timor,TLS,1668,Portugal
Ecuador,ECU,1668,Spain
Egypt,EGY,1668,zzz. Not colonized
El Salvador,SLV,1668,Spain
Equatorial Guinea,GNQ,1668,zzz. Not colonized
Eritrea,ERI,1668,zzz. Not colonized
Eswatini,SWZ,1668,zzz. Not colonized
Ethiopia,ETH,1668,zzz. Not colonized
Fiji,FJI,1668,zzz. Not colonized
France,FRA,1668,zz. Colonizer
Gabon,GAB,1668,zzz. Not colonized
Gambia,GMB,1668,zzz. Not colonized
Georgia,GEO,1668,zzz. Not colonized
Germany,DEU,1668,zz. Colonizer
Ghana,GHA,1668,Portugal
Grenada,GRD,1668,France
Guatemala,GTM,1668,Spain
Guinea,GIN,1668,zzz. Not colonized
Guinea-Bissau,GNB,1668,zzz. Not colonized
Guyana,GUY,1668,Netherlands
Haiti,HTI,1668,France
Honduras,HND,1668,Spain
India,IND,1668,zzz. Not colonized
Indonesia,IDN,1668,Netherlands
Iran,IRN,1668,zzz. Not colonized
Iraq,IRQ,1668,zzz. Not colonized
Israel,ISR,1668,zzz. Not colonized
Italy,ITA,1668,zz. Colonizer
Jamaica,JAM,1668,United Kingdom
Japan,JPN,1668,zzz. Not colonized
Jordan,JOR,1668,zzz. Not colonized
Kazakhstan,KAZ,1668,zzz. Not colonized
Kenya,KEN,1668,zzz. Not colonized
Kiribati,KIR,1668,zzz. Not colonized
Kuwait,KWT,1668,zzz. Not colonized
Kyrgyzstan,KGZ,1668,zzz. Not colonized
Laos,LAO,1668,zzz. Not colonized
Lebanon,LBN,1668,zzz. Not colonized
Lesotho,LSO,1668,zzz. Not colonized
Liberia,LBR,1668,zzz. Not colonized
Libya,LBY,1668,zzz. Not colonized
Madagascar,MDG,1668,zzz. Not colonized
Malawi,MWI,1668,zzz. Not colonized
Malaysia,MYS,1668,zzzz. No longer colonized
Maldives,MDV,1668,zzz. Not colonized
Mali,MLI,1668,zzz. Not colonized
Marshall Islands,MHL,1668,zzz. Not colonized
Mauritania,MRT,1668,zzz. Not colonized
Mauritius,MUS,1668,zzz. Not colonized
Mexico,MEX,1668,Spain
Micronesia (country),FSM,1668,Spain
Mongolia,MNG,1668,zzz. Not colonized
Morocco,MAR,1668,zzz. Not colonized
Mozambique,MOZ,1668,zzz. Not colonized
Myanmar,MMR,1668,zzz. Not colonized
Namibia,NAM,1668,zzz. Not colonized
Nauru,NRU,1668,zzz. Not colonized
Nepal,NPL,1668,zzz. Not colonized
Netherlands,NLD,1668,zz. Colonizer
New Zealand,NZL,1668,zzz. Not colonized
Nicaragua,NIC,1668,Spain
Niger,NER,1668,zzz. Not colonized
Nigeria,NGA,1668,zzz. Not colonized
North Korea,PRK,1668,zzz. Not colonized
Oman,OMN,1668,zzz. Not colonized
Pakistan,PAK,1668,zzz. Not colonized
Palau,PLW,1668,zzz. Not colonized
Panama,PAN,1668,Spain
Papua New Guinea,PNG,1668,zzz. Not colonized
Paraguay,PRY,1668,Spain
Peru,PER,1668,Spain
Philippines,PHL,1668,Spain
Portugal,PRT,1668,zz. Colonizer
Qatar,QAT,1668,zzz. Not colonized
Rwanda,RWA,1668,zzz. Not colonized
Saint Kitts and Nevis,KNA,1668,United Kingdom
Saint Lucia,LCA,1668,France
Saint Vincent and the Grenadines,VCT,1668,zzz. Not colonized
Samoa,WSM,1668,zzz. Not colonized
Sao Tome and Principe,STP,1668,Portugal
Saudi Arabia,SAU,1668,zzz. Not colonized
Senegal,SEN,1668,zzz. Not colonized
Seychelles,SYC,1668,zzz. Not colonized
Sierra Leone,SLE,1668,zzz. Not colonized
Singapore,SGP,1668,zzz. Not colonized
Solomon Islands,SLB,1668,zzz. Not colonized
Somalia,SOM,1668,zzz. Not colonized
South Africa,ZAF,1668,Netherlands
South Korea,KOR,1668,zzz. Not colonized
South Sudan,SSD,1668,zzz. Not colonized
Spain,ESP,1668,zz. Colonizer
Sri Lanka,LKA,1668,zzzz. No longer colonized
Sudan,SDN,1668,zzz. Not colonized
Suriname,SUR,1668,Netherlands
Syria,SYR,1668,zzz. Not colonized
Taiwan,TWN,1668,zzz. Not colonized
Tajikistan,TJK,1668,zzz. Not colonized
Tanzania,TZA,1668,zzz. Not colonized
Thailand,THA,1668,zzz. Not colonized
Togo,TGO,1668,zzz. Not colonized
Tonga,TON,1668,zzz. Not colonized
Trinidad and Tobago,TTO,1668,Spain
Tunisia,TUN,1668,zzz. Not colonized
Turkey,TUR,1668,zzz. Not colonized
Turkmenistan,TKM,1668,zzz. Not colonized
Tuvalu,TUV,1668,zzz. Not colonized
Uganda,UGA,1668,zzz. Not colonized
United Arab Emirates,ARE,1668,zzz. Not colonized
United Kingdom,GBR,1668,zz. Colonizer
United States,USA,1668,United Kingdom
Uruguay,URY,1668,Spain
Uzbekistan,UZB,1668,zzz. Not colonized
Vanuatu,VUT,1668,zzz. Not colonized
Venezuela,VEN,1668,Spain
Vietnam,VNM,1668,zzz. Not colonized
Yemen,YEM,1668,zzz. Not colonized
Zambia,ZMB,1668,zzz. Not colonized
Zimbabwe,ZWE,1668,zzz. Not colonized
